run,payload_bytes,rtt_ms,one_way_est_ms
0,256,17.072161,8.5360805
1,256,9.617942,4.808971
2,256,8.105084,4.052542
3,256,8.097531,4.0487655
4,256,7.896795,3.9483975
5,256,8.177364,4.088682
6,256,8.291235,4.1456175
7,256,7.97114,3.98557
8,256,10.220056,5.110028
9,256,7.777408,3.888704
10,256,8.465601,4.2328005
11,256,13.645532,6.822766
12,256,8.001657,4.0008285
13,256,9.310481,4.6552405
14,256,8.07967,4.039835
15,256,9.27146,4.63573
16,256,8.076863,4.0384315
17,256,8.588384,4.294192
18,256,7.114936,3.557468
19,256,9.208983,4.6044915
20,256,8.076773,4.0383865
21,256,8.301208,4.150604
22,256,7.713198,3.856599
23,256,7.818081,3.9090405
24,256,7.653294,3.826647
25,256,8.324733,4.1623665
26,256,7.723001,3.8615005
27,256,9.230906,4.615453
28,256,7.390868,3.695434
29,256,8.746073,4.3730365
30,256,6.402487,3.2012435
31,256,12.806187,6.4030935
32,256,14.292578,7.146289
33,256,19.851901,9.9259505
34,256,15.20216,7.60108
35,256,9.419347,4.7096735
36,256,7.887862,3.943931
37,256,11.197105,5.5985525
38,256,13.989412,6.994706
39,256,9.706951,4.8534755
40,256,10.577325,5.2886625
41,256,8.802513,4.4012565
42,256,8.476134,4.238067
43,256,7.692104,3.846052
44,256,17.512112,8.756056
45,256,9.205902,4.602951
46,256,8.337027,4.1685135
47,256,8.234127,4.1170635
48,256,9.102901,4.5514505
49,256,9.960747,4.9803735
50,256,9.502936,4.751468
51,256,8.41634,4.20817
52,256,7.713637,3.8568185
53,256,7.38624,3.69312
54,256,10.033547,5.0167735
55,256,8.157893,4.0789465
56,256,8.241294,4.120647
57,256,8.3683,4.18415
58,256,7.962485,3.9812425
59,256,8.137742,4.068871
60,256,7.881809,3.9409045
61,256,8.883891,4.4419455
62,256,9.130166,4.565083
63,256,7.659648,3.829824
64,256,8.023189,4.0115945
65,256,8.336067,4.1680335
66,256,8.514135,4.2570675
67,256,8.287621,4.1438105
68,256,8.822741,4.4113705
69,256,8.41852,4.20926
70,256,13.559148,6.779574
71,256,9.683742,4.841871
72,256,12.622159,6.3110795
73,256,8.362511,4.1812555
74,256,10.103706,5.051853
75,256,7.806085,3.9030425
76,256,14.175729,7.0878645
77,256,9.672315,4.8361575
78,256,8.011124,4.005562
79,256,8.639489,4.3197445
80,256,8.216953,4.1084765
81,256,8.677476,4.338738
82,256,8.467008,4.233504
83,256,12.665953,6.3329765
84,256,8.921468,4.460734
85,256,9.965552,4.982776
86,256,9.952561,4.9762805
87,256,7.708778,3.854389
88,256,8.403402,4.201701
89,256,8.892264,4.446132
90,256,14.764092,7.382046
91,256,8.532832,4.266416
92,256,8.226038,4.113019
93,256,8.85651,4.428255
94,256,9.327743,4.6638715
95,256,8.614406,4.307203
96,256,8.581498,4.290749
97,256,7.467299,3.7336495
98,256,9.529332,4.764666
99,256,8.356459,4.1782295
100,256,8.035163,4.0175815
101,256,7.980887,3.9904435
102,256,7.943599,3.9717995
103,256,7.955305,3.9776525
104,256,8.67372,4.33686
105,256,8.28421,4.142105
106,256,10.18774,5.09387
107,256,9.01187,4.505935
108,256,8.314486,4.157243
109,256,8.880674,4.440337
110,256,9.609772,4.804886
111,256,8.8483,4.42415
112,256,8.823213,4.4116065
113,256,8.299819,4.1499095
114,256,8.683693,4.3418465
115,256,9.335689,4.6678445
116,256,8.696945,4.3484725
117,256,9.055964,4.527982
118,256,9.406069,4.7030345
119,256,7.465861,3.7329305
120,256,7.933463,3.9667315
121,256,8.159183,4.0795915
122,256,14.558714,7.279357
123,256,8.597509,4.2987545
124,256,8.937804,4.468902
125,256,8.204751,4.1023755
126,256,8.080583,4.0402915
127,256,9.528921,4.7644605
128,256,7.818714,3.909357
129,256,8.967129,4.4835645
130,256,9.163962,4.581981
131,256,8.924705,4.4623525
132,256,8.695551,4.3477755
133,256,8.419063,4.2095315
134,256,8.726788,4.363394
135,256,9.730456,4.865228
136,256,7.203043,3.6015215
137,256,8.847715,4.4238575
138,256,7.841506,3.920753
139,256,10.174519,5.0872595
140,256,9.33529,4.667645
141,256,8.467703,4.2338515
142,256,8.62915,4.314575
143,256,8.369687,4.1848435
144,256,8.384,4.192
145,256,8.233116,4.116558
146,256,12.620953,6.3104765
147,256,13.738081,6.8690405
148,256,12.985156,6.492578
149,256,9.366839,4.6834195
150,256,9.573493,4.7867465
151,256,8.164274,4.082137
152,256,8.98918,4.49459
153,256,8.696232,4.348116
154,256,7.940198,3.970099
155,256,8.323379,4.1616895
156,256,8.846811,4.4234055
157,256,8.553402,4.276701
158,256,8.728002,4.364001
159,256,7.86908,3.93454
160,256,8.223233,4.1116165
161,256,8.862265,4.4311325
162,256,8.879449,4.4397245
163,256,9.443384,4.721692
164,256,10.584964,5.292482
165,256,8.69938,4.34969
166,256,9.229778,4.614889
167,256,8.559877,4.2799385
168,256,8.327895,4.1639475
169,256,8.445652,4.222826
170,256,9.223869,4.6119345
171,256,8.161386,4.080693
172,256,8.229289,4.1146445
173,256,8.882337,4.4411685
174,256,8.300845,4.1504225
175,256,8.742235,4.3711175
176,256,13.112113,6.5560565
177,256,8.736077,4.3680385
178,256,7.699924,3.849962
179,256,8.425439,4.2127195
180,256,7.773608,3.886804
181,256,9.313615,4.6568075
182,256,9.819465,4.9097325
183,256,9.948177,4.9740885
184,256,8.808209,4.4041045
185,256,8.084525,4.0422625
186,256,7.616601,3.8083005
187,256,9.535262,4.767631
188,256,9.148248,4.574124
189,256,8.497355,4.2486775
190,256,8.917546,4.458773
191,256,8.867097,4.4335485
192,256,8.952081,4.4760405
193,256,8.519149,4.2595745
194,256,8.234242,4.117121
195,256,10.812001,5.4060005
196,256,9.457171,4.7285855
197,256,19.927082,9.963541
198,256,7.928122,3.964061
199,256,8.003957,4.0019785
200,256,7.587071,3.7935355
201,256,7.677535,3.8387675
202,256,8.313546,4.156773
203,256,8.144631,4.0723155
204,256,8.011811,4.0059055
205,256,7.757918,3.878959
206,256,9.259207,4.6296035
207,256,8.254183,4.1270915
208,256,8.318153,4.1590765
209,256,9.705036,4.852518
210,256,13.204347,6.6021735
211,256,10.292477,5.1462385
212,256,9.535628,4.767814
213,256,8.254415,4.1272075
214,256,8.662018,4.331009
215,256,9.576327,4.7881635
216,256,10.106638,5.053319
217,256,9.811677,4.9058385
218,256,16.045665,8.0228325
