run,payload_bytes,rtt_ms,one_way_est_ms
0,256,35.925667,17.9628335
1,256,36.342125,18.1710625
2,256,39.49625,19.748125
3,256,34.737667,17.3688335
4,256,38.700583,19.3502915
5,256,38.302333,19.1511665
6,256,36.245792,18.122896
7,256,35.6265,17.81325
8,256,35.326,17.663
9,256,39.3175,19.65875
10,256,39.510542,19.755271
11,256,38.696291,19.3481455
12,256,39.196166,19.598083
13,256,39.286292,19.643146
14,256,35.230125,17.6150625
15,256,44.613292,22.306646
16,256,37.973541,18.9867705
17,256,40.43825,20.219125
18,256,41.84975,20.924875
19,256,39.1205,19.56025
20,256,37.104125,18.5520625
21,256,38.617583,19.3087915
22,256,38.337625,19.1688125
23,256,38.440375,19.2201875
24,256,41.04675,20.523375
25,256,38.406791,19.2033955
26,256,56.897167,28.4485835
27,256,37.207583,18.6037915
28,256,39.472625,19.7363125
29,256,37.781292,18.890646
30,256,40.382667,20.1913335
31,256,38.4995,19.24975
32,256,38.417417,19.2087085
33,256,37.338417,18.6692085
34,256,37.998292,18.999146
35,256,39.115125,19.5575625
36,256,38.715209,19.3576045
37,256,40.742583,20.3712915
38,256,39.011792,19.505896
39,256,39.890042,19.945021
40,256,48.868041,24.4340205
41,256,39.286333,19.6431665
42,256,40.140375,20.0701875
43,256,39.732417,19.8662085
44,256,44.913459,22.4567295
45,256,39.268791,19.6343955
46,256,39.119791,19.5598955
47,256,39.72375,19.861875
48,256,40.506916,20.253458
49,256,39.908667,19.9543335
50,256,38.55725,19.278625
51,256,35.0295,17.51475
52,256,46.080834,23.040417
53,256,38.00025,19.000125
54,256,38.199791,19.0998955
55,256,37.941917,18.9709585
56,256,40.759875,20.3799375
57,256,43.203833,21.6019165
58,256,39.211292,19.605646
59,256,40.498041,20.2490205
60,256,39.721667,19.8608335
61,256,38.221417,19.1107085
62,256,41.544542,20.772271
63,256,38.819083,19.4095415
64,256,39.531958,19.765979
65,256,38.96,19.48
66,256,36.894458,18.447229
67,256,38.402458,19.201229
68,256,39.58325,19.791625
69,256,38.942791,19.4713955
70,256,38.442292,19.221146
71,256,39.505875,19.7529375
72,256,40.480416,20.240208
73,256,42.744584,21.372292
74,256,35.828125,17.9140625
75,256,39.377042,19.688521
76,256,38.953417,19.4767085
77,256,39.936458,19.968229
78,256,41.081792,20.540896
79,256,36.850875,18.4254375
80,256,38.426333,19.2131665
81,256,41.451959,20.7259795
82,256,35.260834,17.630417
83,256,39.324166,19.662083
84,256,41.347542,20.673771
85,256,42.245667,21.1228335
86,256,37.496333,18.7481665
87,256,37.253458,18.626729
88,256,234.890459,117.4452295
89,256,36.028542,18.014271
90,256,36.199083,18.0995415
91,256,35.79025,17.895125
92,256,39.141208,19.570604
93,256,37.079833,18.5399165
94,256,38.887917,19.4439585
95,256,38.120083,19.0600415
96,256,39.848541,19.9242705
97,256,38.700084,19.350042
98,256,34.750333,17.3751665
99,256,38.7505,19.37525
100,256,38.936792,19.468396
101,256,36.50075,18.250375
102,256,40.244625,20.1223125
103,256,40.885334,20.442667
104,256,38.636458,19.318229
105,256,39.26425,19.632125
106,256,38.345708,19.172854
107,256,38.968625,19.4843125
108,256,40.269083,20.1345415
109,256,39.198917,19.5994585
110,256,39.327625,19.6638125
111,256,36.392792,18.196396
112,256,38.360667,19.1803335
113,256,38.515708,19.257854
114,256,39.828834,19.914417
115,256,41.645833,20.8229165
116,256,38.385667,19.1928335
117,256,39.532,19.766
118,256,39.907833,19.9539165
119,256,38.658833,19.3294165
120,256,38.239458,19.119729
121,256,39.2,19.6
122,256,35.235542,17.617771
123,256,36.191917,18.0959585
124,256,39.220167,19.6100835
125,256,38.306041,19.1530205
126,256,41.924209,20.9621045
127,256,36.468917,18.2344585
128,256,38.676458,19.338229
129,256,40.797917,20.3989585
130,256,41.115333,20.5576665
131,256,39.473041,19.7365205
132,256,40.240834,20.120417
133,256,35.257208,17.628604
134,256,38.629292,19.314646
135,256,39.418959,19.7094795
136,256,38.377583,19.1887915
137,256,40.124875,20.0624375
138,256,37.897875,18.9489375
139,256,42.708708,21.354354
140,256,36.458834,18.229417
141,256,38.804125,19.4020625
142,256,41.453792,20.726896
143,256,40.127417,20.0637085
144,256,39.00475,19.502375
145,256,40.063167,20.0315835
146,256,38.720458,19.360229
147,256,42.465458,21.232729
148,256,39.26275,19.631375
149,256,38.469709,19.2348545
150,256,37.185709,18.5928545
151,256,39.73225,19.866125
152,256,38.595625,19.2978125
153,256,38.110875,19.0554375
154,256,39.880875,19.9404375
155,256,39.754083,19.8770415
156,256,39.097792,19.548896
157,256,38.617416,19.308708
158,256,36.037958,18.018979
159,256,39.071541,19.5357705
160,256,42.520583,21.2602915
161,256,36.938792,18.469396
162,256,41.021208,20.510604
163,256,40.886875,20.4434375
164,256,38.48825,19.244125
165,256,38.66975,19.334875
166,256,39.983917,19.9919585
167,256,39.258167,19.6290835
168,256,38.175959,19.0879795
169,256,47.095166,23.547583
170,256,39.9145,19.95725
171,256,35.539,17.7695
172,256,39.459792,19.729896
173,256,39.347959,19.6739795
174,256,38.7655,19.38275
175,256,41.192958,20.596479
176,256,39.381166,19.690583
177,256,38.691667,19.3458335
178,256,40.349959,20.1749795
179,256,36.518541,18.2592705
180,256,40.789833,20.3949165
181,256,36.789125,18.3945625
182,256,41.154458,20.577229
183,256,42.660708,21.330354
184,256,43.11125,21.555625
185,256,39.635334,19.817667
186,256,41.081292,20.540646
187,256,40.139541,20.0697705
188,256,46.609458,23.304729
189,256,38.565083,19.2825415
190,256,39.632167,19.8160835
191,256,39.76575,19.882875
192,256,39.243125,19.6215625
193,256,40.06425,20.032125
194,256,41.1715,20.58575
195,256,39.615625,19.8078125
196,256,39.212167,19.6060835
197,256,38.513125,19.2565625
198,256,40.043708,20.021854
199,256,50.322959,25.1614795
200,256,39.319958,19.659979
201,256,40.216625,20.1083125
202,256,41.3445,20.67225
203,256,37.742083,18.8710415
204,256,34.997792,17.498896
205,256,36.371958,18.185979
206,256,38.84475,19.422375
207,256,38.42075,19.210375
