sample,round_trip_ms,estimated_one_way_ms
1,0.114092,0.057046
2,0.328782,0.164391
3,0.416351,0.208176
4,0.531786,0.265893
5,0.306449,0.153225
6,0.325492,0.162746
7,0.100731,0.050366
8,0.116526,0.058263
9,0.353624,0.176812
10,0.411292,0.205646
11,0.413444,0.206722
12,0.135536,0.067768
13,0.327624,0.163812
14,0.420388,0.210194
15,0.111596,0.055798
16,0.436248,0.218124
17,0.324540,0.162270
18,0.447572,0.223786
19,0.442814,0.221407
20,0.583179,0.291590
21,0.136438,0.068219
22,0.419045,0.209523
23,0.464623,0.232312
24,0.474916,0.237458
25,0.460066,0.230033
26,0.331714,0.165857
27,0.385401,0.192700
28,0.463394,0.231697
29,0.455315,0.227658
30,0.145232,0.072616
31,0.444008,0.222004
32,0.455389,0.227694
33,0.135924,0.067962
34,0.326574,0.163287
35,0.311526,0.155763
36,0.308399,0.154199
37,0.345321,0.172660
38,0.074240,0.037120
39,0.462176,0.231088
40,0.464394,0.232197
41,0.316951,0.158475
42,0.348378,0.174189
43,0.408006,0.204003
44,0.458613,0.229306
45,0.332573,0.166287
46,0.320035,0.160018
47,0.471263,0.235631
48,0.318455,0.159227
49,0.277495,0.138747
50,0.329730,0.164865
51,0.257124,0.128562
52,0.136701,0.068350
53,0.126654,0.063327
54,0.067110,0.033555
55,0.113638,0.056819
56,0.114714,0.057357
57,0.065222,0.032611
58,0.315925,0.157963
59,0.132948,0.066474
60,0.335042,0.167521
61,0.318239,0.159119
62,0.334925,0.167462
63,0.450759,0.225380
64,0.551289,0.275645
65,0.440236,0.220118
66,0.165446,0.082723
67,0.109076,0.054538
68,0.057767,0.028883
69,0.049579,0.024789
70,0.048307,0.024154
71,0.049291,0.024646
72,0.049076,0.024538
73,0.390103,0.195051
74,0.297181,0.148590
75,0.381245,0.190623
76,0.087778,0.043889
77,0.243886,0.121943
78,0.090490,0.045245
79,0.136047,0.068024
80,0.142639,0.071319
81,0.113591,0.056795
82,0.186180,0.093090
83,0.124369,0.062184
84,0.258668,0.129334
85,0.096167,0.048084
86,0.301708,0.150854
87,0.416844,0.208422
88,0.440763,0.220382
89,0.452951,0.226475
90,0.495480,0.247740
91,0.458165,0.229082
92,0.119541,0.059770
93,0.346734,0.173367
94,0.350524,0.175262
95,0.287389,0.143695
96,0.433102,0.216551
97,0.287361,0.143680
98,0.247805,0.123902
99,0.282603,0.141301
100,0.252974,0.126487
101,0.254597,0.127299
102,0.435103,0.217552
103,0.289318,0.144659
104,0.259230,0.129615
105,0.318052,0.159026
106,0.415559,0.207780
107,0.319377,0.159689
108,0.418843,0.209422
109,0.502542,0.251271
110,0.482612,0.241306
111,0.458466,0.229233
112,0.453325,0.226662
113,0.327471,0.163736
114,0.417863,0.208931
115,0.443533,0.221767
116,0.488084,0.244042
117,0.303923,0.151961
118,0.328923,0.164462
119,0.324829,0.162414
120,0.408750,0.204375
121,0.486838,0.243419
122,0.324102,0.162051
123,0.350984,0.175492
124,0.458083,0.229042
125,0.314628,0.157314
126,0.355975,0.177987
127,0.422497,0.211249
128,0.468947,0.234474
129,0.462172,0.231086
130,0.483859,0.241929
131,0.309807,0.154903
132,0.346300,0.173150
133,0.416189,0.208094
134,0.187296,0.093648
135,0.362068,0.181034
136,0.262328,0.131164
137,0.290689,0.145344
138,0.255745,0.127873
139,0.253504,0.126752
140,0.435707,0.217854
141,0.453770,0.226885
142,0.361364,0.180682
143,0.328082,0.164041
144,0.409922,0.204961
145,0.453467,0.226734
146,0.321253,0.160627
147,0.265608,0.132804
148,0.341448,0.170724
149,0.413978,0.206989
150,0.463452,0.231726
151,0.519155,0.259578
152,0.461778,0.230889
153,0.456181,0.228091
154,0.455103,0.227551
155,0.119474,0.059737
156,0.115813,0.057906
157,0.324540,0.162270
158,0.415936,0.207968
159,0.306054,0.153027
160,0.266164,0.133082
161,0.347844,0.173922
162,0.413631,0.206816
163,0.497264,0.248632
164,0.453411,0.226706
165,0.474070,0.237035
166,0.455075,0.227538
167,0.498382,0.249191
168,0.455129,0.227565
169,0.188620,0.094310
170,0.327322,0.163661
171,0.468817,0.234408
172,0.475135,0.237567
173,0.307395,0.153697
174,0.403574,0.201787
175,0.509885,0.254943
176,0.476202,0.238101
177,0.317781,0.158890
178,0.434809,0.217405
179,0.111436,0.055718
180,0.062890,0.031445
181,0.427798,0.213899
182,0.222202,0.111101
183,0.069694,0.034847
184,0.060311,0.030155
185,0.404629,0.202315
186,0.306285,0.153142
187,0.139041,0.069520
188,0.095210,0.047605
189,0.344464,0.172232
190,0.413999,0.207000
191,0.315514,0.157757
192,0.431366,0.215683
193,0.124732,0.062366
194,0.366683,0.183341
195,0.410611,0.205306
196,0.450766,0.225383
197,0.492890,0.246445
198,0.308097,0.154049
199,0.333395,0.166697
200,0.417935,0.208968
201,0.120011,0.060006
202,0.309079,0.154539
203,0.059717,0.029858
204,0.053653,0.026826
205,0.093831,0.046915
206,0.322867,0.161434
207,0.461784,0.230892
208,0.342383,0.171191
209,0.415666,0.207833
210,0.455816,0.227908
211,0.331386,0.165693
212,0.415640,0.207820
213,0.468937,0.234468
214,0.125867,0.062934
215,0.057895,0.028948
216,0.250360,0.125180
217,0.326553,0.163276
218,0.263086,0.131543
219,0.275912,0.137956
220,0.114348,0.057174
221,0.325109,0.162554
222,0.410363,0.205181
223,0.642145,0.321072
224,0.504388,0.252194
225,0.454945,0.227472
226,0.505915,0.252958
227,0.458549,0.229274
228,0.074639,0.037319
229,0.039139,0.019570
230,0.117179,0.058590
231,0.452327,0.226163
232,0.312551,0.156276
233,0.410185,0.205093
234,0.515592,0.257796
235,0.315937,0.157969
236,0.328746,0.164373
237,0.418375,0.209187
238,0.485196,0.242598
239,0.305958,0.152979
240,0.338956,0.169478
241,0.418539,0.209269
242,0.068618,0.034309
243,0.236697,0.118348
244,0.398295,0.199148
245,0.460495,0.230247
246,0.309874,0.154937
247,0.434879,0.217440
248,0.307137,0.153568
249,0.326766,0.163383
250,0.255985,0.127993
251,0.330252,0.165126
252,0.280514,0.140257
253,0.406219,0.203109
254,0.452574,0.226287
255,0.335315,0.167657
256,0.067064,0.033532
257,0.263360,0.131680
258,0.258354,0.129177
259,0.415746,0.207873
260,0.320463,0.160231
261,0.411038,0.205519
262,0.454548,0.227274
263,0.456322,0.228161
264,0.462486,0.231243
265,0.457426,0.228713
266,0.125337,0.062669
267,0.370826,0.185413
268,0.419360,0.209680
269,0.453593,0.226797
270,0.067598,0.033799
271,0.243353,0.121677
272,0.413815,0.206907
273,0.483758,0.241879
274,0.300348,0.150174
275,0.445088,0.222544
276,0.309943,0.154972
277,0.336436,0.168218
278,0.417474,0.208737
279,0.478127,0.239064
280,0.068478,0.034239
281,0.291314,0.145657
282,0.389653,0.194827
283,0.223200,0.111600
284,0.130545,0.065272
285,0.320461,0.160230
286,0.248092,0.124046
287,0.414805,0.207402
288,0.461337,0.230668
289,0.462347,0.231174
290,0.483730,0.241865
291,0.304644,0.152322
292,0.428790,0.214395
293,0.458852,0.229426
294,0.315830,0.157915
295,0.327593,0.163797
296,0.265415,0.132708
297,0.071061,0.035530
298,0.303681,0.151840
299,0.413996,0.206998
300,0.543025,0.271512
301,0.307953,0.153976
302,0.092923,0.046462
303,0.328408,0.164204
304,0.253346,0.126673
305,0.430316,0.215158
306,0.463042,0.231521
307,0.300222,0.150111
308,0.407395,0.203698
309,0.350201,0.175100
310,0.457886,0.228943
311,0.069533,0.034766
312,0.279430,0.139715
313,0.377332,0.188666
314,0.501404,0.250702
315,0.313841,0.156920
316,0.091180,0.045590
317,0.338354,0.169177
318,0.252443,0.126221
319,0.406541,0.203270
320,0.451989,0.225994
321,0.486694,0.243347
322,0.455086,0.227543
323,0.508810,0.254405
324,0.303244,0.151622
325,0.059971,0.029985
326,0.047321,0.023661
327,0.353121,0.176561
328,0.515132,0.257566
329,0.321904,0.160952
330,0.425608,0.212804
331,0.305088,0.152544
332,0.134038,0.067019
333,0.328806,0.164403
334,0.417547,0.208774
335,0.506265,0.253132
336,0.344177,0.172089
337,0.437932,0.218966
338,0.223615,0.111808
339,0.097470,0.048735
340,0.326802,0.163401
341,0.067034,0.033517
342,0.439373,0.219687
343,0.312985,0.156493
344,0.326784,0.163392
345,0.419757,0.209878
346,0.483933,0.241967
347,0.327864,0.163932
348,0.408082,0.204041
349,0.474778,0.237389
350,0.488738,0.244369
351,0.465194,0.232597
352,0.196350,0.098175
353,0.094041,0.047020
354,0.313047,0.156524
355,0.320744,0.160372
356,0.328673,0.164336
357,0.246837,0.123419
358,0.056090,0.028045
359,0.248856,0.124428
360,0.060947,0.030474
361,0.325416,0.162708
362,0.439478,0.219739
363,0.448649,0.224325
364,0.306875,0.153438
365,0.443248,0.221624
366,0.103855,0.051928
367,0.078441,0.039220
368,0.193657,0.096828
369,0.067075,0.033537
370,0.052624,0.026312
371,0.041757,0.020879
372,0.107737,0.053868
373,0.115047,0.057523
374,0.099170,0.049585
375,0.421970,0.210985
376,0.271674,0.135837
377,0.394504,0.197252
378,0.462241,0.231121
379,0.355669,0.177835
380,0.269173,0.134586
381,0.237688,0.118844
382,0.399028,0.199514
383,0.458800,0.229400
384,0.326160,0.163080
385,0.409151,0.204575
386,0.527052,0.263526
387,0.299538,0.149769
388,0.267547,0.133773
389,0.425778,0.212889
390,0.479670,0.239835
391,0.450815,0.225408
392,0.489729,0.244865
393,0.310375,0.155188
394,0.268374,0.134187
395,0.268829,0.134414
396,0.262171,0.131085
397,0.250733,0.125366
398,0.290410,0.145205
399,0.246955,0.123478
400,0.244952,0.122476
401,0.259190,0.129595
402,0.476207,0.238103
403,0.673406,0.336703
404,0.474493,0.237246
405,0.193855,0.096927
406,0.332143,0.166072
407,0.300521,0.150260
408,0.257214,0.128607
409,0.248602,0.124301
410,0.412040,0.206020
411,0.120047,0.060024
412,0.045864,0.022932
413,0.045208,0.022604
414,0.273924,0.136962
415,0.248823,0.124411
416,0.072115,0.036057
417,0.161046,0.080523
418,0.334888,0.167444
419,0.296540,0.148270
420,0.325719,0.162859
421,0.399515,0.199758
