event,logical_time_ns,logical_time_ms,physical_time_ms,tag_time_ns,microstep,head_present,eye_present,head,eye
output_tick,7000000000,7000.0,7009.338616,1782184045438615399,0,1,1,1,1
output_tick,7100000000,7100.0,7110.280496,1782184045538615399,0,1,1,1,1
output_tick,7200000000,7200.0,7208.973866,1782184045638615399,0,1,1,1,1
output_tick,7300000000,7300.0,7309.148217,1782184045738615399,0,1,1,1,1
sensor_arrival,7400000000,7400.0,7498.985977,1782184045838615399,0,1,1,1,1
output_tick,7400000000,7400.0,7499.421083,1782184045838615399,0,1,1,1,1
output_tick,7500000000,7500.0,7502.46286,1782184045938615399,0,1,1,1,1
output_tick,7600000000,7600.0,7605.784098,1782184046038615399,0,1,1,1,1
output_tick,7700000000,7700.0,7705.609065,1782184046138615399,0,1,1,1,1
output_tick,7800000000,7800.0,7809.018062,1782184046238615399,0,1,1,1,1
sensor_arrival,7900000000,7900.0,8020.435962,1782184046338615399,0,1,1,0,1
output_tick,7900000000,7900.0,8020.879475,1782184046338615399,0,1,1,0,1
output_tick,8000000000,8000.0,8023.968326,1782184046438615399,0,1,1,0,1
output_tick,8100000000,8100.0,8105.567148,1782184046538615399,0,1,1,0,1
output_tick,8200000000,8200.0,8209.868541,1782184046638615399,0,1,1,0,1
output_tick,8300000000,8300.0,8309.395271,1782184046738615399,0,1,1,0,1
sensor_arrival,8400000000,8400.0,8496.55286,1782184046838615399,0,1,1,0,1
output_tick,8400000000,8400.0,8496.980003,1782184046838615399,0,1,1,0,1
output_tick,8500000000,8500.0,8502.47725,1782184046938615399,0,1,1,0,1
output_tick,8600000000,8600.0,8605.619658,1782184047038615399,0,1,1,0,1
output_tick,8700000000,8700.0,8705.476235,1782184047138615399,0,1,1,0,1
output_tick,8800000000,8800.0,8804.908541,1782184047238615399,0,1,1,0,1
sensor_arrival,8900000000,8900.0,9004.362441,1782184047338615399,0,1,1,1,1
output_tick,8900000000,8900.0,9004.604326,1782184047338615399,0,1,1,1,1
output_tick,9000000000,9000.0,9007.333626,1782184047438615399,0,1,1,1,1
output_tick,9100000000,9100.0,9105.482818,1782184047538615399,0,1,1,1,1
output_tick,9200000000,9200.0,9205.460579,1782184047638615399,0,1,1,1,1
output_tick,9300000000,9300.0,9305.474877,1782184047738615399,0,1,1,1,1
sensor_arrival,9400000000,9400.0,9495.762205,1782184047838615399,0,1,1,1,1
output_tick,9400000000,9400.0,9496.133701,1782184047838615399,0,1,1,1,1
output_tick,9500000000,9500.0,9502.932635,1782184047938615399,0,1,1,1,1
output_tick,9600000000,9600.0,9605.9086,1782184048038615399,0,1,1,1,1
output_tick,9700000000,9700.0,9705.973787,1782184048138615399,0,1,1,1,1
output_tick,9800000000,9800.0,9805.755754,1782184048238615399,0,1,1,1,1
sensor_arrival,9900000000,9900.0,9996.210802,1782184048338615399,0,1,1,1,2
output_tick,9900000000,9900.0,9996.570761,1782184048338615399,0,1,1,1,2
output_tick,10000000000,10000.0,10002.898942,1782184048438615399,0,1,1,1,2
output_tick,10100000000,10100.0,10102.901833,1782184048538615399,0,1,1,1,2
output_tick,10200000000,10200.0,10205.648375,1782184048638615399,0,1,1,1,2
output_tick,10300000000,10300.0,10309.044816,1782184048738615399,0,1,1,1,2
sensor_arrival,10400000000,10400.0,10499.834786,1782184048838615399,0,1,1,2,2
output_tick,10400000000,10400.0,10500.208448,1782184048838615399,0,1,1,2,2
output_tick,10500000000,10500.0,10503.364705,1782184048938615399,0,1,1,2,2
