federate,reactor,reaction,logical_time_ns,logical_time_ms,tag_time_ns,microstep,start_physical_time_ms,stop_physical_time_ms,execution_time_ms
c,Car,reaction,7000000000,7000.0,1781998981285737835,0,7010.63389,7011.095551,0.46166100000027654
adc,InputForCoach,input_arrival,7000000000,7000.0,1781998981285737835,0,7030.374479,7030.704277,0.3297979999997551
adc,InputForCoach,llm_output_tick,7000000000,7000.0,1781998981285737835,0,7031.013076,7031.261319,0.2482430000000022
c,Car,reaction,7100000000,7100.0,1781998981385737835,0,7110.608832,7111.006331,0.39749899999969784
adc,InputForCoach,input_arrival,7100000000,7100.0,1781998981385737835,0,7128.345791,7128.459142,0.113350999999966
c,Car,reaction,7200000000,7200.0,1781998981485737835,0,7211.702968,7212.075555,0.37258700000074896
c,Car,reaction,7300000000,7300.0,1781998981585737835,0,7310.755473,7311.144734,0.38926100000026054
adc,InputForCoach,input_arrival,7200000000,7200.0,1781998981485737835,0,7320.435083,7320.681343,0.2462599999998929
c,Car,reaction,7400000000,7400.0,1781998981685737835,0,7410.565982,7410.90659,0.34060799999951996
adc,InputForCoach,input_arrival,7300000000,7300.0,1781998981585737835,0,7420.727461,7420.973199,0.2457379999996192
llm,AgenticCoach,llm_inference,7000000000,7000.0,1781998981285737835,0,7034.479118,7446.32116,411.8420420000002
planner,ActionPlanner,monitoring_tardy,7000000000,7000.0,1781998981285737835,1,7447.1729,7447.275047,0.1021470000005138
adc,InputForCoach,input_arrival,7300000000,7300.0,1781998981585737835,1,7507.312878,7507.540562,0.22768400000040856
c,Car,reaction,7500000000,7500.0,1781998981785737835,0,7510.555011,7510.893707,0.3386959999997998
adc,InputForCoach,input_arrival,7400000000,7400.0,1781998981685737835,0,7520.406167,7520.629886,0.22371899999961897
adc,InputForCoach,input_arrival,7400000000,7400.0,1781998981685737835,1,7539.381352,7539.472008,0.09065599999939877
c,Car,reaction,7600000000,7600.0,1781998981885737835,0,7610.545081,7610.867194,0.3221130000001722
adc,InputForCoach,input_arrival,7500000000,7500.0,1781998981785737835,0,7620.604186,7620.835618,0.23143200000049546
adc,InputForCoach,llm_output_tick,7500000000,7500.0,1781998981785737835,0,7620.946205,7621.187772,0.24156700000003184
c,Car,reaction,7700000000,7700.0,1781998981985737835,0,7710.611046,7710.972183,0.3611369999998715
adc,InputForCoach,input_arrival,7600000000,7600.0,1781998981885737835,0,7720.54623,7720.828547,0.28231700000014825
c,Car,reaction,7800000000,7800.0,1781998982085737835,0,7810.651351,7810.984334,0.3329829999993308
adc,InputForCoach,input_arrival,7700000000,7700.0,1781998981985737835,0,7820.729577,7820.962265,0.23268800000005285
llm,AgenticCoach,llm_inference,7500000000,7500.0,1781998981785737835,0,7623.84521,7878.905462,255.0602519999993
planner,ActionPlanner,monitoring_tardy,7500000000,7500.0,1781998981785737835,1,7879.66315,7879.750451,0.0873009999995702
c,Car,reaction,7900000000,7900.0,1781998982185737835,0,7910.550878,7910.882579,0.3317010000000664
adc,InputForCoach,input_arrival,7800000000,7800.0,1781998982085737835,0,7920.707725,7920.938381,0.2306559999997262
adc,InputForCoach,input_arrival,7800000000,7800.0,1781998982085737835,1,7987.130536,7987.360505,0.22996899999998277
c,Car,reaction,8000000000,8000.0,1781998982285737835,0,8010.619087,8010.915618,0.296530999999959
adc,InputForCoach,input_arrival,7900000000,7900.0,1781998982185737835,0,8020.707896,8020.932098,0.2242020000003322
