federate,reactor,reaction,logical_time_ns,logical_time_ms,tag_time_ns,microstep,start_physical_time_ms,stop_physical_time_ms,execution_time_ms
federate,reactor,reaction,logical_time_ns,logical_time_ms,tag_time_ns,microstep,start_physical_time_ms,stop_physical_time_ms,execution_time_ms
d_control,DriverControl,sensor_arrival,151216498,151.216498,1781998974436954333,0,151.968009,152.331412,0.36340300000000525
d_control,DriverControl,sensor_arrival,159168581,159.168581,1781998974444906416,0,159.893666,160.183534,0.28986800000001267
d_control,DriverControl,sensor_arrival,183204440,183.20444,1781998974468942275,0,183.754786,184.032246,0.2774599999999907
d_control,DriverControl,sensor_arrival,191053042,191.053042,1781998974476790877,0,191.465557,191.63374,0.16818299999999908
d_control,DriverControl,sensor_arrival,215211548,215.211548,1781998974500949383,0,215.754079,216.034261,0.2801819999999964
d_control,DriverControl,sensor_arrival,223097224,223.097224,1781998974508835059,0,223.53972,223.731551,0.19183100000000763
d_control,DriverControl,sensor_arrival,239151093,239.151093,1781998974524888928,0,239.692902,239.958843,0.265940999999998
d_control,DriverControl,sensor_arrival,247211100,247.2111,1781998974532948935,0,247.965648,248.18159,0.2159420000000125
d_control,DriverControl,sensor_arrival,247479320,247.47932,1781998974533217155,0,248.731307,248.958378,0.22707100000002356
d_control,DriverControl,sensor_arrival,255169906,255.169906,1781998974540907741,0,255.862954,256.094359,0.2314049999999952
d_control,DriverControl,sensor_arrival,263026656,263.026656,1781998974548764491,0,263.362801,263.515114,0.15231299999999237
d_control,DriverControl,sensor_arrival,311137188,311.137188,1781998974596875023,0,311.686145,311.942068,0.2559229999999957
d_control,DriverControl,sensor_arrival,359182257,359.182257,1781998974644920092,0,359.722455,359.990434,0.26797899999996844
d_control,DriverControl,sensor_arrival,367225172,367.225172,1781998974652963007,0,367.754204,368.008905,0.2547010000000114
d_control,DriverControl,sensor_arrival,383069450,383.06945,1781998974668807285,0,383.616889,383.866664,0.24977499999999964
d_control,DriverControl,sensor_arrival,391146328,391.146328,1781998974676884163,0,392.002282,392.256372,0.25409000000001924
d_control,DriverControl,sensor_arrival,399090467,399.090467,1781998974684828302,0,399.475,399.633813,0.15881299999995235
d_control,DriverControl,sensor_arrival,407075365,407.075365,1781998974692813200,0,407.468323,407.652173,0.18385000000000673
d_control,DriverControl,sensor_arrival,423137455,423.137455,1781998974708875290,0,423.608191,423.911243,0.3030520000000365
d_control,DriverControl,sensor_arrival,439209120,439.20912,1781998974724946955,0,439.694448,439.992685,0.2982369999999719
d_control,DriverControl,sensor_arrival,591208485,591.208485,1781998974876946320,0,591.966921,592.225141,0.2582200000000512
d_control,DriverControl,sensor_arrival,607084614,607.084614,1781998974892822449,0,607.54311,607.850032,0.3069220000000996
d_control,DriverControl,sensor_arrival,615102623,615.102623,1781998974900840458,0,615.566859,615.767856,0.2009970000000294
d_control,DriverControl,sensor_arrival,623153131,623.153131,1781998974908890966,0,623.757124,624.006788,0.2496640000000525
d_control,DriverControl,sensor_arrival,623288814,623.288814,1781998974909026649,0,624.606189,624.749929,0.14373999999997977
d_control,DriverControl,sensor_arrival,631101732,631.101732,1781998974916839567,0,631.625856,631.86478,0.23892399999999725
d_control,DriverControl,sensor_arrival,631219472,631.219472,1781998974916957307,0,632.443515,632.591865,0.1483499999999367
d_control,DriverControl,sensor_arrival,639015242,639.015242,1781998974924753077,0,639.347146,639.504885,0.1577389999999923
d_control,DriverControl,sensor_arrival,647065120,647.06512,1781998974932802955,0,647.445338,647.606281,0.16094299999997475
d_control,DriverControl,sensor_arrival,655163739,655.163739,1781998974940901574,0,655.70514,655.959582,0.25444199999992634
d_control,DriverControl,sensor_arrival,671067312,671.067312,1781998974956805147,0,671.650714,671.933433,0.2827190000000428
d_control,DriverControl,sensor_arrival,679269022,679.269022,1781998974965006857,0,679.751073,679.993978,0.24290499999995063
d_control,DriverControl,sensor_arrival,687070089,687.070089,1781998974972807924,0,687.488677,687.66573,0.1770530000000008
d_control,DriverControl,sensor_arrival,695134911,695.134911,1781998974980872746,0,695.643332,695.869218,0.22588600000005954
d_control,DriverControl,sensor_arrival,839363673,839.363673,1781998975125101508,0,840.088147,840.359848,0.2717010000000073
d_control,DriverControl,sensor_arrival,847149369,847.149369,1781998975132887204,0,847.618475,847.849306,0.23083099999996648
d_control,DriverControl,sensor_arrival,1055305977,1055.305977,1781998975341043812,0,1055.93897,1056.15745,0.21847999999999956
d_control,DriverControl,sensor_arrival,1063287560,1063.28756,1781998975349025395,0,1063.945868,1064.255513,0.3096450000000459
d_control,DriverControl,sensor_arrival,4351761927,4351.761927,1781998978637499762,0,4352.52403,4352.975951,0.45192100000076607
d_control,DriverControl,sensor_arrival,4359993266,4359.993266,1781998978645731101,0,4361.63736,4363.971132,2.3337719999999536
d_control,DriverControl,sensor_arrival,4535734937,4535.734937,1781998978821472772,0,4536.314023,4536.539724,0.22570100000029925
d_control,DriverControl,sensor_arrival,4543757223,4543.757223,1781998978829495058,0,4544.294384,4544.521196,0.22681199999988166
d_control,DriverControl,sensor_arrival,4551596307,4551.596307,1781998978837334142,0,4552.108857,4552.325373,0.21651599999950122
d_control,DriverControl,sensor_arrival,4559539760,4559.53976,1781998978845277595,0,4559.974589,4560.138273,0.16368399999919347
d_control,DriverControl,sensor_arrival,4567578509,4567.578509,1781998978853316344,0,4567.956413,4568.093726,0.13731300000017654
d_control,DriverControl,sensor_arrival,4575664906,4575.664906,1781998978861402741,0,4576.235381,4576.467786,0.23240499999974418
d_control,DriverControl,sensor_arrival,4583540119,4583.540119,1781998978869277954,0,4584.000373,4584.170261,0.16988800000035553
d_control,DriverControl,sensor_arrival,4591600794,4591.600794,1781998978877338629,0,4592.175028,4592.366582,0.19155399999999645
