event,logical_time_ns,logical_time_ms,physical_time_ms,tag_time_ns,microstep,displacement_present,velocity_present,steer_present,head_present,eye_present,environment_states_present,distance_to_target_m,velocity_kmh,steering,head_history_json,eye_history_json,environment_json,control,instruction,inference_ms,control_present,instruction_present
llm_inference,7000000000,7000.0,7673.023479,1782184045438615399,0,1,1,1,1,1,1,4000.0,89.54208000000001,1,"[""CENTER""]","[""CENTER""]","{""road_phase"": ""HIGHWAY"", ""front_car_present"": 0, ""right_car_present"": 0, ""right_car_position"": ""NONE"", ""cross_left_car_present"": 0, ""cross_right_car_present"": 0}",NONE,,241.06548493728042,1,1
llm_inference,7400000000,7400.0,7934.443189,1782184045838615399,0,1,1,1,1,1,1,3965.2316791189114,87.75539718785244,1,"[""CENTER"", ""CENTER"", ""CENTER"", ""CENTER""]","[""CENTER"", ""CENTER"", ""CENTER"", ""CENTER""]","{""road_phase"": ""HIGHWAY"", ""front_car_present"": 0, ""right_car_present"": 0, ""right_car_position"": ""NONE"", ""cross_left_car_present"": 0, ""cross_right_car_present"": 0}",NONE,,260.04557497799397,1,1
llm_inference,7800000000,7800.0,8194.404308,1782184046238615399,0,1,1,1,1,1,1,3928.042517906621,86.0375647137227,1,"[""CENTER"", ""CENTER"", ""CENTER"", ""CENTER""]","[""CENTER"", ""CENTER"", ""CENTER"", ""CENTER""]","{""road_phase"": ""HIGHWAY"", ""front_car_present"": 0, ""right_car_present"": 0, ""right_car_position"": ""NONE"", ""cross_left_car_present"": 0, ""cross_right_car_present"": 0}",NONE,,258.92568100243807,1,1
llm_inference,8200000000,8200.0,8536.962591,1782184046638615399,0,1,1,1,1,1,1,3890.853356694164,84.38464889650945,1,"[""LEFT"", ""LEFT"", ""LEFT"", ""LEFT""]","[""CENTER"", ""CENTER"", ""CENTER"", ""CENTER""]","{""road_phase"": ""HIGHWAY"", ""front_car_present"": 0, ""right_car_present"": 0, ""right_car_position"": ""NONE"", ""cross_left_car_present"": 0, ""cross_right_car_present"": 0}",NONE,,265.0189599953592,1,1
llm_inference,8600000000,8600.0,8920.855555,1782184047038615399,0,1,1,1,1,1,1,3853.664195481708,82.79301043735464,1,"[""LEFT"", ""LEFT"", ""LEFT"", ""LEFT""]","[""CENTER"", ""CENTER"", ""CENTER"", ""CENTER""]","{""road_phase"": ""HIGHWAY"", ""front_car_present"": 0, ""right_car_present"": 0, ""right_car_position"": ""NONE"", ""cross_left_car_present"": 0, ""cross_right_car_present"": 0}",NONE,,248.51276585832238,1,1
llm_inference,9000000000,9000.0,9321.990268,1782184047438615399,0,1,1,1,1,1,1,3816.4750342692514,81.25927736335096,1,"[""LEFT"", ""LEFT"", ""CENTER"", ""CENTER""]","[""CENTER"", ""CENTER"", ""CENTER"", ""CENTER""]","{""road_phase"": ""HIGHWAY"", ""front_car_present"": 0, ""right_car_present"": 0, ""right_car_position"": ""NONE"", ""cross_left_car_present"": 0, ""cross_right_car_present"": 0}",NONE,,249.79213485494256,1,1
llm_inference,9400000000,9400.0,9765.122003,1782184047838615399,0,1,1,1,1,1,1,3779.285873056795,79.78032090352283,1,"[""CENTER"", ""CENTER"", ""CENTER"", ""CENTER""]","[""CENTER"", ""CENTER"", ""CENTER"", ""CENTER""]","{""road_phase"": ""HIGHWAY"", ""front_car_present"": 0, ""right_car_present"": 0, ""right_car_position"": ""NONE"", ""cross_left_car_present"": 0, ""cross_right_car_present"": 0}",NONE,,256.7936659324914,1,1
llm_inference,9800000000,9800.0,10134.569171,1782184048238615399,0,1,1,1,1,1,1,3742.0967118443386,78.35323393268723,1,"[""CENTER"", ""CENTER"", ""CENTER"", ""CENTER""]","[""CENTER"", ""CENTER"", ""CENTER"", ""CENTER""]","{""road_phase"": ""HIGHWAY"", ""front_car_present"": 0, ""right_car_present"": 0, ""right_car_position"": ""NONE"", ""cross_left_car_present"": 0, ""cross_right_car_present"": 0}",WARNING,Increase speed.,261.67318085208535,1,1
llm_inference,10200000000,10200.0,10549.06309,1782184048638615399,0,1,1,1,1,1,1,3704.9075506318823,76.97531166967624,1,"[""CENTER"", ""CENTER"", ""CENTER"", ""CENTER""]","[""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT""]","{""road_phase"": ""HIGHWAY"", ""front_car_present"": 0, ""right_car_present"": 0, ""right_car_position"": ""NONE"", ""cross_left_car_present"": 0, ""cross_right_car_present"": 0}",WARNING,Increase speed.,276.7519208136946,1,1
llm_inference,10600000000,10600.0,10929.260252,1782184049038615399,0,1,1,1,1,1,1,3667.718389419426,75.64403435942091,1,"[""CENTER"", ""RIGHT"", ""RIGHT"", ""RIGHT""]","[""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT""]","{""road_phase"": ""HIGHWAY"", ""front_car_present"": 0, ""right_car_present"": 0, ""right_car_position"": ""NONE"", ""cross_left_car_present"": 0, ""cross_right_car_present"": 0}",WARNING,Increase speed.,257.0743749383837,1,1
