event,logical_time_ns,logical_time_ms,physical_time_ms,tag_time_ns,microstep,displacement_present,velocity_present,car_steer_present,head_present,eye_present,environment_states_present,environment_distance,car_velocity,car_steer,head,eye,head_history_json,eye_history_json,environment_states_json
input_arrival,7000000000,7000.0,7033.274853,1781999082768566222,0,1,1,1,1,1,1,4000.0,90.53845591695502,1,1,1,"[""CENTER""]","[""CENTER""]","[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
llm_output_tick,7000000000,7000.0,7033.647271,1781999082768566222,0,1,1,1,1,1,1,4000.0,90.53845591695502,1,1,1,"[""CENTER""]","[""CENTER""]","[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
input_arrival,7100000000,7100.0,7130.380176,1781999082868566222,0,1,1,1,1,1,1,3993.1269913125693,90.98069981777203,1,1,1,"[""CENTER"", ""CENTER""]","[""CENTER"", ""CENTER""]","[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
input_arrival,7200000000,7200.0,7229.676196,1781999082968566222,0,1,1,1,1,1,1,3983.8262477871995,91.43986748469499,1,1,1,"[""CENTER"", ""CENTER"", ""CENTER""]","[""CENTER"", ""CENTER"", ""CENTER""]","[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
input_arrival,7300000000,7300.0,7330.289871,1781999083068566222,0,1,1,1,1,1,1,3974.528969348861,91.91499017084189,1,1,1,"[""CENTER"", ""CENTER"", ""CENTER"", ""CENTER""]","[""CENTER"", ""CENTER"", ""CENTER"", ""CENTER""]","[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
input_arrival,7400000000,7400.0,7503.271943,1781999083168566222,0,1,1,1,1,1,1,3965.2316791189114,92.37838587906323,1,2,2,"[""CENTER"", ""CENTER"", ""CENTER"", ""RIGHT""]","[""CENTER"", ""CENTER"", ""CENTER"", ""RIGHT""]","[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
input_arrival,7500000000,7500.0,7529.792525,1781999083268566222,0,1,1,1,1,1,1,3955.934388815963,92.77584955739223,1,2,2,"[""CENTER"", ""CENTER"", ""RIGHT"", ""RIGHT""]","[""CENTER"", ""CENTER"", ""RIGHT"", ""RIGHT""]","[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
llm_output_tick,7500000000,7500.0,7530.136231,1781999083268566222,0,1,1,1,1,1,1,3955.934388815963,92.77584955739223,1,2,2,"[""CENTER"", ""CENTER"", ""RIGHT"", ""RIGHT""]","[""CENTER"", ""CENTER"", ""RIGHT"", ""RIGHT""]","[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
input_arrival,7600000000,7600.0,7630.363221,1781999083368566222,0,1,1,1,1,1,1,3946.637098512849,93.16922478663932,1,2,2,"[""CENTER"", ""RIGHT"", ""RIGHT"", ""RIGHT""]","[""CENTER"", ""RIGHT"", ""RIGHT"", ""RIGHT""]","[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
input_arrival,7700000000,7700.0,7729.603499,1781999083468566222,0,1,1,1,1,1,1,3937.339808209735,93.57938173679652,1,2,2,"[""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT""]","[""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT""]","[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
