event,logical_time_ns,logical_time_ms,physical_time_ms,tag_time_ns,microstep,mode,from_mode,to_mode,reason,control_token,instruction,distance_to_target_m,velocity_kmh,environment_states_json,act_command,lane_command,act_set
mode_transition,16000000000,16000.0,16317.471893,1781999091768566222,0,MONITORING,MONITORING,WARNING,WARNING,WARNING,Reduce speed.,0.0,0.0,null,,,0
mode_transition,16500000000,16500.0,16824.336447,1781999092268566222,0,WARNING,WARNING,MONITORING,NONE,NONE,,0.0,0.0,null,,,0
mode_transition,17500000000,17500.0,17789.35893,1781999093268566222,0,MONITORING,MONITORING,WARNING,WARNING,WARNING,Increase speed.,0.0,0.0,null,,,0
mode_transition,18000000000,18000.0,18289.409884,1781999093768566222,0,WARNING,WARNING,MONITORING,NONE,NONE,,0.0,0.0,null,,,0
mode_transition,18500000000,18500.0,18792.912558,1781999094268566222,0,MONITORING,MONITORING,WARNING,WARNING,WARNING,Increase speed.,0.0,0.0,null,,,0
mode_transition,19000000000,19000.0,19266.640509,1781999094768566222,0,WARNING,WARNING,MONITORING,NONE,NONE,,0.0,0.0,null,,,0
mode_transition,24000000000,24000.0,24293.868533,1781999099768566222,0,MONITORING,MONITORING,WARNING,WARNING,WARNING,Increase speed.,0.0,0.0,null,,,0
mode_transition,24500000000,24500.0,24810.684613,1781999100268566222,0,WARNING,WARNING,MONITORING,NONE,NONE,,0.0,0.0,null,,,0
mode_transition,25000000000,25000.0,25284.804406,1781999100768566222,0,MONITORING,MONITORING,WARNING,WARNING,WARNING,Increase speed.,0.0,0.0,null,,,0
mode_transition,27500000000,27500.0,27784.577962,1781999103268566222,0,WARNING,WARNING,MONITORING,NONE,NONE,,0.0,0.0,null,,,0
mode_transition,33500000000,33500.0,33817.334981,1781999109268566222,0,MONITORING,MONITORING,WARNING,WARNING,WARNING,Increase speed.,0.0,0.0,null,,,0
mode_transition,34500000000,34500.0,34814.929123,1781999110268566222,0,WARNING,WARNING,MONITORING,NONE,NONE,,0.0,0.0,null,,,0
mode_transition,35000000000,35000.0,35290.572786,1781999110768566222,0,MONITORING,MONITORING,WARNING,WARNING,WARNING,Increase speed.,0.0,0.0,null,,,0
mode_transition,37500000000,37500.0,37778.444286,1781999113268566222,0,WARNING,WARNING,MONITORING,NONE,NONE,,0.0,0.0,null,,,0
mode_transition,38000000000,38000.0,38279.543418,1781999113768566222,0,MONITORING,MONITORING,WARNING,WARNING,WARNING,Increase speed.,0.0,0.0,null,,,0
mode_transition,39000000000,39000.0,39308.061967,1781999114768566222,0,WARNING,WARNING,MONITORING,NONE,NONE,,0.0,0.0,null,,,0
mode_transition,43000000000,43000.0,43284.799521,1781999118768566222,0,MONITORING,MONITORING,WARNING,WARNING,WARNING,Increase speed.,0.0,0.0,null,,,0
