event,logical_time_ns,logical_time_ms,physical_time_ms,lag_ms,control,instruction,inference_ms
llm_inference,7000000000,7000.0,7333.152504,333.1525039999997,NONE,,292.2667299862951
llm_inference,7700000000,7700.0,8019.231862,319.23186199999964,NONE,,281.1700801830739
llm_inference,8400000000,8400.0,8793.449518,393.44951799999944,NONE,,280.18976910971105
llm_inference,9100000000,9100.0,9405.25606,305.2560599999997,WARNING,Increase speed.,268.2787759695202
llm_inference,9800000000,9800.0,10132.735783,332.7357830000001,NONE,,278.904136037454
llm_inference,10500000000,10500.0,10812.544578,312.5445779999991,NONE,,273.56781088747084
llm_inference,11200000000,11200.0,11498.245226,298.2452259999991,WARNING,Increase speed.,259.56417503766716
llm_inference,11900000000,11900.0,12277.922892,377.9228920000005,WARNING,Increase speed.,268.64779903553426
llm_inference,12600000000,12600.0,12888.12653,288.12652999999955,NONE,,252.3863259702921
llm_inference,13300000000,13300.0,13599.898771,299.8987710000001,WARNING,Increase speed.,262.93521909974515
llm_inference,14000000000,14000.0,14291.963115,291.96311500000047,NONE,,255.99961495026946
llm_inference,14700000000,14700.0,15011.386081,311.38608100000056,NONE,,262.13416480459273
llm_inference,15400000000,15400.0,15778.179107,378.17910699999993,NONE,,265.35535603761673
llm_inference,16100000000,16100.0,16402.509733,302.50973299999896,NONE,,267.7158107981086
llm_inference,16800000000,16800.0,17101.66913,301.6691299999984,NONE,,264.91581881418824
llm_inference,17500000000,17500.0,17807.081727,307.0817270000007,NONE,,270.48069098964334
llm_inference,18200000000,18200.0,18485.001419,285.00141900000017,NONE,,249.1381207946688
llm_inference,18900000000,18900.0,19270.607841,370.6078410000009,NONE,,254.97420807369053
llm_inference,19600000000,19600.0,19886.284735,286.2847350000011,NONE,,248.03065788000822
llm_inference,20300000000,20300.0,20612.509151,312.5091509999984,NONE,,274.96031182818115
llm_inference,21000000000,21000.0,21294.622785,294.62278499999957,NONE,,247.23259801976383
llm_inference,21700000000,21700.0,22011.27118,311.27117999999973,NONE,,272.98498596064746
llm_inference,22400000000,22400.0,22792.793309,392.7933090000006,NONE,,278.2511638943106
llm_inference,23100000000,23100.0,23407.707762,307.7077619999982,WARNING,Reduce speed.,270.2009549830109
llm_inference,23800000000,23800.0,24105.147749,305.14774899999975,NONE,,265.84248384460807
llm_inference,24500000000,24500.0,24812.107512,312.1075119999987,NONE,,276.6228490509093
llm_inference,25200000000,25200.0,25535.200119,335.200119000001,NONE,,293.6061250511557
llm_inference,25900000000,25900.0,26274.429476,374.42947600000116,NONE,,263.5678108781576
llm_inference,26600000000,26600.0,26906.030004,306.0300040000002,WARNING,Reduce speed.,267.507737968117
llm_inference,27300000000,27300.0,27587.972812,287.972812,NONE,,247.78503086417913
llm_inference,28000000000,28000.0,28291.449224,291.44922399999996,WARNING,Reduce speed.,256.0310331173241
llm_inference,28700000000,28700.0,28999.304962,299.30496199999834,NONE,,259.98042803257704
llm_inference,29400000000,29400.0,29763.647555,363.64755499999956,NONE,,251.12341111525893
llm_inference,30100000000,30100.0,30481.983583,381.9835830000011,NONE,,257.1413319092244
llm_inference,30800000000,30800.0,31199.431007,399.4310069999992,NONE,,276.0800279211253
llm_inference,31500000000,31500.0,31878.155503,378.1555030000018,WARNING,Increase speed.,254.09058900550008
llm_inference,32200000000,32200.0,32594.3254,394.32540000000154,WARNING,Increase speed.,270.7490101456642
llm_inference,32900000000,32900.0,33270.894149,370.89414899999974,WARNING,Increase speed.,269.44682095199823
llm_inference,33600000000,33600.0,33900.690009,300.6900089999981,WARNING,Increase speed.,265.9521431196481
llm_inference,34300000000,34300.0,34593.118631,293.11863099999755,NONE,,254.90198889747262
llm_inference,35000000000,35000.0,35286.785395,286.78539499999897,WARNING,Increase speed.,251.1448918376118
llm_inference,35700000000,35700.0,35988.980987,288.98098700000264,WARNING,Increase speed.,252.0048099104315
llm_inference,36400000000,36400.0,36775.835782,375.8357820000019,WARNING,Increase speed.,267.4614288844168
llm_inference,37100000000,37100.0,37404.656128,304.65612800000235,WARNING,Increase speed.,265.50744310952723
llm_inference,37800000000,37800.0,38110.818779,310.8187790000011,NONE,,275.3947679884732
llm_inference,38500000000,38500.0,38804.202987,304.20298699999694,WARNING,Increase speed.,265.1519051287323
llm_inference,39200000000,39200.0,39507.915037,307.91503699999885,WARNING,Increase speed.,269.99102788977325
llm_inference,39900000000,39900.0,40274.479248,374.4792480000033,WARNING,Reduce speed.,263.28682294115424
llm_inference,40600000000,40600.0,40909.131838,309.13183800000115,WARNING,Increase speed.,260.2624411229044
llm_inference,41300000000,41300.0,41602.919599,302.91959900000074,WARNING,Reduce speed.,266.2085769698024
llm_inference,42000000000,42000.0,42283.430165,283.43016499999794,WARNING,Reduce speed.,247.76750290766358
llm_inference,42700000000,42700.0,43004.852184,304.85218400000304,WARNING,Increase speed.,267.65971700660884
llm_inference,43400000000,43400.0,43803.808766,403.8087660000019,NONE,,291.96861712262034
llm_inference,44100000000,44100.0,44395.958763,295.95876300000236,WARNING,Reduce speed.,259.2795449309051
llm_inference,44800000000,44800.0,45174.594224,374.5942240000004,WARNING,Reduce speed.,251.1883690021932
llm_inference,45500000000,45500.0,45820.086624,320.0866240000032,NONE,,283.22934987954795
llm_inference,46200000000,46200.0,46526.166436,326.1664359999995,WARNING,Look right before changing lanes.,287.77877800166607
llm_inference,46900000000,46900.0,47280.189882,380.18988199999876,NONE,,266.9131550937891
llm_inference,47600000000,47600.0,48022.328944,422.3289440000008,NONE,,298.03708009421825
llm_inference,48300000000,48300.0,48629.851559,329.85155900000245,NONE,,292.85022104159
llm_inference,49000000000,49000.0,49311.428969,311.4289690000005,NONE,,272.8390139527619
llm_inference,49700000000,49700.0,50025.362634,325.36263399999734,NONE,,280.92183195985854
llm_inference,50400000000,50400.0,50772.044289,372.04428899999766,NONE,,264.72206017933786
llm_inference,51100000000,51100.0,51379.344356,279.3443560000014,NONE,,244.11793192848563
llm_inference,51800000000,51800.0,52102.456075,302.4560750000019,WARNING,Increase speed.,263.9773041009903
llm_inference,52500000000,52500.0,52815.90466,315.90466000000015,NONE,,279.5537989586592
llm_inference,53200000000,53200.0,53505.193789,305.1937889999972,NONE,,265.65867103636265
llm_inference,53900000000,53900.0,54258.99873,358.99872999999934,NONE,,252.9835430905223
llm_inference,54600000000,54600.0,54910.610701,310.6107009999978,NONE,,268.6901120468974
llm_inference,55300000000,55300.0,55605.72526,305.72525999999925,NONE,,268.3641780167818
llm_inference,56000000000,56000.0,56294.676761,294.67676100000244,WARNING,Reduce speed.,256.198198068887
llm_inference,56700000000,56700.0,57006.105181,306.105180999999,NONE,,269.1636518575251
llm_inference,57400000000,57400.0,57781.226039,381.22603900000104,NONE,,274.5532391127199
llm_inference,58100000000,58100.0,58404.426954,304.4269540000023,NONE,,268.4915619902313
llm_inference,58800000000,58800.0,59121.745781,321.7457809999978,WARNING,Reduce speed.,282.9591450281441
llm_inference,59500000000,59500.0,59801.610776,301.61077600000135,NONE,,266.2679289933294
llm_inference,60200000000,60200.0,60496.587371,296.58737100000144,NONE,,258.1777039449662
llm_inference,60900000000,60900.0,61275.445312,375.44531200000347,NONE,,271.1508919019252
llm_inference,61600000000,61600.0,61889.826894,289.826893999998,NONE,,254.2941919527948
llm_inference,62300000000,62300.0,62602.803255,302.8032549999989,NONE,,266.57695695757866
llm_inference,63000000000,63000.0,63284.76301,284.7630100000024,NONE,,248.72689694166183
llm_inference,63700000000,63700.0,63986.665974,286.6659740000032,WARNING,Reduce speed.,249.01920394040644
llm_inference,64400000000,64400.0,64788.680247,388.6802469999966,NONE,,281.55700280331075
llm_inference,65100000000,65100.0,65401.587605,301.5876050000006,NONE,,262.05623894929886
llm_inference,65800000000,65800.0,66087.338971,287.3389710000047,NONE,,250.85111404769123
llm_inference,66500000000,66500.0,66800.851123,300.85112300000037,NONE,,264.67077783308923
llm_inference,67200000000,67200.0,67495.644262,295.6442620000016,NONE,,258.98161600343883
llm_inference,67900000000,67900.0,68285.685384,385.6853839999967,NONE,,275.3698630258441
llm_inference,68600000000,68600.0,68909.565367,309.5653670000029,NONE,,274.2996900342405
llm_inference,69300000000,69300.0,69608.037081,308.0370810000022,NONE,,271.69919200241566
llm_inference,70000000000,70000.0,70297.303634,297.30363399999624,NONE,,260.9912131447345
llm_inference,70700000000,70700.0,71003.616913,303.6169130000053,NONE,,266.68229000642896
llm_inference,71400000000,71400.0,71776.052141,376.05214099999284,NONE,,252.31287605129182
llm_inference,72100000000,72100.0,72442.328826,342.3288259999972,NONE,,302.45281383395195
llm_inference,72800000000,72800.0,73153.425966,353.42596599999524,NONE,,314.072378911078
llm_inference,73500000000,73500.0,73855.786172,355.7861719999928,NONE,,319.5561608299613
llm_inference,74200000000,74200.0,74508.267394,308.26739399999497,NONE,,272.1160729415715
llm_inference,74900000000,74900.0,75298.958948,398.9589479999995,ACTUATE,Brake for the vehicle ahead.,288.2753361482173
llm_inference,75600000000,75600.0,75960.673192,360.673192000002,NONE,,324.42039297893643
llm_inference,76300000000,76300.0,76645.671666,345.67166599999473,NONE,,308.0176468938589
llm_inference,77000000000,77000.0,77349.458909,349.4589089999936,NONE,,300.45811203308403
llm_inference,77700000000,77700.0,78068.09858,368.0985800000053,NONE,,330.6847501080483
