logical_time_ns,logical_time_ms,head_present,eye_present,head,eye
7000000000,7000.0,1,1,1,1
7100000000,7100.0,1,1,1,1
7200000000,7200.0,1,1,1,1
7300000000,7300.0,1,1,1,1
7400000000,7400.0,1,1,2,1
7500000000,7500.0,1,1,2,1
7600000000,7600.0,1,1,2,1
7700000000,7700.0,1,1,2,1
7800000000,7800.0,1,1,2,1
7900000000,7900.0,1,1,2,1
8000000000,8000.0,1,1,2,1
8100000000,8100.0,1,1,2,1
8200000000,8200.0,1,1,2,1
8300000000,8300.0,1,1,2,1
8400000000,8400.0,1,1,2,1
8500000000,8500.0,1,1,2,1
8600000000,8600.0,1,1,2,1
8700000000,8700.0,1,1,2,1
8800000000,8800.0,1,1,2,1
8900000000,8900.0,1,1,2,1
9000000000,9000.0,1,1,2,1
9100000000,9100.0,1,1,2,1
9200000000,9200.0,1,1,2,1
9300000000,9300.0,1,1,2,1
9400000000,9400.0,1,1,2,1
9500000000,9500.0,1,1,2,1
9600000000,9600.0,1,1,2,1
9700000000,9700.0,1,1,2,1
9800000000,9800.0,1,1,2,1
9900000000,9900.0,1,1,2,1
10000000000,10000.0,1,1,2,1
10100000000,10100.0,1,1,2,1
10200000000,10200.0,1,1,2,1
10300000000,10300.0,1,1,2,1
10400000000,10400.0,1,1,2,1
10500000000,10500.0,1,1,2,1
10600000000,10600.0,1,1,2,1
10700000000,10700.0,1,1,2,1
10800000000,10800.0,1,1,2,1
10900000000,10900.0,1,1,2,1
11000000000,11000.0,1,1,2,1
11100000000,11100.0,1,1,2,1
11200000000,11200.0,1,1,2,1
11300000000,11300.0,1,1,2,1
11400000000,11400.0,1,1,2,1
11500000000,11500.0,1,1,2,1
11600000000,11600.0,1,1,2,1
11700000000,11700.0,1,1,2,1
11800000000,11800.0,1,1,2,1
11900000000,11900.0,1,1,2,1
12000000000,12000.0,1,1,2,1
12100000000,12100.0,1,1,2,1
12200000000,12200.0,1,1,2,1
12300000000,12300.0,1,1,2,1
12400000000,12400.0,1,1,2,1
12500000000,12500.0,1,1,2,1
12600000000,12600.0,1,1,2,1
12700000000,12700.0,1,1,2,1
12800000000,12800.0,1,1,2,1
12900000000,12900.0,1,1,2,1
13000000000,13000.0,1,1,2,1
13100000000,13100.0,1,1,2,1
13200000000,13200.0,1,1,2,1
13300000000,13300.0,1,1,2,1
13400000000,13400.0,1,1,2,1
13500000000,13500.0,1,1,2,1
13600000000,13600.0,1,1,2,1
13700000000,13700.0,1,1,2,1
13800000000,13800.0,1,1,2,1
13900000000,13900.0,1,1,2,1
14000000000,14000.0,1,1,2,1
14100000000,14100.0,1,1,2,1
14200000000,14200.0,1,1,2,1
14300000000,14300.0,1,1,2,1
14400000000,14400.0,1,1,2,1
14500000000,14500.0,1,1,2,1
14600000000,14600.0,1,1,2,1
14700000000,14700.0,1,1,2,1
14800000000,14800.0,1,1,2,1
