event,logical_time_ns,logical_time_ms,physical_time_ms,tag_time_ns,microstep,steer_in_present,accel_in_present,brake_in_present,actuate_in_present,steer_in,accel_in,brake_in,actuate_in,car_velocity,car_steer
reaction,7000000000,7000.0,7021.297649,7000000000,0,1,1,1,0,1,0.0,0.0,,89.54208000000001,1
reaction,7100000000,7100.0,7120.978925,7100000000,0,1,1,1,0,1,0.0,0.0,,89.0887275505152,1
reaction,7200000000,7200.0,7220.856727,7200000000,0,1,1,1,0,1,0.0,0.0,,88.63987414070577,1
reaction,7300000000,7300.0,7320.558688,7300000000,0,1,1,1,0,1,0.0,0.0,,88.19545262472354,1
reaction,7400000000,7400.0,7420.88293,7400000000,0,1,1,1,0,1,0.0,0.0,,87.75539718785244,1
reaction,7500000000,7500.0,7527.12132,7500000000,0,1,1,1,0,1,0.0,0.0,,87.31964331365256,1
reaction,7600000000,7600.0,7620.566992,7600000000,0,1,1,1,0,1,0.9764705882352941,0.0,,88.2810113506894,1
reaction,7700000000,7700.0,7720.455673,7700000000,0,1,1,1,0,1,1.0,0.0,,89.28011707485048,1
reaction,7800000000,7800.0,7820.887325,7800000000,0,1,1,1,0,1,1.0,0.0,,90.2693671134672,1
reaction,7900000000,7900.0,7920.801508,7900000000,0,1,1,1,0,1,1.0,0.0,,91.24874941129687,1
reaction,8000000000,8000.0,8020.814704,8000000000,0,1,1,1,0,1,0.5137254901960784,0.0,,91.37412850322742,1
reaction,8100000000,8100.0,8120.933399,8100000000,0,1,1,1,0,1,0.0,0.0,,90.90236231657607,1
reaction,8200000000,8200.0,8220.779154,8200000000,0,1,1,1,0,1,0.0,0.0,,90.43537345686862,1
reaction,8300000000,8300.0,8320.869163,8300000000,0,1,1,1,0,1,0.0,0.0,,89.97308919174178,1
reaction,8400000000,8400.0,8420.899989,8400000000,0,1,1,1,0,1,0.0,0.0,,89.51543825959149,1
reaction,8500000000,8500.0,8520.958961,8500000000,0,1,1,1,0,1,0.0,0.0,,89.06235083254668,1
reaction,8600000000,8600.0,8620.748107,8600000000,0,1,1,1,0,1,0.0,0.0,,88.6137584805567,1
reaction,8700000000,8700.0,8720.966753,8700000000,0,1,1,1,0,1,0.0,0.0,,88.16959413655391,1
reaction,8800000000,8800.0,8820.452063,8800000000,0,1,1,1,0,1,0.0,0.0,,87.72979206265366,1
reaction,8900000000,8900.0,8920.904759,8900000000,0,1,1,1,0,1,0.0,0.0,,87.29428781735608,1
reaction,9000000000,9000.0,9020.869376,9000000000,0,1,1,1,0,1,0.0,0.0,,86.863018223715,1
reaction,9100000000,9100.0,9120.713354,9100000000,0,1,1,1,0,1,0.0,0.0,,86.43592133844092,1
reaction,9200000000,9200.0,9220.726268,9200000000,0,1,1,1,0,1,1.0,0.0,,87.4529364219062,1
reaction,9300000000,9300.0,9320.792939,9300000000,0,1,1,1,0,1,1.0,0.0,,88.46012663919431,1
reaction,9400000000,9400.0,9420.900485,9400000000,0,1,1,1,0,1,1.0,0.0,,89.4574736389153,1
reaction,9500000000,9500.0,9521.149665,9500000000,0,1,1,1,0,1,1.0,0.0,,90.44496255058989,1
reaction,9600000000,9600.0,9620.526942,9600000000,0,1,1,1,0,1,1.0,0.0,,91.4225819255467,1
reaction,9700000000,9700.0,9721.024557,9700000000,0,1,1,1,0,1,1.0,0.0,,92.39032367632818,1
