event,logical_time_ns,logical_time_ms,physical_time_ms,lag_ms,control,instruction,inference_ms
llm_inference,7000000000,7000.0,7238.384767,238.38476699999956,NONE,,192.5139371305704
llm_inference,7700000000,7700.0,8119.54315,419.5431500000004,NONE,,379.6550070401281
llm_inference,8400000000,8400.0,8712.264144,312.26414400000067,WARNING,Increase speed.,193.47785180434585
llm_inference,9100000000,9100.0,9350.305064,250.30506400000013,WARNING,Increase speed.,207.66439521685243
llm_inference,9800000000,9800.0,10033.635622,233.63562199999978,WARNING,Increase speed.,194.72250086255372
llm_inference,10500000000,10500.0,10730.809847,230.80984700000045,WARNING,Increase speed.,193.63145995885134
llm_inference,11200000000,11200.0,11437.42715,237.42714999999953,WARNING,Increase speed.,198.24355491437018
llm_inference,11900000000,11900.0,12212.651823,312.65182300000015,WARNING,Increase speed.,195.02630992792547
llm_inference,12600000000,12600.0,12834.520531,234.52053100000012,WARNING,Increase speed.,189.80293697677553
llm_inference,13300000000,13300.0,13542.06083,242.06083000000035,WARNING,Increase speed.,201.6214590985328
llm_inference,14000000000,14000.0,14233.974821,233.9748209999998,WARNING,Increase speed.,195.25725790299475
llm_inference,14700000000,14700.0,14940.037526,240.03752600000007,WARNING,Increase speed.,196.4274609927088
llm_inference,15400000000,15400.0,15911.150021,511.15002099999947,NONE,,395.48292802646756
llm_inference,16100000000,16100.0,16522.214628,422.21462800000154,NONE,,381.6061411052942
llm_inference,16800000000,16800.0,17042.300176,242.30017600000065,WARNING,Increase speed.,202.311840839684
llm_inference,17500000000,17500.0,17731.809365,231.80936500000098,WARNING,Increase speed.,191.97944598272443
llm_inference,18200000000,18200.0,18431.837664,231.83766399999877,WARNING,Increase speed.,193.07413697242737
llm_inference,18900000000,18900.0,19204.781717,304.78171700000166,WARNING,Increase speed.,189.48323000222445
llm_inference,19600000000,19600.0,19843.476569,243.47656899999856,WARNING,Increase speed.,204.66574002057314
llm_inference,20300000000,20300.0,20535.515357,235.51535700000022,WARNING,Increase speed.,197.1691690851003
llm_inference,21000000000,21000.0,21233.092978,233.09297800000058,WARNING,Increase speed.,195.20029006525874
llm_inference,21700000000,21700.0,21947.933789,247.9337889999988,WARNING,Increase speed.,207.6417338103056
llm_inference,22400000000,22400.0,22704.464142,304.4641420000007,WARNING,Increase speed.,193.09168797917664
llm_inference,23100000000,23100.0,23333.093906,233.09390599999824,WARNING,Increase speed.,192.37757404334843
llm_inference,23800000000,23800.0,24048.638136,248.6381360000014,WARNING,Increase speed.,209.67976097017527
llm_inference,24500000000,24500.0,24745.89908,245.89907999999923,WARNING,Reduce speed.,197.3950059618801
llm_inference,25200000000,25200.0,25460.700049,260.7000489999991,WARNING,Reduce speed.,195.61664410866797
llm_inference,25900000000,25900.0,26402.668704,502.6687039999997,NONE,,387.6612219028175
llm_inference,26600000000,26600.0,27107.969865,507.9698649999991,NONE,,383.9973579160869
llm_inference,27300000000,27300.0,27808.841091,508.8410909999984,NONE,,385.60203299857676
