event,logical_time_ns,logical_time_ms,physical_time_ms,tag_time_ns,microstep,steer_in_present,accel_in_present,brake_in_present,actuate_in_present,steer_in,accel_in,brake_in,actuate_in,car_velocity,car_steer
reaction,7000000000,7000.0,7020.936386,7000000000,0,1,1,1,0,1,0.0,0.0,,89.54208000000001,1
reaction,7100000000,7100.0,7121.081145,7100000000,0,1,1,1,0,1,0.0,0.0,,89.0887275505152,1
reaction,7200000000,7200.0,7221.03742,7200000000,0,1,1,1,0,1,0.0,0.0,,88.63987414070577,1
reaction,7300000000,7300.0,7320.662336,7300000000,0,1,1,1,0,1,0.0,0.0,,88.19545262472354,1
reaction,7400000000,7400.0,7420.630684,7400000000,0,1,1,1,0,1,0.0,0.0,,87.75539718785244,1
reaction,7500000000,7500.0,7520.475153,7500000000,0,1,1,1,0,1,0.0,0.0,,87.31964331365256,1
reaction,7600000000,7600.0,7620.342009,7600000000,0,1,1,1,0,1,0.0,0.0,,86.88812775207349,1
reaction,7700000000,7700.0,7720.46656,7700000000,0,1,1,1,0,1,0.0,0.0,,86.46078848850345,1
reaction,7800000000,7800.0,7820.424165,7800000000,0,1,1,1,0,1,0.0,0.0,,86.0375647137227,1
reaction,7900000000,7900.0,7920.591874,7900000000,0,1,1,1,0,1,0.0,0.0,,85.61839679473003,1
reaction,8000000000,8000.0,8020.248864,8000000000,0,1,1,1,0,1,0.0,0.0,,85.20322624641337,1
reaction,8100000000,8100.0,8120.409682,8100000000,0,1,1,1,0,1,0.0,0.0,,84.79199570403573,1
reaction,8200000000,8200.0,8220.689136,8200000000,0,1,1,1,0,1,0.0,0.0,,84.38464889650945,1
reaction,8300000000,8300.0,8320.780076,8300000000,0,1,1,1,0,1,0.0,0.0,,83.98113062043238,1
reaction,8400000000,8400.0,8420.395896,8400000000,0,1,1,1,0,1,0.0,0.0,,83.58138671486093,1
reaction,8500000000,8500.0,8520.528703,8500000000,0,1,1,1,0,1,0.0,0.0,,83.18536403679542,1
reaction,8600000000,8600.0,8620.531168,8600000000,0,1,1,1,0,1,0.0,0.0,,82.79301043735464,1
reaction,8700000000,8700.0,8720.547083,8700000000,0,1,1,1,0,1,0.0,0.0,,82.40427473861688,1
reaction,8800000000,8800.0,8820.476461,8800000000,0,1,1,1,0,1,0.0,0.0,,82.0191067111059,1
reaction,8900000000,8900.0,8920.808658,8900000000,0,1,1,1,0,1,0.0,0.0,,81.63745705190102,1
reaction,9000000000,9000.0,9020.459692,9000000000,0,1,1,1,0,1,0.0,0.0,,81.25927736335096,1
reaction,9100000000,9100.0,9120.660842,9100000000,0,1,1,1,0,1,0.0,0.0,,80.8845201323724,1
reaction,9200000000,9200.0,9220.478036,9200000000,0,1,1,1,0,1,0.0,0.0,,80.5131387103144,1
reaction,9300000000,9300.0,9320.471456,9300000000,0,1,1,1,0,1,0.0,0.0,,80.14508729337071,1
reaction,9400000000,9400.0,9420.448816,9400000000,0,1,1,1,0,1,0.0,0.0,,79.78032090352283,1
reaction,9500000000,9500.0,9520.587042,9500000000,0,1,1,1,0,1,0.0,0.0,,79.41879536999677,1
reaction,9600000000,9600.0,9620.89495,9600000000,0,1,1,1,0,1,0.0,0.0,,79.0604673112178,1
tardy,9600000000,9600.0,9720.463828,9600000000,1,0,0,0,1,,,,ACCEL,79.28129411724736,1
reaction,9700000000,9700.0,9721.255041,9700000000,0,1,1,1,0,1,0.0,0.0,,78.92417836186372,1
reaction,9800000000,9800.0,9820.893423,9800000000,0,1,1,1,0,1,0.0,0.0,,78.57020136574732,1
reaction,9900000000,9900.0,9920.88257,9900000000,0,1,1,1,0,1,0.0,0.0,,78.2193215578221,1
reaction,10000000000,10000.0,10020.822566,10000000000,0,1,1,1,0,1,0.01568627450980392,0.0,,77.88519276993759,1
reaction,10100000000,10100.0,10120.612691,10100000000,0,1,1,1,0,1,0.08627450980392157,0.0,,77.61909554578108,1
reaction,10200000000,10200.0,10220.591202,10200000000,0,1,1,1,0,1,0.23137254901960785,0.0,,77.50720969532419,1
reaction,10300000000,10300.0,10320.335441,10300000000,0,1,1,1,0,1,0.3137254901960784,0.0,,77.49329791844526,1
reaction,10400000000,10400.0,10420.873934,10400000000,0,1,1,1,0,1,0.3137254901960784,0.0,,77.4795059378151,1
reaction,10500000000,10500.0,10520.804497,10500000000,0,1,1,1,0,1,0.3215686274509804,0.0,,77.47547920581466,1
reaction,10600000000,10600.0,10620.813582,10600000000,0,1,1,1,0,1,0.3215686274509804,0.0,,77.47148713838072,1
reaction,10700000000,10700.0,10720.861657,10700000000,0,1,1,1,0,1,0.32941176470588235,0.0,,77.47724680556335,1
reaction,10800000000,10800.0,10820.904338,10800000000,0,1,1,1,0,1,0.2549019607843137,0.0,,77.39350305118566,1
reaction,10900000000,10900.0,10920.947788,10900000000,0,1,1,1,0,1,0.29411764705882354,0.0,,77.35676355927865,1
reaction,11000000000,11000.0,11020.891774,11000000000,0,1,1,1,0,1,0.3215686274509804,0.0,,77.35379265905607,1
reaction,11100000000,11100.0,11120.869078,11100000000,0,1,1,1,0,1,0.4,0.0,,77.4512099235705,1
reaction,11200000000,11200.0,11220.320404,11200000000,0,1,1,1,0,1,0.4,0.0,,77.54778937253577,1
reaction,11300000000,11300.0,11320.487787,11300000000,0,1,1,1,0,1,0.4,0.0,,77.64353717050427,1
reaction,11400000000,11400.0,11420.961115,11400000000,0,1,1,1,0,1,0.4,0.0,,77.7384594558183,1
reaction,11500000000,11500.0,11520.67838,11500000000,0,1,1,1,0,1,0.4,0.0,,77.83256234034253,1
reaction,11600000000,11600.0,11620.813432,11600000000,0,1,1,1,0,1,0.4,0.0,,77.92585190920568,1
reaction,11700000000,11700.0,11720.793082,11700000000,0,1,1,1,0,1,0.4,0.0,,78.01833422055148,1
reaction,11800000000,11800.0,11820.85736,11800000000,0,1,1,1,0,1,0.403921568627451,0.0,,78.11521945754787,1
reaction,11900000000,11900.0,11920.436673,11900000000,0,1,1,1,0,1,0.42745098039215684,0.0,,78.24286125865315,1
reaction,12000000000,12000.0,12020.54515,12000000000,0,1,1,1,0,1,0.4588235294117647,0.0,,78.41251567567258,1
reaction,12100000000,12100.0,12120.776156,12100000000,0,1,1,1,0,1,0.48627450980392156,0.0,,78.61935489220164,1
reaction,12200000000,12200.0,12220.822839,12200000000,0,1,1,1,0,1,0.5019607843137255,0.0,,78.84687158260928,1
reaction,12300000000,12300.0,12320.831496,12300000000,0,1,1,1,0,1,0.5019607843137255,0.0,,79.072397928867,1
reaction,12400000000,12400.0,12420.299515,12400000000,0,1,1,1,0,1,0.47843137254901963,0.0,,79.26232905746949,1
reaction,12500000000,12500.0,12520.870765,12500000000,0,1,1,1,0,1,0.47843137254901963,0.0,,79.45058948088344,1
reaction,12600000000,12600.0,12620.646293,12600000000,0,1,1,1,0,1,0.49019607843137253,0.0,,79.65391852109865,1
reaction,12700000000,12700.0,12720.817001,12700000000,0,1,1,1,0,1,0.5058823529411764,0.0,,79.87800311036501,1
reaction,12800000000,12800.0,12820.912069,12800000000,0,1,1,1,0,1,0.5019607843137255,0.0,,80.09443688870412,1
reaction,12900000000,12900.0,12920.638817,12900000000,0,1,1,1,0,1,0.4980392156862745,0.0,,80.30330008379642,1
reaction,13000000000,13000.0,13020.868201,13000000000,0,1,1,1,0,1,0.4980392156862745,0.0,,80.51030210200929,1
reaction,13100000000,13100.0,13121.023088,13100000000,0,1,1,1,0,1,0.49019607843137253,0.0,,80.70421377690799,1
reaction,13200000000,13200.0,13220.481326,13200000000,0,1,1,1,0,1,0.47843137254901963,0.0,,80.8796601273367,1
reaction,13300000000,13300.0,13321.043798,13300000000,0,1,1,1,0,1,0.2784313725490196,0.0,,80.79354092836543,1
reaction,13400000000,13400.0,13420.874566,13400000000,0,1,1,1,0,1,0.2784313725490196,0.0,,80.70819523864805,1
reaction,13500000000,13500.0,13520.829854,13500000000,0,1,1,1,0,1,0.30196078431372547,0.0,,80.65181073018236,1
reaction,13600000000,13600.0,13620.818608,13600000000,0,1,1,1,0,1,0.3254901960784314,0.0,,80.62476489552213,1
reaction,13700000000,13700.0,13720.906813,13700000000,0,1,1,1,0,1,0.3215686274509804,0.0,,80.59311155940556,1
reaction,13800000000,13800.0,13820.920145,13800000000,0,1,1,1,0,1,0.043137254901960784,0.0,,80.26268677983829,1
reaction,13900000000,13900.0,13920.87178,13900000000,0,1,1,1,0,1,0.0,0.0,,79.89687239710949,1
reaction,14000000000,14000.0,14020.495935,14000000000,0,1,1,1,0,1,0.0,0.0,,79.53431294050728,1
reaction,14100000000,14100.0,14120.825541,14100000000,0,1,1,1,0,1,0.0,0.0,,79.17496477745624,1
reaction,14200000000,14200.0,14220.798131,14200000000,0,1,1,1,0,1,0.0,0.0,,78.81878505259449,1
reaction,14300000000,14300.0,14320.336857,14300000000,0,1,1,1,0,1,0.0,0.0,,78.46573167052965,1
reaction,14400000000,14400.0,14420.471531,14400000000,0,1,1,1,0,1,0.0,0.0,,78.11576327905233,1
reaction,14500000000,14500.0,14520.681427,14500000000,0,1,1,1,0,1,0.0,0.0,,77.76883925279296,1
reaction,14600000000,14600.0,14620.800235,14600000000,0,1,1,1,0,1,0.0,0.0,,77.42491967730814,1
reaction,14700000000,14700.0,14720.690953,14700000000,0,1,1,1,0,1,0.0,0.0,,77.08396533358382,1
reaction,14800000000,14800.0,14820.272297,14800000000,0,1,1,1,0,1,0.0,0.0,,76.7459376829422,1
reaction,14900000000,14900.0,14920.806936,14900000000,0,1,1,1,0,1,0.0,0.0,,76.41079885234032,1
reaction,15000000000,15000.0,15020.781887,15000000000,0,1,1,1,0,1,0.0,0.0,,76.07851162004849,1
reaction,15100000000,15100.0,15120.858144,15100000000,0,1,1,1,0,1,0.0,0.0,,75.74903940169727,1
reaction,15200000000,15200.0,15220.592081,15200000000,0,1,1,1,0,1,0.0,0.0,,75.42234623668172,1
reaction,15300000000,15300.0,15320.517198,15300000000,0,1,1,1,0,1,0.0,0.0,,75.0983967749125,1
reaction,15400000000,15400.0,15420.830312,15400000000,0,1,1,1,0,1,0.0,0.0,,74.77715626390349,1
reaction,15500000000,15500.0,15520.875532,15500000000,0,1,1,1,0,1,0.0,0.0,,74.45859053618592,1
reaction,15600000000,15600.0,15620.902282,15600000000,0,1,1,1,0,1,0.0,0.0,,74.14266599703951,1
reaction,15700000000,15700.0,15720.856837,15700000000,0,1,1,1,0,1,0.0,0.0,,73.82934961253127,1
tardy,15700000000,15700.0,15739.911016,15700000000,1,0,0,0,1,,,,ACCEL,74.09460889785298,1
reaction,15800000000,15800.0,15821.02756,15800000000,0,1,1,1,0,1,0.0,0.0,,73.78168828297932,1
reaction,15900000000,15900.0,15920.889506,15900000000,0,1,1,1,0,1,0.0,0.0,,73.47133842043006,1
reaction,16000000000,16000.0,16020.385386,16000000000,0,1,1,1,0,1,0.0,0.0,,73.16352744435842,1
tardy,16000000000,16000.0,16087.876885,16000000000,1,0,0,0,1,,,,ACCEL,73.43422401390835,1
reaction,16100000000,16100.0,16120.944405,16100000000,0,1,1,1,0,1,0.011764705882352941,0.0,,73.13696037316716,1
reaction,16200000000,16200.0,16220.885848,16200000000,0,1,1,1,0,1,0.00392156862745098,0.0,,72.83526996811354,1
reaction,16300000000,16300.0,16320.688246,16300000000,0,1,1,1,0,1,0.011764705882352941,0.0,,72.54287347766106,1
reaction,16400000000,16400.0,16420.886741,16400000000,0,1,1,1,0,1,0.07058823529411765,0.0,,72.30645238686859,1
reaction,16500000000,16500.0,16520.95168,16500000000,0,1,1,1,0,1,0.23529411764705882,0.0,,72.24325894138458,1
reaction,16600000000,16600.0,16620.937528,16600000000,0,1,1,1,0,1,0.23921568627450981,0.0,,72.18503304256598,1
reaction,16700000000,16700.0,16720.597317,16700000000,0,1,1,1,0,1,0.23921568627450981,0.0,,72.1272743363649,1
reaction,16800000000,16800.0,16821.004756,16800000000,0,1,1,1,0,1,0.23529411764705882,0.0,,72.06551863274652,1
reaction,16900000000,16900.0,16920.900809,16900000000,0,1,1,1,0,1,0.23529411764705882,0.0,,72.00425763620515,1
reaction,17000000000,17000.0,17020.928923,17000000000,0,1,1,1,0,1,0.23921568627450981,0.0,,71.94794703431604,1
reaction,17100000000,17100.0,17120.835342,17100000000,0,1,1,1,0,1,0.24705882352941178,0.0,,71.90106005491796,1
reaction,17200000000,17200.0,17220.894563,17200000000,0,1,1,1,0,1,0.23529411764705882,0.0,,71.84111442164247,1
reaction,17300000000,17300.0,17320.635779,17300000000,0,1,1,1,0,1,0.24705882352941178,0.0,,71.7950808511949,1
reaction,17400000000,17400.0,17420.705014,17400000000,0,1,1,1,0,1,0.24705882352941178,0.0,,71.74941461890921,1
reaction,17500000000,17500.0,17520.973112,17500000000,0,1,1,1,0,1,0.2784313725490196,0.0,,71.7407143601689,1
reaction,17600000000,17600.0,17620.819328,17600000000,0,1,1,1,0,1,0.3333333333333333,0.0,,71.79886491034071,1
