event,logical_time_ns,logical_time_ms,physical_time_ms,tag_time_ns,microstep,head_present,eye_present,head,eye
output_tick,7000000000,7000.0,7011.336214,7000000000,0,1,1,1,1
output_tick,7100000000,7100.0,7109.587096,7100000000,0,1,1,1,1
output_tick,7200000000,7200.0,7210.024435,7200000000,0,1,1,1,1
output_tick,7300000000,7300.0,7306.185322,7300000000,0,1,1,1,1
sensor_arrival,7400000000,7400.0,7468.140732,7400000000,0,1,1,1,1
output_tick,7400000000,7400.0,7468.449506,7400000000,0,1,1,1,1
output_tick,7500000000,7500.0,7505.685812,7500000000,0,1,1,1,1
output_tick,7600000000,7600.0,7608.70977,7600000000,0,1,1,1,1
output_tick,7700000000,7700.0,7711.034662,7700000000,0,1,1,1,1
output_tick,7800000000,7800.0,7805.572678,7800000000,0,1,1,1,1
sensor_arrival,7900000000,7900.0,7956.404583,7900000000,0,1,1,1,1
output_tick,7900000000,7900.0,7956.700283,7900000000,0,1,1,1,1
output_tick,8000000000,8000.0,8005.207389,8000000000,0,1,1,1,1
output_tick,8100000000,8100.0,8105.793763,8100000000,0,1,1,1,1
output_tick,8200000000,8200.0,8205.656145,8200000000,0,1,1,1,1
output_tick,8300000000,8300.0,8305.55412,8300000000,0,1,1,1,1
sensor_arrival,8400000000,8400.0,8457.808064,8400000000,0,1,1,1,1
output_tick,8400000000,8400.0,8458.024043,8400000000,0,1,1,1,1
output_tick,8500000000,8500.0,8505.862711,8500000000,0,1,1,1,1
output_tick,8600000000,8600.0,8605.931869,8600000000,0,1,1,1,1
output_tick,8700000000,8700.0,8705.539754,8700000000,0,1,1,1,1
output_tick,8800000000,8800.0,8805.575431,8800000000,0,1,1,1,1
sensor_arrival,8900000000,8900.0,8960.797194,8900000000,0,1,1,1,1
output_tick,8900000000,8900.0,8961.067876,8900000000,0,1,1,1,1
output_tick,9000000000,9000.0,9006.088168,9000000000,0,1,1,1,1
output_tick,9100000000,9100.0,9105.958106,9100000000,0,1,1,1,1
output_tick,9200000000,9200.0,9210.303253,9200000000,0,1,1,1,1
output_tick,9300000000,9300.0,9309.370385,9300000000,0,1,1,1,1
sensor_arrival,9400000000,9400.0,9458.308051,9400000000,0,1,1,1,1
output_tick,9400000000,9400.0,9458.574048,9400000000,0,1,1,1,1
output_tick,9500000000,9500.0,9505.526041,9500000000,0,1,1,1,1
output_tick,9600000000,9600.0,9606.302912,9600000000,0,1,1,1,1
output_tick,9700000000,9700.0,9705.91626,9700000000,0,1,1,1,1
output_tick,9800000000,9800.0,9805.551089,9800000000,0,1,1,1,1
sensor_arrival,9900000000,9900.0,9962.197984,9900000000,0,1,1,1,1
output_tick,9900000000,9900.0,9962.485592,9900000000,0,1,1,1,1
output_tick,10000000000,10000.0,10005.16067,10000000000,0,1,1,1,1
output_tick,10100000000,10100.0,10107.264879,10100000000,0,1,1,1,1
output_tick,10200000000,10200.0,10205.425446,10200000000,0,1,1,1,1
output_tick,10300000000,10300.0,10305.139645,10300000000,0,1,1,1,1
sensor_arrival,10400000000,10400.0,10456.215805,10400000000,0,1,1,1,1
output_tick,10400000000,10400.0,10456.479432,10400000000,0,1,1,1,1
output_tick,10500000000,10500.0,10503.650793,10500000000,0,1,1,1,1
output_tick,10600000000,10600.0,10605.610114,10600000000,0,1,1,1,1
output_tick,10700000000,10700.0,10705.424626,10700000000,0,1,1,1,1
output_tick,10800000000,10800.0,10804.872383,10800000000,0,1,1,1,1
sensor_arrival,10900000000,10900.0,10959.791519,10900000000,0,1,1,1,1
output_tick,10900000000,10900.0,10960.059998,10900000000,0,1,1,1,1
output_tick,11000000000,11000.0,11005.096753,11000000000,0,1,1,1,1
output_tick,11100000000,11100.0,11104.789303,11100000000,0,1,1,1,1
output_tick,11200000000,11200.0,11205.532731,11200000000,0,1,1,1,1
output_tick,11300000000,11300.0,11305.523574,11300000000,0,1,1,1,1
sensor_arrival,11400000000,11400.0,11460.647596,11400000000,0,1,1,1,1
output_tick,11400000000,11400.0,11460.938408,11400000000,0,1,1,1,1
output_tick,11500000000,11500.0,11506.091661,11500000000,0,1,1,1,1
output_tick,11600000000,11600.0,11608.862881,11600000000,0,1,1,1,1
output_tick,11700000000,11700.0,11705.559595,11700000000,0,1,1,1,1
output_tick,11800000000,11800.0,11806.558167,11800000000,0,1,1,1,1
sensor_arrival,11900000000,11900.0,11955.243336,11900000000,0,1,1,0,1
output_tick,11900000000,11900.0,11955.457648,11900000000,0,1,1,0,1
output_tick,12000000000,12000.0,12006.141284,12000000000,0,1,1,0,1
output_tick,12100000000,12100.0,12104.828901,12100000000,0,1,1,0,1
output_tick,12200000000,12200.0,12205.797937,12200000000,0,1,1,0,1
output_tick,12300000000,12300.0,12304.940105,12300000000,0,1,1,0,1
sensor_arrival,12400000000,12400.0,12452.130086,12400000000,0,1,1,0,1
output_tick,12400000000,12400.0,12452.5261,12400000000,0,1,1,0,1
output_tick,12500000000,12500.0,12505.283565,12500000000,0,1,1,0,1
output_tick,12600000000,12600.0,12607.470698,12600000000,0,1,1,0,1
output_tick,12700000000,12700.0,12704.869755,12700000000,0,1,1,0,1
output_tick,12800000000,12800.0,12805.537035,12800000000,0,1,1,0,1
sensor_arrival,12900000000,12900.0,12952.628944,12900000000,0,1,1,0,1
output_tick,12900000000,12900.0,12952.971569,12900000000,0,1,1,0,1
output_tick,13000000000,13000.0,13005.020116,13000000000,0,1,1,0,1
output_tick,13100000000,13100.0,13105.975337,13100000000,0,1,1,0,1
output_tick,13200000000,13200.0,13204.520104,13200000000,0,1,1,0,1
output_tick,13300000000,13300.0,13304.445207,13300000000,0,1,1,0,1
sensor_arrival,13400000000,13400.0,13450.692217,13400000000,0,1,1,0,1
output_tick,13400000000,13400.0,13451.017695,13400000000,0,1,1,0,1
output_tick,13500000000,13500.0,13505.1257,13500000000,0,1,1,0,1
output_tick,13600000000,13600.0,13604.528864,13600000000,0,1,1,0,1
output_tick,13700000000,13700.0,13705.581343,13700000000,0,1,1,0,1
output_tick,13800000000,13800.0,13805.7015,13800000000,0,1,1,0,1
sensor_arrival,13900000000,13900.0,13952.935295,13900000000,0,1,1,1,1
output_tick,13900000000,13900.0,13953.21007,13900000000,0,1,1,1,1
output_tick,14000000000,14000.0,14005.650982,14000000000,0,1,1,1,1
output_tick,14100000000,14100.0,14105.470975,14100000000,0,1,1,1,1
output_tick,14200000000,14200.0,14205.039675,14200000000,0,1,1,1,1
output_tick,14300000000,14300.0,14306.157653,14300000000,0,1,1,1,1
sensor_arrival,14400000000,14400.0,14452.554717,14400000000,0,1,1,1,1
output_tick,14400000000,14400.0,14452.887046,14400000000,0,1,1,1,1
output_tick,14500000000,14500.0,14505.922933,14500000000,0,1,1,1,1
output_tick,14600000000,14600.0,14605.645594,14600000000,0,1,1,1,1
output_tick,14700000000,14700.0,14706.225208,14700000000,0,1,1,1,1
output_tick,14800000000,14800.0,14806.121626,14800000000,0,1,1,1,1
