federate,reactor,reaction,logical_time_ns,logical_time_ms,tag_time_ns,microstep,lag_ms,start_physical_time_ms,stop_physical_time_ms,execution_time_ms
federate,reactor,reaction,logical_time_ns,logical_time_ms,tag_time_ns,microstep,lag_ms,start_physical_time_ms,stop_physical_time_ms,execution_time_ms
d_control,DriverControl,output_tick,7000000000,7000.0,7000000000,0,0.682767999999669,7000.682768,7001.141559,0.45879100000001927
d_monitor,DriverMonitor,output_tick,7000000000,7000.0,7000000000,0,11.797480000000178,7011.79748,7011.984256,0.1867759999995542
d_control,DriverControl,output_tick,7100000000,7100.0,7100000000,0,0.6075849999997445,7100.607585,7101.035838,0.42825300000004063
d_monitor,DriverMonitor,output_tick,7100000000,7100.0,7100000000,0,10.120797999999922,7110.120798,7110.302963,0.18216500000016822
d_control,DriverControl,output_tick,7200000000,7200.0,7200000000,0,0.3228110000000015,7200.322811,7200.504753,0.1819420000001628
d_monitor,DriverMonitor,output_tick,7200000000,7200.0,7200000000,0,4.6143309999997655,7204.614331,7204.882569,0.2682380000005651
d_control,DriverControl,output_tick,7300000000,7300.0,7300000000,0,0.6091790000000401,7300.609179,7301.002526,0.3933470000001762
d_monitor,DriverMonitor,output_tick,7300000000,7300.0,7300000000,0,8.013936999999714,7308.013937,7308.203546,0.18960900000001857
d_control,DriverControl,output_tick,7400000000,7400.0,7400000000,0,0.5829759999996895,7400.582976,7400.98573,0.4027540000006411
d_monitor,DriverMonitor,sensor_arrival,7400000000,7400.0,7400000000,0,89.54193000000032,7489.54193,7489.678632,0.1367019999997865
d_monitor,DriverMonitor,output_tick,7400000000,7400.0,7400000000,0,89.87787099999969,7489.877871,7489.957999,0.08012800000051357
d_control,DriverControl,output_tick,7500000000,7500.0,7500000000,0,0.3892379999997502,7500.389238,7500.590291,0.20105300000068382
d_monitor,DriverMonitor,output_tick,7500000000,7500.0,7500000000,0,3.031463999999687,7503.031464,7503.193944,0.16247999999995955
d_control,DriverControl,output_tick,7600000000,7600.0,7600000000,0,0.4585349999997561,7600.458535,7600.697143,0.2386080000005677
d_monitor,DriverMonitor,output_tick,7600000000,7600.0,7600000000,0,7.084302999999636,7607.084303,7607.257986,0.1736829999999827
d_control,DriverControl,output_tick,7700000000,7700.0,7700000000,0,0.542145000000346,7700.542145,7700.8999,0.3577549999999974
d_monitor,DriverMonitor,output_tick,7700000000,7700.0,7700000000,0,5.3957140000002255,7705.395714,7705.566878,0.17116399999940768
d_control,DriverControl,output_tick,7800000000,7800.0,7800000000,0,0.4328699999996388,7800.43287,7800.644682,0.21181200000046374
d_monitor,DriverMonitor,output_tick,7800000000,7800.0,7800000000,0,3.573349000000235,7803.573349,7803.735124,0.16177499999957945
d_control,DriverControl,output_tick,7900000000,7900.0,7900000000,0,0.4736849999999322,7900.473685,7900.704108,0.2304229999999734
d_monitor,DriverMonitor,sensor_arrival,7900000000,7900.0,7900000000,0,83.53482499999973,7983.534825,7983.670878,0.1360530000001745
d_monitor,DriverMonitor,output_tick,7900000000,7900.0,7900000000,0,83.84004300000015,7983.840043,7983.919486,0.07944299999962823
d_control,DriverControl,output_tick,8000000000,8000.0,8000000000,0,0.41922299999987445,8000.419223,8000.629998,0.21077500000046712
d_monitor,DriverMonitor,output_tick,8000000000,8000.0,8000000000,0,3.98790100000042,8003.987901,8004.209305,0.22140399999989313
d_control,DriverControl,output_tick,8100000000,8100.0,8100000000,0,0.45855699999992794,8100.458557,8100.694369,0.23581199999989622
d_monitor,DriverMonitor,output_tick,8100000000,8100.0,8100000000,0,4.277285999999549,8104.277286,8104.473914,0.19662800000060088
d_control,DriverControl,output_tick,8200000000,8200.0,8200000000,0,0.5737779999999475,8200.573778,8200.958107,0.38432900000043446
d_monitor,DriverMonitor,output_tick,8200000000,8200.0,8200000000,0,8.075332000000344,8208.075332,8208.273978,0.19864599999891652
d_control,DriverControl,output_tick,8300000000,8300.0,8300000000,0,0.5497419999992417,8300.549742,8300.902405,0.35266300000148476
d_monitor,DriverMonitor,output_tick,8300000000,8300.0,8300000000,0,5.103425999999672,8305.103426,8305.330756,0.2273299999997107
d_control,DriverControl,output_tick,8400000000,8400.0,8400000000,0,0.434596999999485,8400.434597,8400.681279,0.2466820000008738
d_monitor,DriverMonitor,sensor_arrival,8400000000,8400.0,8400000000,0,82.90370699999949,8482.903707,8483.028428,0.12472100000013597
d_monitor,DriverMonitor,output_tick,8400000000,8400.0,8400000000,0,83.09468600000037,8483.094686,8483.160241,0.06555499999922176
d_control,DriverControl,output_tick,8500000000,8500.0,8500000000,0,0.20082299999921815,8500.200823,8500.38745,0.18662700000095356
d_monitor,DriverMonitor,output_tick,8500000000,8500.0,8500000000,0,4.251216000000568,8504.251216,8504.505713,0.25449699999990116
d_control,DriverControl,output_tick,8600000000,8600.0,8600000000,0,0.5765040000005683,8600.576504,8600.950388,0.3738839999987249
d_monitor,DriverMonitor,output_tick,8600000000,8600.0,8600000000,0,5.428850000000239,8605.42885,8605.595385,0.16653500000029453
d_control,DriverControl,output_tick,8700000000,8700.0,8700000000,0,0.21795399999973597,8700.217954,8700.424303,0.20634900000004563
d_monitor,DriverMonitor,output_tick,8700000000,8700.0,8700000000,0,3.8523150000000896,8703.852315,8704.052498,0.200182999999015
d_control,DriverControl,output_tick,8800000000,8800.0,8800000000,0,0.5355060000001686,8800.535506,8800.909779,0.3742729999994481
d_monitor,DriverMonitor,output_tick,8800000000,8800.0,8800000000,0,4.849099999999453,8804.8491,8805.074319,0.22521899999992456
d_control,DriverControl,output_tick,8900000000,8900.0,8900000000,0,0.21052899999995134,8900.210529,8900.422064,0.2115350000003673
d_monitor,DriverMonitor,sensor_arrival,8900000000,8900.0,8900000000,0,84.2693419999996,8984.269342,8984.395803,0.12646099999983562
d_monitor,DriverMonitor,output_tick,8900000000,8900.0,8900000000,0,84.53878299999997,8984.538783,8984.59706,0.058277000000089174
d_control,DriverControl,output_tick,9000000000,9000.0,9000000000,0,0.4928600000002916,9000.49286,9000.73282,0.23995999999897322
d_monitor,DriverMonitor,output_tick,9000000000,9000.0,9000000000,0,4.926508000000467,9004.926508,9005.129876,0.20336800000040967
d_control,DriverControl,output_tick,9100000000,9100.0,9100000000,0,0.44747300000017276,9100.447473,9100.680284,0.232810999999856
d_monitor,DriverMonitor,output_tick,9100000000,9100.0,9100000000,0,4.126518999999462,9104.126519,9104.357997,0.2314779999996972
d_control,DriverControl,output_tick,9200000000,9200.0,9200000000,0,0.5788049999991927,9200.578805,9200.936949,0.35814400000163005
d_monitor,DriverMonitor,output_tick,9200000000,9200.0,9200000000,0,7.192481000000043,9207.192481,9207.367201,0.17471999999906984
d_control,DriverControl,output_tick,9300000000,9300.0,9300000000,0,0.4918629999992845,9300.491863,9300.73786,0.24599699999998847
d_monitor,DriverMonitor,output_tick,9300000000,9300.0,9300000000,0,4.510738000000856,9304.510738,9304.714384,0.20364599999993516
d_control,DriverControl,output_tick,9400000000,9400.0,9400000000,0,0.4588270000003831,9400.458827,9400.691546,0.23271899999963352
d_monitor,DriverMonitor,sensor_arrival,9400000000,9400.0,9400000000,0,84.63056399999914,9484.630564,9484.753711,0.12314700000024459
d_monitor,DriverMonitor,output_tick,9400000000,9400.0,9400000000,0,84.89828300000045,9484.898283,9484.948505,0.050221999999848776
d_control,DriverControl,output_tick,9500000000,9500.0,9500000000,0,0.36808799999926123,9500.368088,9500.557401,0.1893130000007659
d_monitor,DriverMonitor,output_tick,9500000000,9500.0,9500000000,0,3.3775129999994533,9503.377513,9503.583548,0.20603500000106578
d_control,DriverControl,output_tick,9600000000,9600.0,9600000000,0,0.5807530000001861,9600.580753,9600.950063,0.3693100000000413
d_monitor,DriverMonitor,output_tick,9600000000,9600.0,9600000000,0,7.446593000000576,9607.446593,9607.661442,0.21484899999995832
d_control,DriverControl,output_tick,9700000000,9700.0,9700000000,0,0.5789390000009007,9700.578939,9700.978064,0.3991249999999127
d_monitor,DriverMonitor,output_tick,9700000000,9700.0,9700000000,0,8.877705000000788,9708.877705,9709.063925,0.1862199999995937
d_control,DriverControl,output_tick,9800000000,9800.0,9800000000,0,0.497164000000339,9800.497164,9800.754734,0.2575699999997596
d_monitor,DriverMonitor,output_tick,9800000000,9800.0,9800000000,0,4.012674999999945,9804.012675,9804.246765,0.23408999999992375
d_control,DriverControl,output_tick,9900000000,9900.0,9900000000,0,0.4496099999996659,9900.44961,9900.686384,0.236774000000878
d_monitor,DriverMonitor,sensor_arrival,9900000000,9900.0,9900000000,0,83.2808270000005,9983.280827,9983.411492,0.13066499999877124
d_monitor,DriverMonitor,output_tick,9900000000,9900.0,9900000000,0,83.48484199999984,9983.484842,9983.532083,0.04724100000021281
d_control,DriverControl,output_tick,10000000000,10000.0,10000000000,0,0.5802939999994123,10000.580294,10000.973826,0.3935320000000502
d_monitor,DriverMonitor,output_tick,10000000000,10000.0,10000000000,0,5.161958999999115,10005.161959,10005.388345,0.2263860000002751
d_control,DriverControl,output_tick,10100000000,10100.0,10100000000,0,0.5149249999994936,10100.514925,10100.857569,0.34264400000029127
d_monitor,DriverMonitor,output_tick,10100000000,10100.0,10100000000,0,5.097922999999355,10105.097923,10105.323717,0.22579399999995076
d_control,DriverControl,output_tick,10200000000,10200.0,10200000000,0,0.47057499999937136,10200.470575,10200.702461,0.2318860000013956
d_monitor,DriverMonitor,output_tick,10200000000,10200.0,10200000000,0,3.5200740000000224,10203.520074,10203.680275,0.16020100000059756
d_control,DriverControl,output_tick,10300000000,10300.0,10300000000,0,0.2487829999990936,10300.248783,10300.499539,0.2507560000012745
