logical_time_ns,logical_time_ms,physical_time_ms,tag_time_ns,microstep,distance_from_start_m,velocity_kmh,road_phase,environment_distance,front_car_present,right_car_present,right_car_position,cross_left_car_present,cross_right_car_present,other_car_present,environment_states_json
7000000000,7000.0,7020.103936,7000000000,0,0.0,0.0,HIGHWAY,4000.0,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
7100000000,7100.0,7120.124581,7100000000,0,5.93272959807219,89.54208000000001,HIGHWAY,3994.067270401928,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
7200000000,7200.0,7220.160661,7200000000,0,15.244000906319876,89.0887275505152,HIGHWAY,3984.75599909368,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
7300000000,7300.0,7320.091068,7300000000,0,24.54130163038693,88.63987414070577,HIGHWAY,3975.458698369613,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
7400000000,7400.0,7420.131898,7400000000,0,33.8385918510041,88.19545262472354,HIGHWAY,3966.161408148996,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
7500000000,7500.0,7520.114549,7500000000,0,43.135882153726456,87.75539718785244,HIGHWAY,3956.8641178462735,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
7600000000,7600.0,7620.094824,7600000000,0,52.43317245683956,87.31964331365256,HIGHWAY,3947.5668275431603,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
7700000000,7700.0,7720.094097,7700000000,0,61.73046275995367,86.88812775207349,HIGHWAY,3938.2695372400462,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
7800000000,7800.0,7820.089809,7800000000,0,71.02775306306776,86.46078848850345,HIGHWAY,3928.972246936932,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
7900000000,7900.0,7920.114016,7900000000,0,80.32504336618187,86.0375647137227,HIGHWAY,3919.674956633818,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
8000000000,8000.0,8020.104978,8000000000,0,89.62233366929597,85.61839679473003,HIGHWAY,3910.377666330704,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
8100000000,8100.0,8120.092377,8100000000,0,98.91962397241008,85.20322624641337,HIGHWAY,3901.08037602759,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
8200000000,8200.0,8220.102337,8200000000,0,108.21691427552418,84.79199570403573,HIGHWAY,3891.7830857244758,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
