warnings.warn(message, GLFWError)
Navigation:
---- Mouse scroll: Zoom in and out.
---- Left mouse press and move: Rotate the view.
---- Right mouse press and move: Shift the view up and down. Hold shift for in/out.
The value of rd into simulation : 1600.0
[SIM VERIFY] velocity_in=89.54 km/h -> forward actuator command=1.000
The value of rd into simulation : 1597.5253131235968
[SIM VERIFY] velocity_in=89.09 km/h -> forward actuator command=1.000
The value of rd into simulation : 1595.063094397466
[SIM VERIFY] velocity_in=88.64 km/h -> forward actuator command=1.000
The value of rd into simulation : 1592.613220713446
[SIM VERIFY] velocity_in=88.20 km/h -> forward actuator command=1.000
The value of rd into simulation : 1590.1755707915613
[SIM VERIFY] velocity_in=87.76 km/h -> forward actuator command=1.000
The value of rd into simulation : 1587.7500251439599
[SIM VERIFY] velocity_in=87.32 km/h -> forward actuator command=1.000
The value of rd into simulation : 1585.3364660397356
[SIM VERIFY] velocity_in=86.89 km/h -> forward actuator command=1.000
The value of rd into simulation : 1582.9347774706105
[SIM VERIFY] velocity_in=86.46 km/h -> forward actuator command=1.000
The value of rd into simulation : 1580.5448451174516
[SIM VERIFY] velocity_in=86.04 km/h -> forward actuator command=1.000
The value of rd into simulation : 1578.166556317598
[SIM VERIFY] velocity_in=85.62 km/h -> forward actuator command=1.000
The value of rd into simulation : 1575.7998000329753
[SIM VERIFY] velocity_in=85.20 km/h -> forward actuator command=1.000
The value of rd into simulation : 1573.4444668189744
[SIM VERIFY] velocity_in=84.79 km/h -> forward actuator command=1.000
The value of rd into simulation : 1571.1004487940713
[SIM VERIFY] velocity_in=84.38 km/h -> forward actuator command=1.000
The value of rd into simulation : 1568.7676396101704
[SIM VERIFY] velocity_in=83.98 km/h -> forward actuator command=1.000
The value of rd into simulation : 1566.4459344236463
[SIM VERIFY] velocity_in=83.58 km/h -> forward actuator command=1.000
The value of rd into simulation : 1564.1352298670688
[SIM VERIFY] velocity_in=83.19 km/h -> forward actuator command=1.000
The value of rd into simulation : 1561.8354240215867
[SIM VERIFY] velocity_in=82.79 km/h -> forward actuator command=1.000
The value of rd into simulation : 1559.5464163899585
[SIM VERIFY] velocity_in=82.40 km/h -> forward actuator command=1.000
The value of rd into simulation : 1557.2681078702055
[SIM VERIFY] velocity_in=82.02 km/h -> forward actuator command=1.000
The value of rd into simulation : 1555.0004007298749
[SIM VERIFY] velocity_in=81.64 km/h -> forward actuator command=1.000
The value of rd into simulation : 1552.7431985808928
[SIM VERIFY] velocity_in=81.26 km/h -> forward actuator command=1.000
The value of rd into simulation : 1550.4964063549935
[SIM VERIFY] velocity_in=80.88 km/h -> forward actuator command=1.000
The value of rd into simulation : 1548.259930279707
[SIM VERIFY] velocity_in=80.51 km/h -> forward actuator command=1.000
The value of rd into simulation : 1546.0336778548913
[SIM VERIFY] velocity_in=80.15 km/h -> forward actuator command=1.000
The value of rd into simulation : 1543.8175578297935
[SIM VERIFY] velocity_in=79.78 km/h -> forward actuator command=1.000
The value of rd into simulation : 1541.6114801806268
[SIM VERIFY] velocity_in=79.42 km/h -> forward actuator command=1.000
The value of rd into simulation : 1539.4153560886487
[SIM VERIFY] velocity_in=79.06 km/h -> forward actuator command=1.000
The value of rd into simulation : 1537.229097918725
[SIM VERIFY] velocity_in=78.71 km/h -> forward actuator command=1.000
The value of rd into simulation : 1535.0526191983727
[SIM VERIFY] velocity_in=78.35 km/h -> forward actuator command=1.000
The value of rd into simulation : 1532.8858345972606
[SIM VERIFY] velocity_in=78.00 km/h -> forward actuator command=1.000
The value of rd into simulation : 1530.7286599071635
[SIM VERIFY] velocity_in=77.66 km/h -> forward actuator command=1.000
The value of rd into simulation : 1528.581012022354
[SIM VERIFY] velocity_in=77.32 km/h -> forward actuator command=1.000
The value of rd into simulation : 1526.4428089204184
[SIM VERIFY] velocity_in=76.98 km/h -> forward actuator command=1.000
The value of rd into simulation : 1524.3139696434932
[SIM VERIFY] velocity_in=76.64 km/h -> forward actuator command=1.000
The value of rd into simulation : 1522.194414279902
[SIM VERIFY] velocity_in=76.30 km/h -> forward actuator command=1.000
The value of rd into simulation : 1520.0840639461894
[SIM VERIFY] velocity_in=75.97 km/h -> forward actuator command=1.000
The value of rd into simulation : 1517.9828407695388
[SIM VERIFY] velocity_in=75.64 km/h -> forward actuator command=1.000
The value of rd into simulation : 1515.8906678705644
[SIM VERIFY] velocity_in=75.32 km/h -> forward actuator command=1.000
The value of rd into simulation : 1513.8074693464685
[SIM VERIFY] velocity_in=75.00 km/h -> forward actuator command=1.000
The value of rd into simulation : 1511.7331702545541
[SIM VERIFY] velocity_in=74.67 km/h -> forward actuator command=1.000
The value of rd into simulation : 1509.667696596085
[SIM VERIFY] velocity_in=74.36 km/h -> forward actuator command=1.000
The value of rd into simulation : 1507.6109753004837
[SIM VERIFY] velocity_in=74.04 km/h -> forward actuator command=1.000
The value of rd into simulation : 1505.562934209858
[SIM VERIFY] velocity_in=73.73 km/h -> forward actuator command=1.000
The value of rd into simulation : 1503.52350206385
[SIM VERIFY] velocity_in=73.42 km/h -> forward actuator command=1.000
The value of rd into simulation : 1501.4926084847984
[SIM VERIFY] velocity_in=73.11 km/h -> forward actuator command=1.000
The value of rd into simulation : 1499.4701839632057
[SIM VERIFY] velocity_in=72.81 km/h -> forward actuator command=1.000
The value of rd into simulation : 1497.456159843504
[SIM VERIFY] velocity_in=72.50 km/h -> forward actuator command=1.000

