event,logical_time_ns,logical_time_ms,physical_time_ms,tag_time_ns,microstep,lag_ms,tardy_invocation_count,steer_in_present,accel_in_present,brake_in_present,actuate_in_present,steer_in,accel_in,brake_in,actuate_in,car_velocity,car_steer
reaction,7000000000,7000.0,7195.952997,7000000000,0,195.69745599999987,0,0,0,1,0,,,0.0,,89.54208000000001,1
tardy,7000000000,7000.0,7227.017183,7000000000,1,226.7671419999997,1,0,1,0,0,,0.0,,,89.0887275505152,1
tardy,7000000000,7000.0,7232.122668,7000000000,2,231.8382819999997,2,1,0,0,0,1,,,,88.63987414070577,1
reaction,7100000000,7100.0,7317.81003,7100000000,0,217.584742,2,0,0,1,0,,,0.0,,88.19545262472354,1
tardy,7100000000,7100.0,7322.870013,7100000000,1,222.68645899999956,3,0,1,0,0,,0.0,,,87.75539718785244,1
tardy,7100000000,7100.0,7425.275971,7100000000,2,325.04787399999987,4,1,0,0,0,1,,,,87.31964331365256,1
reaction,7200000000,7200.0,7435.210259,7200000000,0,235.0306700000001,4,1,1,1,0,1,0.0,0.0,,86.88812775207349,1
reaction,7300000000,7300.0,7536.790502,7300000000,0,236.56642399999964,4,1,1,1,0,1,0.0,0.0,,86.46078848850345,1
reaction,7400000000,7400.0,7627.190678,7400000000,0,226.8312589999996,4,1,1,1,0,1,0.0,0.0,,86.0375647137227,1
reaction,7500000000,7500.0,7739.136594,7500000000,0,239.01292300000023,4,1,1,1,0,1,0.0,0.0,,85.61839679473003,1
reaction,7600000000,7600.0,7832.808089,7600000000,0,232.5685480000002,4,1,1,1,0,1,0.0,0.0,,85.20322624641337,1
reaction,7700000000,7700.0,7923.789668,7700000000,0,223.5692710000003,4,0,0,1,0,,,0.0,,84.79199570403573,1
tardy,7700000000,7700.0,7926.587352,7700000000,1,226.32809300000008,5,1,1,0,0,1,0.0,,,84.38464889650945,1
reaction,7800000000,7800.0,8040.289236,7800000000,0,239.99405699999988,5,1,1,1,0,1,0.0,0.0,,83.98113062043238,1
reaction,7900000000,7900.0,8114.106248,7900000000,0,213.70517800000016,5,0,1,1,0,,0.0,0.0,,83.58138671486093,1
tardy,7900000000,7900.0,8124.186359,7900000000,1,223.9290520000004,6,1,0,0,0,1,,,,83.18536403679542,1
reaction,8000000000,8000.0,8207.362377,8000000000,0,207.2363089999999,6,1,0,1,0,1,,0.0,,82.79301043735464,1
tardy,8000000000,8000.0,8225.471164,8000000000,1,225.34760199999982,7,0,1,0,0,,0.0,,,82.40427473861688,1
reaction,8100000000,8100.0,8335.192895,8100000000,0,234.97214499999973,7,0,0,1,0,,,0.0,,82.0191067111059,1
tardy,8100000000,8100.0,8340.086753,8100000000,1,239.97903199999928,8,1,1,0,0,1,0.0,,,81.63745705190102,1
reaction,8200000000,8200.0,8430.697191,8200000000,0,230.3790110000009,8,1,1,1,0,1,0.0,0.0,,81.25927736335096,1
reaction,8300000000,8300.0,8510.834837,8300000000,0,210.67131999999947,8,0,0,1,0,,,0.0,,80.8845201323724,1
tardy,8300000000,8300.0,8514.808512,8300000000,1,214.65729400000055,9,0,1,0,0,,0.0,,,80.5131387103144,1
tardy,8300000000,8300.0,8515.708801,8300000000,2,215.58025300000008,10,1,0,0,0,1,,,,80.14508729337071,1
reaction,8400000000,8400.0,8601.42423,8400000000,0,201.2801189999991,10,0,0,1,1,,,0.0,ACCEL,80.35632090352283,1
tardy,8400000000,8400.0,8612.382086,8400000000,1,212.25795599999947,11,1,1,0,0,1,0.0,,,79.98967099745894,1
reaction,8500000000,8500.0,8712.650184,8500000000,0,212.51092699999936,11,1,1,1,0,1,0.0,0.0,,79.62628724933218,1
reaction,8600000000,8600.0,8832.471037,8600000000,0,232.2402060000004,11,0,0,1,0,,,0.0,,79.26612582593701,1
tardy,8600000000,8600.0,8833.433044,8600000000,1,233.27438599999914,12,1,1,0,0,1,0.0,,,78.90914367574516,1
reaction,8700000000,8700.0,8914.851869,8700000000,0,214.68883199999982,12,0,0,1,0,,,0.0,,78.55529851154297,1
tardy,8700000000,8700.0,8926.295164,8700000000,1,226.03853300000083,13,1,1,0,0,1,0.0,,,78.20454879352978,1
reaction,8800000000,8800.0,9002.945635,8800000000,0,202.73529000000053,13,0,0,1,1,,,0.0,ACCEL,78.43285371286312,1
tardy,8800000000,8800.0,9025.092138,8800000000,1,224.79243099999985,14,1,1,0,0,1,0.0,,,78.0831719049996,1
reaction,8900000000,8900.0,9105.94833,8900000000,0,205.7171159999998,14,0,0,1,0,,,0.0,,77.73653069751373,1
tardy,8900000000,8900.0,9133.99034,8900000000,1,233.88130300000012,15,0,1,0,0,,0.0,,,77.39289024168676,1
tardy,8900000000,8900.0,9134.777998,8900000000,2,234.6595159999997,16,1,0,0,0,1,,,,77.0522113828,1
reaction,9000000000,9000.0,9211.2237,9000000000,0,210.9946779999991,16,0,0,1,0,,,0.0,,76.7144556450789,1
tardy,9000000000,9000.0,9232.709509,9000000000,1,232.45900400000028,17,1,0,0,0,1,,,,76.37958521702774,1
tardy,9000000000,9000.0,9236.355901,9000000000,2,236.07395200000065,18,0,1,0,0,,0.0,,,76.04756293714301,1
reaction,9100000000,9100.0,9331.964176,9100000000,0,231.8251280000004,18,1,1,1,0,1,0.0,0.0,,75.71835227999419,1
reaction,9200000000,9200.0,9390.239221,9200000000,0,190.04759100000047,18,0,0,0,1,,,,ACCEL,75.96791734266101,1
tardy,9200000000,9200.0,9438.012854,9200000000,1,237.79297399999996,19,1,1,1,0,1,0.0,0.0,,75.63937931680648,1
reaction,9300000000,9300.0,9523.615241,9300000000,0,223.38463600000068,19,0,1,1,0,,0.0,0.0,,75.31360844439362,1
tardy,9300000000,9300.0,9536.32383,9300000000,1,236.05684099999962,20,1,0,0,0,1,,,,74.99056957678721,1
reaction,9400000000,9400.0,9617.274588,9400000000,0,216.97789700000067,20,0,0,1,0,,,0.0,,74.6702281587066,1
tardy,9400000000,9400.0,9631.349446,9400000000,1,231.19867800000065,21,1,0,0,0,1,,,,74.35255021574697,1
tardy,9400000000,9400.0,9636.277085,9400000000,2,236.13004200000069,22,0,1,0,0,,0.0,,,74.03750234221447,1
reaction,9500000000,9500.0,9719.994881,9500000000,0,219.74415500000032,22,1,1,1,0,1,0.0,0.0,,73.72505168926594,1
reaction,9600000000,9600.0,9791.885709,9600000000,0,191.57937499999935,22,0,0,0,1,,,,ACCEL,73.99116595334456,1
tardy,9600000000,9600.0,9802.157598,9600000000,1,201.89704999999958,23,0,0,1,0,,,0.0,,73.67909636228148,1
tardy,9600000000,9600.0,9827.509978,9600000000,2,227.25823200000013,24,1,1,0,0,1,0.0,,,73.36958696001692,1
reaction,9700000000,9700.0,9912.670357,9700000000,0,212.37402199999997,24,1,0,1,0,1,,0.0,,73.06260605497894,1
tardy,9700000000,9700.0,9927.631199,9700000000,1,227.37302900000032,25,0,1,0,0,,0.0,,,72.75812247700422,1
reaction,9800000000,9800.0,10001.104561,9800000000,0,200.5926099999997,25,0,0,1,0,,,0.0,,72.45610556664984,1
tardy,9800000000,9800.0,10034.566458,9800000000,1,234.41374600000017,26,1,1,0,0,1,0.0,,,72.15652516476732,1
reaction,9900000000,9900.0,10139.946934,9900000000,0,239.70968999999968,26,1,1,1,0,1,0.0,0.0,,71.859351602331,1
reaction,10000000000,10000.0,10178.553364,10000000000,0,178.24807399999918,26,0,0,0,1,,,,ACCEL,72.14055569051392,1
tardy,10000000000,10000.0,10218.864975,10000000000,1,218.64132900000004,27,1,1,1,0,1,0.0,0.0,,71.84351014743969,1
reaction,10100000000,10100.0,10317.441596,10100000000,0,217.1670099999992,27,1,1,1,0,1,0.0,0.0,,71.54884070575605,1
reaction,10200000000,10200.0,10436.107669,10200000000,0,235.88987400000042,27,1,1,1,0,1,0.0,0.0,,71.25651867207063,1
reaction,10300000000,10300.0,10506.239447,10300000000,0,206.12348399999973,27,1,1,1,0,1,0.0,0.0,,70.96651581355601,1
reaction,10400000000,10400.0,10633.76354,10400000000,0,233.53338799999983,27,1,1,1,0,1,0.0,0.0,,70.67880434873848,1
reaction,10500000000,10500.0,10726.746468,10500000000,0,226.49857899999915,27,1,1,1,0,1,0.0,0.0,,70.39335693850697,1
reaction,10600000000,10600.0,10828.162108,10600000000,0,227.99675500000012,27,1,1,1,0,1,0.0,0.0,,70.1101466773363,1
reaction,10700000000,10700.0,10934.408012,10700000000,0,234.128831,27,1,1,1,0,1,0.0,0.0,,69.82914708471866,1
reaction,10800000000,10800.0,11035.077689,10800000000,0,234.85125399999924,27,1,1,1,0,1,0.0,0.0,,69.5503320967976,1
reaction,10900000000,10900.0,11106.009763,10900000000,0,205.59103800000048,27,0,0,1,0,,,0.0,,69.27367605819899,1
tardy,10900000000,10900.0,11136.570068,10900000000,1,236.2562109999999,28,1,1,0,0,1,0.27058823529411763,,,69.2751155133616,1
reaction,11000000000,11000.0,11217.753131,11000000000,0,217.5507400000006,28,1,1,1,0,1,0.6431372549019608,0.0,,69.7945009822402,1
reaction,11100000000,11100.0,11334.879897,11100000000,0,234.7502889999996,28,0,1,1,0,,0.6823529411764706,0.0,,70.37369646971288,1
tardy,11100000000,11100.0,11338.457382,11100000000,1,238.33234300000004,29,1,0,0,0,1,,,,70.94838169121606,1
reaction,11200000000,11200.0,11420.071179,11200000000,0,219.85585700000047,29,1,1,1,0,1,0.7294117647058823,0.0,,71.59748088039905,1
reaction,11300000000,11300.0,11535.379189,11300000000,0,235.1215119999997,29,1,1,1,0,1,0.7333333333333333,0.0,,72.24813203215355,1
reaction,11400000000,11400.0,11597.928336,11400000000,0,197.7054360000002,29,0,0,1,0,,,0.0,,72.89358355536824,1
tardy,11400000000,11400.0,11638.908646,11400000000,1,238.83116599999994,30,1,1,0,0,1,0.7333333333333333,,,73.5338305262825,1
reaction,11500000000,11500.0,11693.263254,11500000000,0,193.04374800000005,30,0,0,1,0,,,0.0,,74.16886918006762,1
tardy,11500000000,11500.0,11703.227935,11500000000,1,203.0205389999992,31,0,1,0,0,,0.7372549019607844,,,74.80540692825579,1
tardy,11500000000,11500.0,11704.44406,11500000000,2,204.3332449999998,32,1,0,0,0,1,,,,75.43667646809666,1
reaction,11600000000,11600.0,11834.303758,11600000000,0,234.08530000000064,32,1,1,1,0,1,0.7647058823529411,0.0,,76.11014323602367,1
reaction,11700000000,11700.0,11926.950557,11700000000,0,226.7499399999997,32,1,1,1,0,1,0.8156862745098039,0.0,,76.86839471659175,1
reaction,11800000000,11800.0,12006.652919,11800000000,0,206.4283379999997,32,0,0,1,0,,,0.0,,77.6202019636655,1
tardy,11800000000,11800.0,12019.363712,11800000000,1,219.1424709999992,33,1,0,0,0,1,,,,78.36555667481844,1
tardy,11800000000,11800.0,12020.874445,11800000000,2,220.49742999999944,34,0,1,0,0,,0.8117647058823529,,,79.09738787499457,1
reaction,11900000000,11900.0,12138.507068,11900000000,0,238.26174399999945,34,0,0,1,0,,,0.0,,79.8228170587433,1
tardy,11900000000,11900.0,12139.370154,11900000000,1,239.11185599999953,35,1,1,0,0,1,0.8117647058823529,,,80.5418415005728,1
reaction,12000000000,12000.0,12237.680824,12000000000,0,237.4435570000005,35,1,1,1,0,1,0.8156862745098039,0.0,,81.26152440731335,1
reaction,12100000000,12100.0,12339.657181,12100000000,0,239.4346549999991,35,1,1,1,0,1,0.8235294117647058,0.0,,81.98891989830506,1
reaction,12200000000,12200.0,12405.806632,12200000000,0,205.57493500000055,35,0,1,1,0,,0.8352941176470589,0.0,,82.73112397308779,1
tardy,12200000000,12200.0,12440.51374,12200000000,1,240.25938999999926,36,1,0,0,0,1,,,,83.46653605410609,1
reaction,12300000000,12300.0,12523.291832,12300000000,0,223.06487299999935,36,0,0,1,0,,,0.0,,84.19515792584545,1
tardy,12300000000,12300.0,12536.593936,12300000000,1,236.36122799999976,37,1,1,0,0,1,0.8549019607843137,,,84.95302347089589,1
reaction,12400000000,12400.0,12609.814244,12400000000,0,209.5860560000001,37,0,0,1,0,,,0.0,,85.70376726157473,1
tardy,12400000000,12400.0,12633.901338,12400000000,1,233.68026500000087,38,1,1,0,0,1,0.8509803921568627,,,86.4401517783189,1
reaction,12500000000,12500.0,12734.226676,12500000000,0,234.0129199999992,38,1,1,1,0,1,0.8549019607843137,0.0,,87.17673536663041,1
reaction,12600000000,12600.0,12813.541435,12600000000,0,213.44173000000046,38,1,0,1,0,1,,0.0,,87.90621432440165,1
tardy,12600000000,12600.0,12839.80775,12600000000,1,239.65514500000063,39,0,1,0,0,,0.8627450980392157,,,88.64313395774094,1
reaction,12700000000,12700.0,12907.684732,12700000000,0,207.4632590000001,39,0,1,1,0,,0.9098039215686274,0.0,,89.46153099307762,1
tardy,12700000000,12700.0,12924.737972,12700000000,1,224.63665299999957,40,1,0,0,0,1,,,,90.27183023231565,1
reaction,12800000000,12800.0,13010.375874,12800000000,0,210.08265299999948,40,0,1,1,0,,0.9176470588235294,0.0,,91.08907073147383,1
tardy,12800000000,12800.0,13030.126001,12800000000,1,229.89478600000075,41,1,0,0,0,1,,,,91.8980770376747,1
reaction,12900000000,12900.0,13119.117219,12900000000,0,218.88851500000055,41,0,0,1,0,,,0.0,,92.69885902407007,1
tardy,12900000000,12900.0,13121.551343,12900000000,1,221.25777600000038,42,1,1,0,0,1,0.9215686274509803,,,93.49897138158616,1
reaction,13000000000,13000.0,13227.6682,13000000000,0,227.4505339999996,42,0,0,1,0,,,0.0,,94.29080711771056,1
tardy,13000000000,13000.0,13236.344885,13000000000,1,236.058943,43,1,1,0,0,1,0.9215686274509803,,,95.0743818173075,1
reaction,13100000000,13100.0,13297.236458,13100000000,0,196.96758500000033,43,0,0,1,0,,,0.0,,95.84971308518031,1
tardy,13100000000,13100.0,13318.182896,13100000000,1,218.06046099999912,44,1,1,0,0,1,0.9215686274509803,,,96.6168204963549,1
