federate,reactor,reaction,logical_time_ns,logical_time_ms,tag_time_ns,microstep,lag_ms,tardy_invocation_count,start_physical_time_ms,stop_physical_time_ms,execution_time_ms
adc,InputForCoach,input_arrival,7000000000,7000.0,7000000000,0,120.67086199999994,0,7120.670862,7120.961665,0.2908029999998689
adc,InputForCoach,llm_output_tick,7000000000,7000.0,7000000000,0,121.03118900000027,0,7121.031189,7121.24761,0.21642100000008213
adc,InputForCoach,input_arrival_tardy,7000000000,7000.0,7000000000,1,231.43890900000042,1,7231.438909,7231.656909,0.2179999999998472
adc,InputForCoach,input_arrival_tardy,7000000000,7000.0,7000000000,2,232.02136100000007,2,7232.021361,7232.139818,0.11845699999958015
adc,InputForCoach,input_arrival,7100000000,7100.0,7100000000,0,132.5943989999996,2,7232.594399,7232.861588,0.267189000000144
adc,InputForCoach,input_arrival_tardy,7100000000,7100.0,7100000000,1,133.17594999999983,3,7233.17595,7233.488345,0.31239499999992404
adc,InputForCoach,input_arrival_tardy,7100000000,7100.0,7100000000,2,136.31922899999972,4,7236.319229,7236.420135,0.10090600000057748
adc,InputForCoach,input_arrival_tardy,7100000000,7100.0,7100000000,3,219.29370800000015,5,7319.293708,7319.574463,0.2807549999997718
adc,InputForCoach,input_arrival_tardy,7100000000,7100.0,7100000000,4,219.7655279999999,6,7319.765528,7319.859352,0.09382400000049529
adc,InputForCoach,input_arrival,7200000000,7200.0,7200000000,0,120.15347399999973,6,7320.153474,7320.225914,0.07243999999991502
adc,InputForCoach,input_arrival_tardy,7200000000,7200.0,7200000000,1,123.27192899999955,7,7323.271929,7323.321877,0.049948000000767934
adc,InputForCoach,input_arrival_tardy,7200000000,7200.0,7200000000,2,123.39573300000029,8,7323.395733,7323.425591,0.029857999999876483
adc,InputForCoach,input_arrival_tardy,7200000000,7200.0,7200000000,3,137.6791320000002,9,7337.679132,7337.799627,0.12049500000011903
adc,InputForCoach,input_arrival,7300000000,7300.0,7300000000,0,120.59587399999964,9,7420.595874,7420.813519,0.2176450000006298
adc,InputForCoach,input_arrival_tardy,7300000000,7300.0,7300000000,1,126.37445200000002,10,7426.374452,7426.542261,0.1678089999995791
adc,InputForCoach,input_arrival_tardy,7300000000,7300.0,7300000000,2,132.57859100000042,11,7432.578591,7432.63886,0.06026899999960733
adc,InputForCoach,input_arrival_tardy,7300000000,7300.0,7300000000,3,132.8997849999996,12,7432.899785,7432.945088,0.04530300000078569
adc,InputForCoach,input_arrival_tardy,7300000000,7300.0,7300000000,4,135.82758900000044,13,7435.827589,7435.884645,0.05705599999964761
adc,InputForCoach,input_arrival_tardy,7300000000,7300.0,7300000000,5,135.96214299999974,14,7435.962143,7436.008639,0.0464959999999337
adc,InputForCoach,input_arrival,7400000000,7400.0,7400000000,0,120.9168410000002,14,7520.916841,7521.166882,0.25004100000023755
adc,InputForCoach,llm_output_tick,7400000000,7400.0,7400000000,0,121.36210000000028,14,7521.3621,7521.593978,0.2318779999995968
adc,InputForCoach,input_arrival_tardy,7400000000,7400.0,7400000000,1,142.89891700000044,15,7542.898917,7543.171716,0.27279899999939516
adc,InputForCoach,input_arrival,7500000000,7500.0,7500000000,0,120.63869499999964,15,7620.638695,7620.887798,0.24910300000010466
adc,InputForCoach,input_arrival_tardy,7500000000,7500.0,7500000000,1,128.30579099999977,16,7628.305791,7628.552796,0.247005000000172
adc,InputForCoach,input_arrival_tardy,7500000000,7500.0,7500000000,2,154.143102,17,7654.143102,7654.437488,0.2943859999995766
adc,InputForCoach,input_arrival_tardy,7500000000,7500.0,7500000000,3,206.98273599999993,18,7706.982736,7707.248069,0.2653330000002825
adc,InputForCoach,input_arrival_tardy,7500000000,7500.0,7500000000,4,225.25850300000002,19,7725.258503,7725.533235,0.2747319999998581
adc,InputForCoach,input_arrival_tardy,7500000000,7500.0,7500000000,5,225.84985700000016,20,7725.849857,7725.944167,0.09430999999949563
adc,InputForCoach,input_arrival,7600000000,7600.0,7600000000,0,126.42968000000019,20,7726.42968,7726.554774,0.12509399999999005
adc,InputForCoach,input_arrival_tardy,7600000000,7600.0,7600000000,1,139.70687199999975,21,7739.706872,7739.779243,0.07237100000020291
adc,InputForCoach,input_arrival_tardy,7600000000,7600.0,7600000000,2,140.10041999999976,22,7740.10042,7740.142031,0.0416110000005574
adc,InputForCoach,input_arrival,7700000000,7700.0,7700000000,0,120.70589999999993,22,7820.7059,7820.93838,0.2324799999996685
adc,InputForCoach,input_arrival_tardy,7700000000,7700.0,7700000000,1,127.41608999999971,23,7827.41609,7827.665103,0.24901300000055926
adc,InputForCoach,input_arrival_tardy,7700000000,7700.0,7700000000,2,133.79675899999984,24,7833.796759,7833.996984,0.20022500000050059
adc,InputForCoach,input_arrival,7800000000,7800.0,7800000000,0,120.70523700000012,24,7920.705237,7920.928825,0.22358799999983603
adc,InputForCoach,llm_output_tick,7800000000,7800.0,7800000000,0,121.04826799999955,24,7921.048268,7921.241726,0.19345800000064628
adc,InputForCoach,input_arrival_tardy,7800000000,7800.0,7800000000,1,124.81317399999989,25,7924.813174,7925.07627,0.2630959999996776
adc,InputForCoach,input_arrival_tardy,7800000000,7800.0,7800000000,2,127.15549100000044,26,7927.155491,7927.295529,0.14003799999954936
adc,InputForCoach,input_arrival_tardy,7800000000,7800.0,7800000000,3,127.38804700000037,27,7927.388047,7927.418397,0.030349999999998545
adc,InputForCoach,input_arrival_tardy,7800000000,7800.0,7800000000,4,131.28171199999997,28,7931.281712,7931.31551,0.03379800000038813
adc,InputForCoach,input_arrival_tardy,7800000000,7800.0,7800000000,5,141.9626989999997,29,7941.962699,7942.008204,0.04550500000004831
adc,InputForCoach,input_arrival,7900000000,7900.0,7900000000,0,120.70019500000035,29,8020.700195,8020.920475,0.22027999999954773
adc,InputForCoach,input_arrival_tardy,7900000000,7900.0,7900000000,1,139.9110700000001,30,8039.91107,8040.20226,0.291189999999915
adc,InputForCoach,input_arrival_tardy,7900000000,7900.0,7900000000,2,141.20467499999995,31,8041.204675,8041.731408,0.5267329999996946
adc,InputForCoach,input_arrival_tardy,7900000000,7900.0,7900000000,3,215.16358599999967,32,8115.163586,8115.43755,0.2739639999999781
adc,InputForCoach,input_arrival_tardy,7900000000,7900.0,7900000000,4,215.59465699999964,33,8115.594657,8115.677479,0.0828220000003057
adc,InputForCoach,input_arrival,8000000000,8000.0,8000000000,0,120.13648300000023,33,8120.136483,8120.181287,0.044804000000112865
adc,InputForCoach,input_arrival_tardy,8000000000,8000.0,8000000000,1,125.39303000000018,34,8125.39303,8125.679575,0.28654499999993277
adc,InputForCoach,input_arrival_tardy,8000000000,8000.0,8000000000,2,187.8820850000002,35,8187.882085,8188.171053,0.2889679999998407
adc,InputForCoach,input_arrival_tardy,8000000000,8000.0,8000000000,3,208.12716600000022,36,8208.127166,8208.268847,0.14168099999915285
adc,InputForCoach,input_arrival,8100000000,8100.0,8100000000,0,120.28554900000017,36,8220.285549,8220.433925,0.14837599999918893
adc,InputForCoach,input_arrival_tardy,8100000000,8100.0,8100000000,1,125.91686900000059,37,8225.916869,8225.979774,0.06290499999886379
adc,InputForCoach,input_arrival_tardy,8100000000,8100.0,8100000000,2,126.03733099999954,38,8226.037331,8226.068954,0.03162300000076357
adc,InputForCoach,input_arrival_tardy,8100000000,8100.0,8100000000,3,134.53184499999952,39,8234.531845,8234.690984,0.1591390000012325
adc,InputForCoach,input_arrival_tardy,8100000000,8100.0,8100000000,4,197.4760150000002,40,8297.476015,8297.758166,0.2821509999994305
adc,InputForCoach,input_arrival,8200000000,8200.0,8200000000,0,120.73631200000091,40,8320.736312,8321.07638,0.3400679999995191
adc,InputForCoach,llm_output_tick,8200000000,8200.0,8200000000,0,121.27343900000051,40,8321.273439,8321.549628,0.27618900000015856
adc,InputForCoach,input_arrival_tardy,8200000000,8200.0,8200000000,1,128.16014600000017,41,8328.160146,8328.481598,0.32145200000013574
adc,InputForCoach,input_arrival_tardy,8200000000,8200.0,8200000000,2,136.44771600000058,42,8336.447716,8336.499911,0.05219500000021071
adc,InputForCoach,input_arrival_tardy,8200000000,8200.0,8200000000,3,136.56486899999982,43,8336.564869,8336.585414,0.020544999999401625
adc,InputForCoach,input_arrival_tardy,8200000000,8200.0,8200000000,4,140.40911899999992,44,8340.409119,8340.441089,0.031970000000001164
adc,InputForCoach,input_arrival_tardy,8200000000,8200.0,8200000000,5,140.51121299999977,45,8340.511213,8340.535696,0.02448300000105519
adc,InputForCoach,input_arrival,8300000000,8300.0,8300000000,0,120.66349199999968,45,8420.663492,8420.899326,0.23583400000097754
adc,InputForCoach,input_arrival_tardy,8300000000,8300.0,8300000000,1,131.98182000000088,46,8431.98182,8432.286127,0.3043069999985164
adc,InputForCoach,input_arrival_tardy,8300000000,8300.0,8300000000,2,141.82841200000075,47,8441.828412,8442.109605,0.28119299999889336
adc,InputForCoach,input_arrival_tardy,8300000000,8300.0,8300000000,3,142.3013780000001,48,8442.301378,8442.422292,0.12091399999917485
adc,InputForCoach,input_arrival_tardy,8300000000,8300.0,8300000000,4,211.46430599999985,49,8511.464306,8511.637808,0.17350199999964389
adc,InputForCoach,input_arrival_tardy,8300000000,8300.0,8300000000,5,211.72367499999928,50,8511.723675,8511.758243,0.034568000000945176
adc,InputForCoach,input_arrival_tardy,8300000000,8300.0,8300000000,6,215.26368899999943,51,8515.263689,8515.347325,0.08363600000120641
adc,InputForCoach,input_arrival_tardy,8300000000,8300.0,8300000000,7,215.40813100000014,52,8515.408131,8515.439669,0.03153799999927287
adc,InputForCoach,input_arrival_tardy,8300000000,8300.0,8300000000,8,216.03394200000002,53,8516.033942,8516.148005,0.11406299999907787
adc,InputForCoach,input_arrival_tardy,8300000000,8300.0,8300000000,9,216.22329100000024,54,8516.223291,8516.264359,0.04106800000045041
adc,InputForCoach,input_arrival,8400000000,8400.0,8400000000,0,120.14885399999912,54,8520.148854,8520.183848,0.034994000001461245
adc,InputForCoach,input_arrival_tardy,8400000000,8400.0,8400000000,1,143.3665689999998,55,8543.366569,8543.550326,0.18375700000069628
adc,InputForCoach,input_arrival_tardy,8400000000,8400.0,8400000000,2,202.21781499999997,56,8602.217815,8602.489895,0.27208000000064203
adc,InputForCoach,input_arrival_tardy,8400000000,8400.0,8400000000,3,202.66139699999985,57,8602.661397,8602.718067,0.056669999999940046
adc,InputForCoach,input_arrival_tardy,8400000000,8400.0,8400000000,4,213.2876269999997,58,8613.287627,8613.580468,0.2928410000004078
adc,InputForCoach,input_arrival_tardy,8400000000,8400.0,8400000000,5,213.7701190000007,59,8613.770119,8613.86163,0.09151099999871803
adc,InputForCoach,input_arrival,8500000000,8500.0,8500000000,0,120.22202599999946,59,8620.222026,8620.379669,0.15764300000046205
adc,InputForCoach,input_arrival_tardy,8500000000,8500.0,8500000000,1,187.28351400000065,60,8687.283514,8687.601523,0.31800899999871035
adc,InputForCoach,input_arrival_tardy,8500000000,8500.0,8500000000,2,254.8352620000005,61,8754.835262,8755.105923,0.270660999998654
adc,InputForCoach,input_arrival,8600000000,8600.0,8600000000,0,155.45702600000004,61,8755.457026,8755.548134,0.09110800000053132
adc,InputForCoach,llm_output_tick,8600000000,8600.0,8600000000,0,155.65150800000083,61,8755.651508,8755.833457,0.18194899999980407
adc,InputForCoach,input_arrival_tardy,8600000000,8600.0,8600000000,1,203.2649509999992,62,8803.264951,8803.411386,0.1464350000005652
adc,InputForCoach,input_arrival_tardy,8600000000,8600.0,8600000000,2,214.9061810000003,63,8814.906181,8814.949679,0.0434979999990901
adc,InputForCoach,input_arrival,8700000000,8700.0,8700000000,0,120.35192500000085,63,8820.351925,8820.399728,0.047802999999476015
adc,InputForCoach,input_arrival_tardy,8700000000,8700.0,8700000000,1,133.48919000000024,64,8833.48919,8833.772405,0.28321499999947264
adc,InputForCoach,input_arrival_tardy,8700000000,8700.0,8700000000,2,134.19058100000075,65,8834.190581,8834.399169,0.2085879999995086
adc,InputForCoach,input_arrival_tardy,8700000000,8700.0,8700000000,3,215.9075869999997,66,8915.907587,8916.203051,0.29546400000072026
adc,InputForCoach,input_arrival,8800000000,8800.0,8800000000,0,120.38581800000065,66,8920.385818,8920.630014,0.24419599999964703
adc,InputForCoach,input_arrival_tardy,8800000000,8800.0,8800000000,1,127.33458000000064,67,8927.33458,8927.507467,0.1728869999988092
adc,InputForCoach,input_arrival_tardy,8800000000,8800.0,8800000000,2,137.4783439999992,68,8937.478344,8937.603808,0.1254640000006475
adc,InputForCoach,input_arrival_tardy,8800000000,8800.0,8800000000,3,143.68635299999914,69,8943.686353,8943.883208,0.19685500000014144
adc,InputForCoach,input_arrival_tardy,8800000000,8800.0,8800000000,4,203.94090200000028,70,9003.940902,9004.215818,0.27491600000030303
adc,InputForCoach,input_arrival,8900000000,8900.0,8900000000,0,120.30034599999999,70,9020.300346,9020.549816,0.249470000000656
adc,InputForCoach,input_arrival_tardy,8900000000,8900.0,8900000000,1,126.10818599999948,71,9026.108186,9026.443475,0.3352890000005573
adc,InputForCoach,input_arrival_tardy,8900000000,8900.0,8900000000,2,126.57889699999942,72,9026.578897,9026.689059,0.11016200000085519
adc,InputForCoach,input_arrival_tardy,8900000000,8900.0,8900000000,3,135.50732299999981,73,9035.507323,9035.781019,0.2736960000002
adc,InputForCoach,input_arrival_tardy,8900000000,8900.0,8900000000,4,207.03773499999988,74,9107.037735,9107.336684,0.29894899999999325
adc,InputForCoach,input_arrival,9000000000,9000.0,9000000000,0,120.34570100000019,74,9120.345701,9120.576826,0.23112500000024738
adc,InputForCoach,llm_output_tick,9000000000,9000.0,9000000000,0,121.0581889999994,74,9121.058189,9121.381041,0.32285200000114855
adc,InputForCoach,input_arrival_tardy,9000000000,9000.0,9000000000,1,134.4051240000008,75,9134.405124,9134.532232,0.12710799999877054
adc,InputForCoach,input_arrival_tardy,9000000000,9000.0,9000000000,2,134.61199699999997,76,9134.611997,9134.645481,0.03348399999958929
adc,InputForCoach,input_arrival_tardy,9000000000,9000.0,9000000000,3,135.40205500000047,77,9135.402055,9135.657232,0.2551769999990938
adc,InputForCoach,input_arrival_tardy,9000000000,9000.0,9000000000,4,135.82358000000022,78,9135.82358,9135.938804,0.11522399999921618
adc,InputForCoach,input_arrival_tardy,9000000000,9000.0,9000000000,5,175.12200499999926,79,9175.122005,9175.253779,0.13177400000131456
adc,InputForCoach,input_arrival_tardy,9000000000,9000.0,9000000000,6,219.36101299999973,80,9219.361013,9219.628363,0.2673500000000786
adc,InputForCoach,input_arrival,9100000000,9100.0,9100000000,0,120.41801400000077,80,9220.418014,9220.558629,0.14061499999843363
adc,InputForCoach,input_arrival_tardy,9100000000,9100.0,9100000000,1,134.20139700000072,81,9234.201397,9234.361937,0.16053999999894586
adc,InputForCoach,input_arrival_tardy,9100000000,9100.0,9100000000,2,134.68247899999915,82,9234.682479,9234.76066,0.07818100000076811
adc,InputForCoach,input_arrival_tardy,9100000000,9100.0,9100000000,3,136.9356540000008,83,9236.935654,9237.029419,0.09376499999962107
adc,InputForCoach,input_arrival_tardy,9100000000,9100.0,9100000000,4,137.33029999999962,84,9237.3303,9237.405263,0.0749630000009347
adc,InputForCoach,input_arrival_tardy,9100000000,9100.0,9100000000,5,142.57438899999943,85,9242.574389,9242.62029,0.045901000001322245
adc,InputForCoach,input_arrival_tardy,9100000000,9100.0,9100000000,6,200.2935809999999,86,9300.293581,9300.585023,0.2914419999997335
adc,InputForCoach,input_arrival,9200000000,9200.0,9200000000,0,120.64859699999943,86,9320.648597,9320.86677,0.21817300000111572
adc,InputForCoach,input_arrival_tardy,9200000000,9200.0,9200000000,1,132.4874120000004,87,9332.487412,9332.677322,0.18990999999914493
adc,InputForCoach,input_arrival_tardy,9200000000,9200.0,9200000000,2,132.9728780000005,88,9332.972878,9333.17194,0.1990619999996852
adc,InputForCoach,input_arrival_tardy,9200000000,9200.0,9200000000,3,190.9397939999999,89,9390.939794,9391.082573,0.14277899999979127
adc,InputForCoach,input_arrival,9300000000,9300.0,9300000000,0,120.70343999999932,89,9420.70344,9420.934449,0.231009000000995
adc,InputForCoach,input_arrival_tardy,9300000000,9300.0,9300000000,1,139.1146950000002,90,9439.114695,9439.407073,0.29237800000009884
adc,InputForCoach,input_arrival_tardy,9300000000,9300.0,9300000000,2,139.7693309999995,91,9439.769331,9439.879825,0.11049400000047171
adc,InputForCoach,input_arrival_tardy,9300000000,9300.0,9300000000,3,144.12493299999915,92,9444.124933,9444.204549,0.07961600000089675
adc,InputForCoach,input_arrival_tardy,9300000000,9300.0,9300000000,4,225.35144199999922,93,9525.351442,9525.614411,0.2629690000012488
adc,InputForCoach,input_arrival,9400000000,9400.0,9400000000,0,125.9821639999991,93,9525.982164,9526.063756,0.0815920000004553
adc,InputForCoach,llm_output_tick,9400000000,9400.0,9400000000,0,126.13783700000022,93,9526.137837,9526.372998,0.23516100000051665
adc,InputForCoach,input_arrival_tardy,9400000000,9400.0,9400000000,1,135.06805499999973,94,9535.068055,9535.37468,0.30662500000107684
adc,InputForCoach,input_arrival_tardy,9400000000,9400.0,9400000000,2,137.6643440000007,95,9537.664344,9537.746838,0.08249399999840534
