event,logical_time_ns,logical_time_ms,physical_time_ms,tag_time_ns,microstep,lag_ms,tardy_invocation_count,displacement_present,velocity_present,steer_present,head_present,eye_present,environment_states_present,distance_to_target_m,velocity_kmh,steering,head_history_json,eye_history_json,environment_json,control,instruction,inference_ms,control_present,instruction_present
llm_inference,7000000000,7000.0,7431.253969,7000000000,0,431.2539690000003,0,1,1,1,1,1,1,4000.0,89.54208000000001,1,"[""CENTER""]","[""CENTER""]","{""road_phase"": ""HIGHWAY"", ""front_car_present"": 0, ""right_car_present"": 0, ""right_car_position"": ""NONE"", ""cross_left_car_present"": 0, ""cross_right_car_present"": 0}",NONE,,386.88621297478676,1,1
llm_inference,7400000000,7400.0,7829.845529,7400000000,0,429.84552900000017,0,1,1,1,1,1,1,3965.2316791189114,87.75539718785244,1,"[""CENTER"", ""CENTER"", ""CENTER"", ""CENTER""]","[""CENTER"", ""CENTER"", ""CENTER"", ""CENTER""]","{""road_phase"": ""HIGHWAY"", ""front_car_present"": 0, ""right_car_present"": 0, ""right_car_position"": ""NONE"", ""cross_left_car_present"": 0, ""cross_right_car_present"": 0}",NONE,,318.40951507911086,1,1
llm_inference,7800000000,7800.0,8171.628156,7800000000,0,371.62815599999976,0,1,1,1,1,1,1,3928.042517906621,86.0375647137227,1,"[""CENTER"", ""CENTER"", ""CENTER"", ""CENTER""]","[""CENTER"", ""CENTER"", ""CENTER"", ""CENTER""]","{""road_phase"": ""HIGHWAY"", ""front_car_present"": 0, ""right_car_present"": 0, ""right_car_position"": ""NONE"", ""cross_left_car_present"": 0, ""cross_right_car_present"": 0}",NONE,,329.2851750738919,1,1
llm_inference,8200000000,8200.0,8578.873993,8200000000,0,378.87399299999925,0,1,1,1,1,1,1,3890.853356694164,84.38464889650945,1,"[""CENTER"", ""CENTER"", ""CENTER"", ""CENTER""]","[""CENTER"", ""CENTER"", ""CENTER"", ""CENTER""]","{""road_phase"": ""HIGHWAY"", ""front_car_present"": 0, ""right_car_present"": 0, ""right_car_position"": ""NONE"", ""cross_left_car_present"": 0, ""cross_right_car_present"": 0}",NONE,,332.58855529129505,1,1
llm_inference,8600000000,8600.0,8960.231709,8600000000,0,360.2317089999997,0,1,1,1,1,1,1,3853.664195481708,82.79301043735464,1,"[""CENTER"", ""CENTER"", ""CENTER"", ""CENTER""]","[""CENTER"", ""CENTER"", ""CENTER"", ""CENTER""]","{""road_phase"": ""HIGHWAY"", ""front_car_present"": 0, ""right_car_present"": 0, ""right_car_position"": ""NONE"", ""cross_left_car_present"": 0, ""cross_right_car_present"": 0}",NONE,,319.8555181734264,1,1
llm_inference,9000000000,9000.0,9374.051036,9000000000,0,374.05103600000075,0,1,1,1,1,1,1,3816.4750342692514,81.25927736335096,1,"[""CENTER"", ""CENTER"", ""CENTER"", ""CENTER""]","[""CENTER"", ""CENTER"", ""CENTER"", ""CENTER""]","{""road_phase"": ""HIGHWAY"", ""front_car_present"": 0, ""right_car_present"": 0, ""right_car_position"": ""NONE"", ""cross_left_car_present"": 0, ""cross_right_car_present"": 0}",NONE,,323.07065185159445,1,1
llm_inference,9400000000,9400.0,9831.169613,9400000000,0,431.169613,0,1,1,1,1,1,1,3779.285873056795,79.78032090352283,1,"[""CENTER"", ""CENTER"", ""CENTER"", ""CENTER""]","[""CENTER"", ""CENTER"", ""CENTER"", ""CENTER""]","{""road_phase"": ""HIGHWAY"", ""front_car_present"": 0, ""right_car_present"": 0, ""right_car_position"": ""NONE"", ""cross_left_car_present"": 0, ""cross_right_car_present"": 0}",NONE,,324.8618869110942,1,1
llm_inference,9800000000,9800.0,10162.724675,9800000000,0,362.7246749999995,0,1,1,1,1,1,1,3742.0967118443386,78.35323393268723,1,"[""CENTER"", ""CENTER"", ""CENTER"", ""CENTER""]","[""CENTER"", ""CENTER"", ""CENTER"", ""CENTER""]","{""road_phase"": ""HIGHWAY"", ""front_car_present"": 0, ""right_car_present"": 0, ""right_car_position"": ""NONE"", ""cross_left_car_present"": 0, ""cross_right_car_present"": 0}",NONE,,322.36271258443594,1,1
llm_inference,10200000000,10200.0,10567.475008,10200000000,0,367.47500799999943,0,1,1,1,1,1,1,3704.9075506318823,76.97531166967624,1,"[""CENTER"", ""CENTER"", ""CENTER"", ""CENTER""]","[""CENTER"", ""CENTER"", ""CENTER"", ""CENTER""]","{""road_phase"": ""HIGHWAY"", ""front_car_present"": 0, ""right_car_present"": 0, ""right_car_position"": ""NONE"", ""cross_left_car_present"": 0, ""cross_right_car_present"": 0}",WARNING,Increase speed.,327.7777465991676,1,1
llm_inference,10600000000,10600.0,10974.369732,10600000000,0,374.3697319999992,0,1,1,1,1,1,1,3667.718389419426,75.64403435942091,1,"[""CENTER"", ""CENTER"", ""CENTER"", ""CENTER""]","[""CENTER"", ""CENTER"", ""CENTER"", ""CENTER""]","{""road_phase"": ""HIGHWAY"", ""front_car_present"": 0, ""right_car_present"": 0, ""right_car_position"": ""NONE"", ""cross_left_car_present"": 0, ""cross_right_car_present"": 0}",NONE,,335.17548022791743,1,1
