event,logical_time_ns,logical_time_ms,physical_time_ms,tag_time_ns,microstep,lag_ms,tardy_invocation_count,mode,from_mode,to_mode,reason,control_token,instruction,distance_to_target_m,velocity_kmh,environment_states_json,act_command,lane_command,act_set
mode_transition,10200000000,10200.0,10569.894699,10200000000,0,369.8946990000004,4,MONITORING,MONITORING,WARNING,WARNING,WARNING,Increase speed.,0.0,0.0,null,,,0
mode_transition,10600000000,10600.0,10975.595409,10600000000,0,375.59540899999956,4,WARNING,WARNING,MONITORING,NONE,NONE,,0.0,0.0,null,,,0
mode_transition,11000000000,11000.0,11365.884246,11000000000,0,365.8842459999996,4,MONITORING,MONITORING,WARNING,WARNING,WARNING,Increase speed.,0.0,0.0,null,,,0
mode_transition,12600000000,12600.0,13000.037856,12600000000,0,400.03785600000083,6,WARNING,WARNING,MONITORING,NONE,NONE,,0.0,0.0,null,,,0
mode_transition,13000000000,13000.0,13359.286577,13000000000,0,359.28657700000076,6,MONITORING,MONITORING,WARNING,WARNING,WARNING,Increase speed.,0.0,0.0,null,,,0
mode_transition,13400000000,13400.0,13813.924282,13400000000,2,413.92428199999995,7,WARNING,WARNING,MONITORING,tardy NONE,NONE,,0.0,0.0,null,,,0
mode_transition,15800000000,15800.0,16177.700612,15800000000,0,377.70061200000055,9,MONITORING,MONITORING,WARNING,WARNING,WARNING,Reduce speed.,0.0,0.0,null,,,0
mode_transition,16200000000,16200.0,16590.377421,16200000000,0,390.37742100000105,9,WARNING,WARNING,MONITORING,NONE,NONE,,0.0,0.0,null,,,0
mode_transition,21800000000,21800.0,22175.545287,21800000000,0,375.5452870000008,11,MONITORING,MONITORING,WARNING,WARNING,WARNING,Increase speed.,0.0,0.0,null,,,0
mode_transition,22600000000,22600.0,22973.708183,22600000000,0,373.7081829999988,11,WARNING,WARNING,MONITORING,NONE,NONE,,0.0,0.0,null,,,0
mode_transition,23000000000,23000.0,23384.795631,23000000000,0,384.79563100000087,11,MONITORING,MONITORING,WARNING,WARNING,WARNING,Increase speed.,0.0,0.0,null,,,0
mode_transition,25000000000,25000.0,25379.535037,25000000000,0,379.53503700000147,13,WARNING,WARNING,MONITORING,NONE,NONE,,0.0,0.0,null,,,0
mode_transition,25400000000,25400.0,25810.558393,25400000000,2,410.55839299999934,14,MONITORING,MONITORING,WARNING,tardy WARNING,WARNING,Increase speed.,0.0,0.0,null,,,0
mode_transition,28200000000,28200.0,28586.634918,28200000000,0,386.63491799999974,17,WARNING,WARNING,MONITORING,NONE,NONE,,0.0,0.0,null,,,0
mode_transition,35000000000,35000.0,35376.73909,35000000000,0,376.73909000000276,20,MONITORING,MONITORING,WARNING,WARNING,WARNING,Increase speed.,0.0,0.0,null,,,0
mode_transition,40600000000,40600.0,41005.422913,40600000000,2,405.42291300000215,33,WARNING,WARNING,MONITORING,tardy NONE,NONE,,0.0,0.0,null,,,0
mode_transition,42600000000,42600.0,42980.0333,42600000000,0,380.0333000000028,42,MONITORING,MONITORING,WARNING,WARNING,WARNING,Increase speed.,0.0,0.0,null,,,0
mode_transition,43000000000,43000.0,43414.993136,43000000000,2,414.9931359999973,43,WARNING,WARNING,MONITORING,tardy NONE,NONE,,0.0,0.0,null,,,0
mode_transition,43400000000,43400.0,43803.411326,43400000000,2,403.4113260000013,45,MONITORING,MONITORING,WARNING,tardy WARNING,WARNING,Increase speed.,0.0,0.0,null,,,0
mode_transition,43800000000,43800.0,44216.810335,43800000000,1,416.81033500000194,46,WARNING,WARNING,MONITORING,tardy NONE,NONE,,0.0,0.0,null,,,0
mode_transition,44200000000,44200.0,44568.85113,44200000000,0,368.85113000000274,47,MONITORING,MONITORING,WARNING,WARNING,WARNING,Reduce speed.,0.0,0.0,null,,,0
mode_transition,44600000000,44600.0,45021.142569,44600000000,2,421.1425690000033,48,WARNING,WARNING,MONITORING,tardy NONE,NONE,,0.0,0.0,null,,,0
mode_transition,45800000000,45800.0,46180.713301,45800000000,0,380.7133010000034,53,MONITORING,MONITORING,WARNING,WARNING,WARNING,Reduce speed.,0.0,0.0,null,,,0
mode_transition,46200000000,46200.0,46671.989385,46200000000,1,471.98938500000077,53,WARNING,WARNING,MONITORING,tardy NONE,NONE,,0.0,0.0,null,,,0
mode_transition,47400000000,47400.0,47793.623764,47400000000,0,393.6237640000036,58,MONITORING,MONITORING,WARNING,WARNING,WARNING,Increase speed.,0.0,0.0,null,,,0
mode_transition,47800000000,47800.0,48304.771644,47800000000,2,504.7716440000004,59,WARNING,WARNING,MONITORING,tardy NONE,NONE,,0.0,0.0,null,,,0
mode_transition,52600000000,52600.0,52982.14755,52600000000,0,382.1475500000015,77,MONITORING,MONITORING,WARNING,WARNING,WARNING,Reduce speed.,0.0,0.0,null,,,0
mode_transition,53400000000,53400.0,53803.144379,53400000000,1,403.14437899999757,77,WARNING,WARNING,MONITORING,tardy NONE,NONE,,0.0,0.0,null,,,0
mode_transition,54200000000,54200.0,54698.485368,54200000000,1,498.4853680000015,78,MONITORING,MONITORING,ACTUATE,tardy ACTUATE,ACTUATE,Stop before the sign.,0.0,0.0,null,,,0
act_command_set,54600000000,54600.0,55000.387908,54600000000,0,400.38790799999697,79,ACTUATE,,,ACTUATE,ACTUATE,Stop before the sign.,845.1676089662742,86.06868151664371,"[""EXIT"", 0, 0, ""NONE"", 0, 0]",BRAKE,KEEP_LANE,1
act_command_set,55000000000,55000.0,55400.4108,55000000000,0,400.41079999999783,81,ACTUATE,,,ACTUATE,ACTUATE,Stop before the sign.,813.6564001131064,82.22750473136978,"[""EXIT"", 0, 0, ""NONE"", 0, 0]",BRAKE,KEEP_LANE,1
mode_transition,55400000000,55400.0,55799.432926,55400000000,0,399.4329260000013,82,ACTUATE,ACTUATE,MONITORING,WARNING,WARNING,Reduce speed.,782.2048676932327,78.56019675112451,"[""EXIT"", 0, 0, ""NONE"", 0, 0]",,,0
mode_transition,55800000000,55800.0,56249.648938,55800000000,1,449.64893799999845,82,MONITORING,MONITORING,WARNING,tardy WARNING,WARNING,,782.2048676932327,78.56019675112451,"[""EXIT"", 0, 0, ""NONE"", 0, 0]",,,0
mode_transition,55800000000,55800.0,56249.938925,55800000000,2,449.9389250000022,83,WARNING,WARNING,MONITORING,tardy NONE,NONE,,782.2048676932327,78.56019675112451,"[""EXIT"", 0, 0, ""NONE"", 0, 0]",,,0
mode_transition,56200000000,56200.0,56613.248491,56200000000,2,413.24849099999847,85,MONITORING,MONITORING,WARNING,tardy WARNING,WARNING,Reduce speed.,782.2048676932327,78.56019675112451,"[""EXIT"", 0, 0, ""NONE"", 0, 0]",,,0
mode_transition,56600000000,56600.0,56974.959302,56600000000,0,374.95930200000294,86,WARNING,WARNING,MONITORING,NONE,NONE,,782.2048676932327,78.56019675112451,"[""EXIT"", 0, 0, ""NONE"", 0, 0]",,,0
mode_transition,58200000000,58200.0,58651.418191,58200000000,1,451.418190999997,88,MONITORING,MONITORING,WARNING,tardy WARNING,WARNING,Reduce speed.,782.2048676932327,78.56019675112451,"[""EXIT"", 0, 0, ""NONE"", 0, 0]",,,0
mode_transition,59400000000,59400.0,59809.500973,59400000000,1,409.500973000002,90,WARNING,WARNING,MONITORING,tardy NONE,NONE,,782.2048676932327,78.56019675112451,"[""EXIT"", 0, 0, ""NONE"", 0, 0]",,,0
mode_transition,60600000000,60600.0,60970.209658,60600000000,0,370.20965799999976,91,MONITORING,MONITORING,WARNING,WARNING,WARNING,Reduce speed.,782.2048676932327,78.56019675112451,"[""EXIT"", 0, 0, ""NONE"", 0, 0]",,,0
mode_transition,61400000000,61400.0,61799.395093,61400000000,0,399.3950929999992,91,WARNING,WARNING,MONITORING,NONE,NONE,,782.2048676932327,78.56019675112451,"[""EXIT"", 0, 0, ""NONE"", 0, 0]",,,0
mode_transition,63000000000,63000.0,63366.406461,63000000000,0,366.40646099999867,91,MONITORING,MONITORING,WARNING,WARNING,WARNING,Reduce speed.,782.2048676932327,78.56019675112451,"[""EXIT"", 0, 0, ""NONE"", 0, 0]",,,0
