event,logical_time_ns,logical_time_ms,physical_time_ms,tag_time_ns,microstep,lag_ms,tardy_invocation_count,displacement_present,velocity_present,car_steer_present,head_present,eye_present,environment_states_present,environment_distance,car_velocity,car_steer,head,eye,head_history_json,eye_history_json,environment_states_json
input_arrival,7000000000,7000.0,7041.682613,7000000000,0,41.69198799999958,0,1,1,1,1,1,1,4000.0,89.54208000000001,1,1,1,"[""CENTER""]","[""CENTER""]","[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
llm_output_tick,7000000000,7000.0,7042.09539,7000000000,0,42.097461000000294,0,1,1,1,1,1,1,4000.0,89.54208000000001,1,1,1,"[""CENTER""]","[""CENTER""]","[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
input_arrival,7100000000,7100.0,7139.55706,7100000000,0,39.561077000000296,0,1,1,1,1,1,1,3993.1269913125693,89.0887275505152,1,1,1,"[""CENTER"", ""CENTER""]","[""CENTER"", ""CENTER""]","[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
input_arrival,7200000000,7200.0,7241.823851,7200000000,0,41.82981800000016,0,1,1,1,1,1,1,3983.8262477871995,88.63987414070577,1,1,1,"[""CENTER"", ""CENTER"", ""CENTER""]","[""CENTER"", ""CENTER"", ""CENTER""]","[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
input_arrival,7300000000,7300.0,7338.919927,7300000000,0,38.92526199999975,0,1,1,1,1,1,1,3974.528969348861,88.19545262472354,1,1,1,"[""CENTER"", ""CENTER"", ""CENTER"", ""CENTER""]","[""CENTER"", ""CENTER"", ""CENTER"", ""CENTER""]","[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
input_arrival,7400000000,7400.0,7483.605338,7400000000,0,83.66016200000013,0,1,1,1,1,1,1,3965.2316791189114,87.75539718785244,1,0,1,"[""CENTER"", ""CENTER"", ""CENTER"", ""LEFT""]","[""CENTER"", ""CENTER"", ""CENTER"", ""CENTER""]","[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
llm_output_tick,7400000000,7400.0,7484.0227,7400000000,0,84.02626099999998,0,1,1,1,1,1,1,3965.2316791189114,87.75539718785244,1,0,1,"[""CENTER"", ""CENTER"", ""CENTER"", ""LEFT""]","[""CENTER"", ""CENTER"", ""CENTER"", ""CENTER""]","[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
input_arrival,7500000000,7500.0,7538.877051,7500000000,0,38.87986000000001,0,1,1,1,1,1,1,3955.934388815963,87.31964331365256,1,0,1,"[""CENTER"", ""CENTER"", ""LEFT"", ""LEFT""]","[""CENTER"", ""CENTER"", ""CENTER"", ""CENTER""]","[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
input_arrival,7600000000,7600.0,7639.508802,7600000000,0,39.515190000000075,0,1,1,1,1,1,1,3946.637098512849,88.23453273477244,1,0,1,"[""CENTER"", ""LEFT"", ""LEFT"", ""LEFT""]","[""CENTER"", ""CENTER"", ""CENTER"", ""CENTER""]","[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
input_arrival,7700000000,7700.0,7737.819496,7700000000,0,37.82488900000044,0,1,1,1,1,1,1,3937.339808209735,87.79409424772113,1,0,1,"[""LEFT"", ""LEFT"", ""LEFT"", ""LEFT""]","[""CENTER"", ""CENTER"", ""CENTER"", ""CENTER""]","[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
input_arrival,7800000000,7800.0,7842.36932,7800000000,0,42.374917000000096,0,1,1,1,1,1,1,3928.042517906621,87.35796297078903,1,0,1,"[""LEFT"", ""LEFT"", ""LEFT"", ""LEFT""]","[""CENTER"", ""CENTER"", ""CENTER"", ""CENTER""]","[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
llm_output_tick,7800000000,7800.0,7842.754316,7800000000,0,42.75630100000035,0,1,1,1,1,1,1,3928.042517906621,87.35796297078903,1,0,1,"[""LEFT"", ""LEFT"", ""LEFT"", ""LEFT""]","[""CENTER"", ""CENTER"", ""CENTER"", ""CENTER""]","[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
input_arrival,7900000000,7900.0,7969.298442,7900000000,0,69.30405100000007,0,1,1,1,1,1,1,3918.745227603507,86.92607554332206,1,0,1,"[""LEFT"", ""LEFT"", ""LEFT"", ""LEFT""]","[""CENTER"", ""CENTER"", ""CENTER"", ""CENTER""]","[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
input_arrival,8000000000,8000.0,8038.831598,8000000000,0,38.83496399999967,0,1,1,1,1,1,1,3909.447937300393,86.49836984280186,1,0,1,"[""LEFT"", ""LEFT"", ""LEFT"", ""LEFT""]","[""CENTER"", ""CENTER"", ""CENTER"", ""CENTER""]","[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
input_arrival,8100000000,8100.0,8139.456223,8100000000,0,39.46263100000033,0,1,1,1,1,1,1,3900.1506469972787,86.07478495472064,1,0,1,"[""LEFT"", ""LEFT"", ""LEFT"", ""LEFT""]","[""CENTER"", ""CENTER"", ""CENTER"", ""CENTER""]","[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
input_arrival,8200000000,8200.0,8239.25677,8200000000,0,39.2618509999993,0,1,1,1,1,1,1,3890.853356694164,85.65526114333167,1,0,1,"[""LEFT"", ""LEFT"", ""LEFT"", ""LEFT""]","[""CENTER"", ""CENTER"", ""CENTER"", ""CENTER""]","[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
