event,logical_time_ns,logical_time_ms,physical_time_ms,tag_time_ns,microstep,lag_ms,tardy_invocation_count,displacement_present,velocity_present,steer_present,head_present,eye_present,environment_states_present,distance_to_target_m,velocity_kmh,steering,head_history_json,eye_history_json,environment_json,control,instruction,inference_ms,control_present,instruction_present
llm_inference,7000000000,7000.0,7352.111471,7000000000,0,352.11147100000017,0,1,1,1,1,1,1,4000.0,89.54208000000001,1,"[""CENTER""]","[""CENTER""]","{""road_phase"": ""HIGHWAY"", ""front_car_present"": 0, ""right_car_present"": 0, ""right_car_position"": ""NONE"", ""cross_left_car_present"": 0, ""cross_right_car_present"": 0}",NONE,,307.0264267735183,1,1
llm_inference,7400000000,7400.0,7733.215058,7400000000,0,333.2150579999998,0,1,1,1,1,1,1,3965.2316791189114,87.75539718785244,1,"[""CENTER"", ""CENTER"", ""CENTER"", ""LEFT""]","[""CENTER"", ""CENTER"", ""CENTER"", ""CENTER""]","{""road_phase"": ""HIGHWAY"", ""front_car_present"": 0, ""right_car_present"": 0, ""right_car_position"": ""NONE"", ""cross_left_car_present"": 0, ""cross_right_car_present"": 0}",NONE,,245.5483078956604,1,1
llm_inference,7800000000,7800.0,8080.587208,7800000000,0,280.5872079999999,0,1,1,1,1,1,1,3928.042517906621,87.35796297078903,1,"[""LEFT"", ""LEFT"", ""LEFT"", ""LEFT""]","[""CENTER"", ""CENTER"", ""CENTER"", ""CENTER""]","{""road_phase"": ""HIGHWAY"", ""front_car_present"": 0, ""right_car_present"": 0, ""right_car_position"": ""NONE"", ""cross_left_car_present"": 0, ""cross_right_car_present"": 0}",NONE,,234.74182095378637,1,1
llm_inference,8200000000,8200.0,8476.196994,8200000000,0,276.1969939999999,0,1,1,1,1,1,1,3890.853356694164,85.65526114333167,1,"[""LEFT"", ""LEFT"", ""LEFT"", ""LEFT""]","[""CENTER"", ""CENTER"", ""CENTER"", ""CENTER""]","{""road_phase"": ""HIGHWAY"", ""front_car_present"": 0, ""right_car_present"": 0, ""right_car_position"": ""NONE"", ""cross_left_car_present"": 0, ""cross_right_car_present"": 0}",NONE,,233.68713725358248,1,1
llm_inference,8600000000,8600.0,8876.447024,8600000000,0,276.44702399999915,0,1,1,1,1,1,1,3853.664195481708,84.01662163852839,1,"[""LEFT"", ""LEFT"", ""LEFT"", ""LEFT""]","[""CENTER"", ""CENTER"", ""CENTER"", ""CENTER""]","{""road_phase"": ""HIGHWAY"", ""front_car_present"": 0, ""right_car_present"": 0, ""right_car_position"": ""NONE"", ""cross_left_car_present"": 0, ""cross_right_car_present"": 0}",NONE,,232.31730610132217,1,1
llm_inference,9000000000,9000.0,9275.491329,9000000000,0,275.4913290000004,0,1,1,1,1,1,1,3816.4750342692514,82.43846835426207,1,"[""LEFT"", ""LEFT"", ""LEFT"", ""LEFT""]","[""CENTER"", ""CENTER"", ""CENTER"", ""CENTER""]","{""road_phase"": ""HIGHWAY"", ""front_car_present"": 0, ""right_car_present"": 0, ""right_car_position"": ""NONE"", ""cross_left_car_present"": 0, ""cross_right_car_present"": 0}",NONE,,232.88545990362763,1,1
llm_inference,9400000000,9400.0,9697.937126,9400000000,0,297.9371260000007,0,1,1,1,1,1,1,3779.285873056795,80.9174867721106,1,"[""LEFT"", ""LEFT"", ""LEFT"", ""LEFT""]","[""CENTER"", ""CENTER"", ""CENTER"", ""CENTER""]","{""road_phase"": ""HIGHWAY"", ""front_car_present"": 0, ""right_car_present"": 0, ""right_car_position"": ""NONE"", ""cross_left_car_present"": 0, ""cross_right_car_present"": 0}",NONE,,226.12610086798668,1,1
llm_inference,9800000000,9800.0,10074.195962,9800000000,0,274.1959619999998,0,1,1,1,1,1,1,3742.0967118443386,79.4506004486815,1,"[""LEFT"", ""LEFT"", ""LEFT"", ""LEFT""]","[""CENTER"", ""CENTER"", ""CENTER"", ""CENTER""]","{""road_phase"": ""HIGHWAY"", ""front_car_present"": 0, ""right_car_present"": 0, ""right_car_position"": ""NONE"", ""cross_left_car_present"": 0, ""cross_right_car_present"": 0}",WARNING,Increase speed.,233.27470710501075,1,1
llm_inference,10200000000,10200.0,10535.939255,10200000000,0,335.9392549999993,0,1,1,1,1,1,1,3704.9075506318823,78.03494999920055,1,"[""LEFT"", ""LEFT"", ""LEFT"", ""LEFT""]","[""CENTER"", ""CENTER"", ""CENTER"", ""CENTER""]","{""road_phase"": ""HIGHWAY"", ""front_car_present"": 0, ""right_car_present"": 0, ""right_car_position"": ""NONE"", ""cross_left_car_present"": 0, ""cross_right_car_present"": 0}",WARNING,Increase speed.,290.31517496332526,1,1
llm_inference,10600000000,10600.0,10888.808635,10600000000,0,288.8086349999994,0,1,1,1,1,1,1,3667.718389419426,76.66787427028027,1,"[""LEFT"", ""LEFT"", ""LEFT"", ""LEFT""]","[""CENTER"", ""CENTER"", ""CENTER"", ""CENTER""]","{""road_phase"": ""HIGHWAY"", ""front_car_present"": 0, ""right_car_present"": 0, ""right_car_position"": ""NONE"", ""cross_left_car_present"": 0, ""cross_right_car_present"": 0}",WARNING,Increase speed.,248.70660994201899,1,1
llm_inference,11000000000,11000.0,11288.011455,11000000000,0,288.01145499999984,0,1,1,1,1,1,1,3630.5292282069695,79.58484103710828,1,"[""LEFT"", ""LEFT"", ""LEFT"", ""LEFT""]","[""CENTER"", ""CENTER"", ""CENTER"", ""CENTER""]","{""road_phase"": ""HIGHWAY"", ""front_car_present"": 0, ""right_car_present"": 0, ""right_car_position"": ""NONE"", ""cross_left_car_present"": 0, ""cross_right_car_present"": 0}",NONE,,247.1676729619503,1,1
llm_inference,11400000000,11400.0,11701.397546,11400000000,0,301.39754600000015,0,1,1,1,1,1,1,3593.3400669945163,83.84779539633895,1,"[""LEFT"", ""LEFT"", ""LEFT"", ""LEFT""]","[""CENTER"", ""CENTER"", ""CENTER"", ""CENTER""]","{""road_phase"": ""HIGHWAY"", ""front_car_present"": 0, ""right_car_present"": 0, ""right_car_position"": ""NONE"", ""cross_left_car_present"": 0, ""cross_right_car_present"": 0}",WARNING,Increase speed.,228.8639172911644,1,1
llm_inference,11800000000,11800.0,12075.783366,11800000000,0,275.78336599999966,0,1,1,1,1,1,1,3556.1509057820776,87.95510707766535,1,"[""LEFT"", ""LEFT"", ""LEFT"", ""LEFT""]","[""CENTER"", ""CENTER"", ""CENTER"", ""CENTER""]","{""road_phase"": ""HIGHWAY"", ""front_car_present"": 0, ""right_car_present"": 0, ""right_car_position"": ""NONE"", ""cross_left_car_present"": 0, ""cross_right_car_present"": 0}",NONE,,233.7506292387843,1,1
llm_inference,12200000000,12200.0,12483.089481,12200000000,0,283.0894810000009,0,1,1,1,1,1,1,3518.961744569639,91.90513802994825,1,"[""LEFT"", ""LEFT"", ""LEFT"", ""LEFT""]","[""CENTER"", ""CENTER"", ""CENTER"", ""CENTER""]","{""road_phase"": ""HIGHWAY"", ""front_car_present"": 0, ""right_car_present"": 0, ""right_car_position"": ""NONE"", ""cross_left_car_present"": 0, ""cross_right_car_present"": 0}",NONE,,243.076850194484,1,1
