event,logical_time_ns,logical_time_ms,physical_time_ms,tag_time_ns,microstep,lag_ms,tardy_invocation_count,mode,from_mode,to_mode,reason,control_token,instruction,distance_to_target_m,velocity_kmh,environment_states_json,act_command,lane_command,act_set
mode_transition,9800000000,9800.0,10078.811344,9800000000,0,278.81134399999974,0,MONITORING,MONITORING,WARNING,WARNING,WARNING,Increase speed.,0.0,0.0,null,,,0
mode_transition,11000000000,11000.0,11289.359349,11000000000,0,289.3593490000003,0,WARNING,WARNING,MONITORING,NONE,NONE,,0.0,0.0,null,,,0
mode_transition,11400000000,11400.0,11702.330611,11400000000,0,302.3306109999994,0,MONITORING,MONITORING,WARNING,WARNING,WARNING,Increase speed.,0.0,0.0,null,,,0
mode_transition,11800000000,11800.0,12076.569616,11800000000,0,276.5696160000007,0,WARNING,WARNING,MONITORING,NONE,NONE,,0.0,0.0,null,,,0
mode_transition,37400000000,37400.0,37710.009662,37400000000,0,310.00966199999675,0,MONITORING,MONITORING,WARNING,WARNING,WARNING,Increase speed.,0.0,0.0,null,,,0
mode_transition,41000000000,41000.0,41299.406381,41000000000,0,299.4063810000007,0,WARNING,WARNING,MONITORING,NONE,NONE,,0.0,0.0,null,,,0
mode_transition,41400000000,41400.0,41723.611963,41400000000,0,323.611963000003,0,MONITORING,MONITORING,WARNING,WARNING,WARNING,Increase speed.,0.0,0.0,null,,,0
mode_transition,43400000000,43400.0,43721.978263,43400000000,0,321.97826299999724,0,WARNING,WARNING,MONITORING,NONE,NONE,,0.0,0.0,null,,,0
mode_transition,44200000000,44200.0,44495.545525,44200000000,0,295.54552500000136,0,MONITORING,MONITORING,WARNING,WARNING,WARNING,Reduce speed.,0.0,0.0,null,,,0
mode_transition,45000000000,45000.0,45297.295467,45000000000,0,297.29546700000355,0,WARNING,WARNING,MONITORING,NONE,NONE,,0.0,0.0,null,,,0
mode_transition,45800000000,45800.0,46101.20927,45800000000,0,301.2092699999994,0,MONITORING,MONITORING,WARNING,WARNING,WARNING,Reduce speed.,0.0,0.0,null,,,0
mode_transition,47000000000,47000.0,47287.90136,47000000000,0,287.9013600000035,0,WARNING,WARNING,MONITORING,NONE,NONE,,0.0,0.0,null,,,0
mode_transition,47400000000,47400.0,47710.124993,47400000000,0,310.12499299999763,0,MONITORING,MONITORING,WARNING,WARNING,WARNING,Increase speed.,0.0,0.0,null,,,0
mode_transition,47800000000,47800.0,48085.79408,47800000000,0,285.79407999999967,0,WARNING,WARNING,MONITORING,NONE,NONE,,0.0,0.0,null,,,0
mode_transition,49800000000,49800.0,50090.86686,49800000000,0,290.8668600000019,0,MONITORING,MONITORING,WARNING,WARNING,WARNING,Increase speed.,0.0,0.0,null,,,0
mode_transition,50600000000,50600.0,50887.290213,50600000000,0,287.2902130000002,0,WARNING,WARNING,MONITORING,NONE,NONE,,0.0,0.0,null,,,0
mode_transition,51000000000,51000.0,51281.483446,51000000000,0,281.48344599999837,0,MONITORING,MONITORING,WARNING,WARNING,WARNING,Increase speed.,0.0,0.0,null,,,0
