event,logical_time_ns,logical_time_ms,physical_time_ms,tag_time_ns,microstep,lag_ms,tardy_invocation_count,displacement_present,velocity_present,car_steer_present,head_present,eye_present,environment_states_present,environment_distance,car_velocity,car_steer,head,eye,head_history_json,eye_history_json,environment_states_json
input_arrival,7000000000,7000.0,7041.512295,7000000000,0,41.52177099999972,0,1,1,1,1,1,1,4000.0,90.98208,1,1,1,"[""CENTER""]","[""CENTER""]","[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
llm_output_tick,7000000000,7000.0,7042.089503,7000000000,0,42.092321000000084,0,1,1,1,1,1,1,4000.0,90.98208,1,1,1,"[""CENTER""]","[""CENTER""]","[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
input_arrival,7100000000,7100.0,7141.721296,7100000000,0,41.72511099999974,0,1,1,1,1,1,1,3993.1269913125693,91.9542856177152,1,1,1,"[""CENTER"", ""CENTER""]","[""CENTER"", ""CENTER""]","[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
input_arrival,7200000000,7200.0,7240.62291,7200000000,0,40.629289000000426,0,1,1,1,1,1,1,3983.8262477871995,92.91661058196718,1,1,1,"[""CENTER"", ""CENTER"", ""CENTER""]","[""CENTER"", ""CENTER"", ""CENTER""]","[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
input_arrival,7300000000,7300.0,7339.514489,7300000000,0,39.51971599999979,0,1,1,1,1,1,1,3974.528969348861,93.86905188629824,1,1,1,"[""CENTER"", ""CENTER"", ""CENTER"", ""CENTER""]","[""CENTER"", ""CENTER"", ""CENTER"", ""CENTER""]","[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
input_arrival,7400000000,7400.0,7477.312147,7400000000,0,77.31866999999966,0,1,1,1,1,1,1,3965.2316791189114,94.8116097250742,1,0,1,"[""CENTER"", ""CENTER"", ""CENTER"", ""LEFT""]","[""CENTER"", ""CENTER"", ""CENTER"", ""CENTER""]","[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
llm_output_tick,7400000000,7400.0,7477.697872,7400000000,0,77.70147300000008,0,1,1,1,1,1,1,3965.2316791189114,94.8116097250742,1,0,1,"[""CENTER"", ""CENTER"", ""CENTER"", ""LEFT""]","[""CENTER"", ""CENTER"", ""CENTER"", ""CENTER""]","[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
input_arrival,7500000000,7500.0,7540.464947,7500000000,0,40.47033199999987,0,1,1,1,1,1,1,3955.934388815963,95.744287428482,1,0,1,"[""CENTER"", ""CENTER"", ""LEFT"", ""LEFT""]","[""CENTER"", ""CENTER"", ""CENTER"", ""CENTER""]","[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
input_arrival,7600000000,7600.0,7638.322793,7600000000,0,38.32823600000029,0,1,1,1,1,1,1,3946.637098512849,96.66709139652711,1,0,1,"[""CENTER"", ""LEFT"", ""LEFT"", ""LEFT""]","[""CENTER"", ""CENTER"", ""CENTER"", ""CENTER""]","[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
input_arrival,7700000000,7700.0,7739.849164,7700000000,0,39.854781,0,1,1,1,1,1,1,3937.339808209735,97.58003103213464,1,0,1,"[""LEFT"", ""LEFT"", ""LEFT"", ""LEFT""]","[""CENTER"", ""CENTER"", ""CENTER"", ""CENTER""]","[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
input_arrival,7800000000,7800.0,7840.856767,7800000000,0,40.86225300000024,0,1,1,1,1,1,1,3928.042517906621,98.48311867345507,1,0,1,"[""LEFT"", ""LEFT"", ""LEFT"", ""LEFT""]","[""CENTER"", ""CENTER"", ""CENTER"", ""CENTER""]","[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
llm_output_tick,7800000000,7800.0,7841.252455,7800000000,0,41.25410699999975,0,1,1,1,1,1,1,3928.042517906621,98.48311867345507,1,0,1,"[""LEFT"", ""LEFT"", ""LEFT"", ""LEFT""]","[""CENTER"", ""CENTER"", ""CENTER"", ""CENTER""]","[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
input_arrival,7900000000,7900.0,7964.5411,7900000000,0,64.54708899999969,0,1,1,1,1,1,1,3918.745227603507,99.37636952547453,1,0,1,"[""LEFT"", ""LEFT"", ""LEFT"", ""LEFT""]","[""CENTER"", ""CENTER"", ""CENTER"", ""CENTER""]","[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
input_arrival,8000000000,8000.0,8040.883405,8000000000,0,40.88953399999991,0,1,1,1,1,1,1,3909.447937300393,100.25980159102654,1,0,1,"[""LEFT"", ""LEFT"", ""LEFT"", ""LEFT""]","[""CENTER"", ""CENTER"", ""CENTER"", ""CENTER""]","[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
input_arrival,8100000000,8100.0,8143.733813,8100000000,0,43.74045500000011,0,1,1,1,1,1,1,3900.1506469972787,101.13343560130032,1,0,1,"[""LEFT"", ""LEFT"", ""LEFT"", ""LEFT""]","[""CENTER"", ""CENTER"", ""CENTER"", ""CENTER""]","[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
input_arrival,8200000000,8200.0,8241.038483,8200000000,0,41.043422000000646,0,1,1,1,1,1,1,3890.853356694164,101.99729494593795,1,0,1,"[""LEFT"", ""LEFT"", ""LEFT"", ""LEFT""]","[""CENTER"", ""CENTER"", ""CENTER"", ""CENTER""]","[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
