event,logical_time_ns,logical_time_ms,physical_time_ms,tag_time_ns,microstep,lag_ms,tardy_invocation_count,steer_in_present,accel_in_present,brake_in_present,actuate_in_present,steer_in,accel_in,brake_in,actuate_in,car_velocity,car_steer
reaction,7000000000,7000.0,7020.981811,7000000000,0,20.690623000000414,0,1,1,1,0,1,1.0,0.0,,90.98208,1
reaction,7100000000,7100.0,7120.967569,7100000000,0,20.63835399999971,0,1,1,1,0,1,1.0,0.0,,91.9542856177152,1
reaction,7200000000,7200.0,7220.883576,7200000000,0,20.647594000000026,0,1,1,1,0,1,1.0,0.0,,92.91661058196718,1
reaction,7300000000,7300.0,7320.748328,7300000000,0,20.54282400000011,0,1,1,1,0,1,1.0,0.0,,93.86905188629824,1
reaction,7400000000,7400.0,7420.847548,7400000000,0,20.62525000000005,0,1,1,1,0,1,1.0,0.0,,94.8116097250742,1
reaction,7500000000,7500.0,7520.954046,7500000000,0,20.69264899999962,0,1,1,1,0,1,1.0,0.0,,95.744287428482,1
reaction,7600000000,7600.0,7620.573376,7600000000,0,20.465879999999743,0,1,1,1,0,1,1.0,0.0,,96.66709139652711,1
reaction,7700000000,7700.0,7720.895045,7700000000,0,20.67359899999974,0,1,1,1,0,1,1.0,0.0,,97.58003103213464,1
reaction,7800000000,7800.0,7820.771137,7800000000,0,20.546250000000327,0,1,1,1,0,1,1.0,0.0,,98.48311867345507,1
reaction,7900000000,7900.0,7920.95021,7900000000,0,20.678240000000187,0,1,1,1,0,1,1.0,0.0,,99.37636952547453,1
reaction,8000000000,8000.0,8020.795926,8000000000,0,20.55177900000035,0,1,1,1,0,1,1.0,0.0,,100.25980159102654,1
reaction,8100000000,8100.0,8121.020254,8100000000,0,20.734588000000258,0,1,1,1,0,1,1.0,0.0,,101.13343560130032,1
reaction,8200000000,8200.0,8220.895225,8200000000,0,20.668643000000884,0,1,1,1,0,1,1.0,0.0,,101.99729494593795,1
reaction,8300000000,8300.0,8320.751947,8300000000,0,20.601893999999447,0,1,1,1,0,1,1.0,0.0,,102.8514056028108,1
reaction,8400000000,8400.0,8420.856201,8400000000,0,20.616190000000643,0,1,1,1,0,1,1.0,0.0,,103.69579606756226,1
reaction,8500000000,8500.0,8520.839472,8500000000,0,20.69502300000022,0,1,1,1,0,1,1.0,0.0,,104.53049728300195,1
reaction,8600000000,8600.0,8620.872399,8600000000,0,20.63328999999976,0,1,1,1,0,1,1.0,0.0,,105.35554256843353,1
reaction,8700000000,8700.0,8721.08895,8700000000,0,20.71668099999988,0,1,1,1,0,1,1.0,0.0,,106.17096754899525,1
reaction,8800000000,8800.0,8820.624711,8800000000,0,20.369516000000658,0,1,1,1,0,1,1.0,0.0,,106.97681008509026,1
reaction,8900000000,8900.0,8920.81778,8900000000,0,20.693531000000803,0,1,1,1,0,1,1.0,0.0,,107.77311020198019,1
