federate,reactor,reaction,logical_time_ns,logical_time_ms,tag_time_ns,microstep,lag_ms,tardy_invocation_count,start_physical_time_ms,stop_physical_time_ms,execution_time_ms
adc,InputForCoach,input_arrival,7000000000,7000.0,7000000000,0,41.445952000000034,0,7041.445952,7041.773723,0.32777100000021164
adc,InputForCoach,llm_output_tick,7000000000,7000.0,7000000000,0,42.06359599999996,0,7042.063596,7042.27833,0.21473400000013498
adc,InputForCoach,input_arrival,7100000000,7100.0,7100000000,0,41.70035399999961,0,7141.700354,7141.857681,0.15732700000080513
adc,InputForCoach,input_arrival,7200000000,7200.0,7200000000,0,40.592069999999694,0,7240.59207,7240.856685,0.2646150000000489
adc,InputForCoach,input_arrival,7300000000,7300.0,7300000000,0,39.49088699999993,0,7339.490887,7339.728424,0.2375369999999748
adc,InputForCoach,input_arrival,7400000000,7400.0,7400000000,0,77.28195599999981,0,7477.281956,7477.5408,0.25884399999995367
adc,InputForCoach,llm_output_tick,7400000000,7400.0,7400000000,0,77.6676209999996,0,7477.667621,7477.893605,0.22598400000060792
adc,InputForCoach,input_arrival,7500000000,7500.0,7500000000,0,40.43945900000017,0,7540.439459,7540.680543,0.24108400000022812
adc,InputForCoach,input_arrival,7600000000,7600.0,7600000000,0,38.29717400000027,0,7638.297174,7638.542325,0.24515100000007806
adc,InputForCoach,input_arrival,7700000000,7700.0,7700000000,0,39.81859600000007,0,7739.818596,7740.105351,0.2867550000000847
adc,InputForCoach,input_arrival,7800000000,7800.0,7800000000,0,40.83215099999961,0,7840.832151,7841.117795,0.2856440000005023
adc,InputForCoach,llm_output_tick,7800000000,7800.0,7800000000,0,41.23463199999969,0,7841.234632,7841.430742,0.19610999999986234
adc,InputForCoach,input_arrival,7900000000,7900.0,7900000000,0,64.51442099999986,0,7964.514421,7964.779329,0.26490800000010495
adc,InputForCoach,input_arrival,8000000000,8000.0,8000000000,0,40.855602999999974,0,8040.855603,8041.154467,0.29886400000032154
adc,InputForCoach,input_arrival,8100000000,8100.0,8100000000,0,43.7074590000002,0,8143.707459,8144.002068,0.294608999999582
adc,InputForCoach,input_arrival,8200000000,8200.0,8200000000,0,41.015808000000106,0,8241.015808,8241.252875,0.23706700000002456
adc,InputForCoach,llm_output_tick,8200000000,8200.0,8200000000,0,41.359693000000334,0,8241.359693,8241.541391,0.1816980000003241
adc,InputForCoach,input_arrival,8300000000,8300.0,8300000000,0,38.033519000000524,0,8338.033519,8338.281402,0.24788300000000163
adc,InputForCoach,input_arrival,8400000000,8400.0,8400000000,0,61.82561200000055,0,8461.825612,8462.133375,0.3077629999988858
adc,InputForCoach,input_arrival,8500000000,8500.0,8500000000,0,38.802778999999646,0,8538.802779,8538.958522,0.15574300000116637
adc,InputForCoach,input_arrival,8600000000,8600.0,8600000000,0,41.64449400000012,0,8641.644494,8641.949572,0.305077999999412
adc,InputForCoach,llm_output_tick,8600000000,8600.0,8600000000,0,42.08055400000012,0,8642.080554,8642.29986,0.21930599999905098
adc,InputForCoach,input_arrival,8700000000,8700.0,8700000000,0,39.64756999999918,0,8739.64757,8739.946959,0.29938900000161084
adc,InputForCoach,input_arrival,8800000000,8800.0,8800000000,0,40.41893499999969,0,8840.418935,8840.607512,0.18857700000080513
adc,InputForCoach,input_arrival,8900000000,8900.0,8900000000,0,71.25844499999948,0,8971.258445,8971.522752,0.26430700000128127
adc,InputForCoach,input_arrival,9000000000,9000.0,9000000000,0,38.00115799999912,0,9038.001158,9038.24871,0.24755200000072364
adc,InputForCoach,llm_output_tick,9000000000,9000.0,9000000000,0,38.36819800000012,0,9038.368198,9038.574297,0.2060989999990852
adc,InputForCoach,input_arrival,9100000000,9100.0,9100000000,0,38.778228999999556,0,9138.778229,9139.311957,0.5337280000003375
adc,InputForCoach,input_arrival,9200000000,9200.0,9200000000,0,39.57661399999961,0,9239.576614,9239.704596,0.1279819999999745
adc,InputForCoach,input_arrival,9300000000,9300.0,9300000000,0,38.02457499999946,0,9338.024575,9338.267071,0.24249600000075588
adc,InputForCoach,input_arrival,9400000000,9400.0,9400000000,0,67.9617130000006,0,9467.961713,9468.225261,0.26354799999899114
adc,InputForCoach,llm_output_tick,9400000000,9400.0,9400000000,0,68.35294600000088,0,9468.352946,9468.552749,0.19980299999951967
adc,InputForCoach,input_arrival,9500000000,9500.0,9500000000,0,38.1063009999998,0,9538.106301,9538.225683,0.11938200000076904
adc,InputForCoach,input_arrival,9600000000,9600.0,9600000000,0,38.71279700000014,0,9638.712797,9638.98575,0.2729529999996885
adc,InputForCoach,input_arrival,9700000000,9700.0,9700000000,0,37.557638000000225,0,9737.557638,9737.815397,0.25775900000007823
adc,InputForCoach,input_arrival,9800000000,9800.0,9800000000,0,38.222077000000354,0,9838.222077,9838.517984,0.2959069999997155
adc,InputForCoach,llm_output_tick,9800000000,9800.0,9800000000,0,38.64303800000016,0,9838.643038,9838.850946,0.20790800000031595
