event,logical_time_ns,logical_time_ms,physical_time_ms,tag_time_ns,microstep,lag_ms,tardy_invocation_count,mode,from_mode,to_mode,reason,control_token,instruction,distance_to_target_m,velocity_kmh,environment_states_json,act_command,lane_command,act_set
mode_transition,8200000000,8200.0,8507.528863,8200000000,0,307.52886299999955,1,MONITORING,MONITORING,WARNING,WARNING,WARNING,Reduce speed.,0.0,0.0,null,,,0
mode_transition,8600000000,8600.0,8933.436136,8600000000,0,333.43613600000026,1,WARNING,WARNING,MONITORING,NONE,NONE,,0.0,0.0,null,,,0
mode_transition,13000000000,13000.0,13293.636162,13000000000,0,293.6361620000007,1,MONITORING,MONITORING,WARNING,WARNING,WARNING,Reduce speed.,0.0,0.0,null,,,0
mode_transition,13800000000,13800.0,14112.397058,13800000000,0,312.39705800000047,1,WARNING,WARNING,MONITORING,NONE,NONE,,0.0,0.0,null,,,0
mode_transition,14200000000,14200.0,14509.701295,14200000000,0,309.70129500000075,1,MONITORING,MONITORING,WARNING,WARNING,WARNING,Reduce speed.,0.0,0.0,null,,,0
mode_transition,14600000000,14600.0,14900.793528,14600000000,0,300.79352800000015,1,WARNING,WARNING,MONITORING,NONE,NONE,,0.0,0.0,null,,,0
mode_transition,15800000000,15800.0,16077.183532,15800000000,0,277.1835319999991,1,MONITORING,MONITORING,WARNING,WARNING,WARNING,Reduce speed.,0.0,0.0,null,,,0
mode_transition,16200000000,16200.0,16492.676984,16200000000,0,292.67698400000154,1,WARNING,WARNING,MONITORING,NONE,NONE,,0.0,0.0,null,,,0
mode_transition,18200000000,18200.0,18490.459783,18200000000,0,290.4597829999984,1,MONITORING,MONITORING,WARNING,WARNING,WARNING,Reduce speed.,0.0,0.0,null,,,0
mode_transition,18600000000,18600.0,18883.133048,18600000000,0,283.1330479999997,1,WARNING,WARNING,MONITORING,NONE,NONE,,0.0,0.0,null,,,0
mode_transition,19000000000,19000.0,19289.532136,19000000000,0,289.5321360000016,1,MONITORING,MONITORING,WARNING,WARNING,WARNING,Reduce speed.,0.0,0.0,null,,,0
mode_transition,19400000000,19400.0,19747.211274,19400000000,0,347.21127400000114,1,WARNING,WARNING,MONITORING,NONE,NONE,,0.0,0.0,null,,,0
mode_transition,20200000000,20200.0,20481.601697,20200000000,0,281.60169699999824,1,MONITORING,MONITORING,WARNING,WARNING,WARNING,Reduce speed.,0.0,0.0,null,,,0
mode_transition,20600000000,20600.0,20884.571566,20600000000,0,284.5715659999987,1,WARNING,WARNING,MONITORING,NONE,NONE,,0.0,0.0,null,,,0
mode_transition,21800000000,21800.0,22082.876352,21800000000,0,282.8763519999993,1,MONITORING,MONITORING,WARNING,WARNING,WARNING,Reduce speed.,0.0,0.0,null,,,0
mode_transition,22200000000,22200.0,22497.405026,22200000000,0,297.40502600000036,1,WARNING,WARNING,MONITORING,NONE,NONE,,0.0,0.0,null,,,0
mode_transition,23400000000,23400.0,23717.50763,23400000000,0,317.50763000000006,1,MONITORING,MONITORING,WARNING,WARNING,WARNING,Increase speed.,0.0,0.0,null,,,0
mode_transition,23800000000,23800.0,24097.780781,23800000000,0,297.7807810000013,1,WARNING,WARNING,MONITORING,NONE,NONE,,0.0,0.0,null,,,0
mode_transition,25800000000,25800.0,26080.453577,25800000000,0,280.4535770000002,1,MONITORING,MONITORING,WARNING,WARNING,WARNING,Increase speed.,0.0,0.0,null,,,0
