event,logical_time_ns,logical_time_ms,physical_time_ms,tag_time_ns,microstep,lag_ms,tardy_invocation_count,displacement_present,velocity_present,car_steer_present,head_present,eye_present,environment_states_present,environment_distance,car_velocity,car_steer,head,eye,head_history_json,eye_history_json,environment_states_json
input_arrival,7000000000,7000.0,7044.37664,7000000000,0,44.386813000000075,0,1,1,1,1,1,1,4000.0,90.98208,1,1,1,"[""CENTER""]","[""CENTER""]","[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
llm_output_tick,7000000000,7000.0,7045.020195,7000000000,0,45.02311800000007,0,1,1,1,1,1,1,4000.0,90.98208,1,1,1,"[""CENTER""]","[""CENTER""]","[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
input_arrival,7100000000,7100.0,7138.091018,7100000000,0,38.09338300000036,0,1,1,1,1,1,1,3993.1269913125693,91.9542856177152,1,1,1,"[""CENTER"", ""CENTER""]","[""CENTER"", ""CENTER""]","[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
input_arrival,7200000000,7200.0,7240.801213,7200000000,0,40.80399200000011,0,1,1,1,1,1,1,3983.8262477871995,92.91661058196718,1,1,1,"[""CENTER"", ""CENTER"", ""CENTER""]","[""CENTER"", ""CENTER"", ""CENTER""]","[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
input_arrival,7300000000,7300.0,7337.082824,7300000000,0,37.08492600000045,0,1,1,1,1,1,1,3974.528969348861,93.86905188629824,1,1,1,"[""CENTER"", ""CENTER"", ""CENTER"", ""CENTER""]","[""CENTER"", ""CENTER"", ""CENTER"", ""CENTER""]","[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
input_arrival,7400000000,7400.0,7482.795581,7400000000,0,82.79859800000031,0,1,1,1,1,1,1,3965.2316791189114,94.8116097250742,1,0,1,"[""CENTER"", ""CENTER"", ""CENTER"", ""LEFT""]","[""CENTER"", ""CENTER"", ""CENTER"", ""CENTER""]","[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
llm_output_tick,7400000000,7400.0,7482.9687,7400000000,0,82.96997100000044,0,1,1,1,1,1,1,3965.2316791189114,94.8116097250742,1,0,1,"[""CENTER"", ""CENTER"", ""CENTER"", ""LEFT""]","[""CENTER"", ""CENTER"", ""CENTER"", ""CENTER""]","[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
input_arrival,7500000000,7500.0,7539.303609,7500000000,0,39.30607400000008,0,1,1,1,1,1,1,3955.934388815963,95.744287428482,1,0,1,"[""CENTER"", ""CENTER"", ""LEFT"", ""LEFT""]","[""CENTER"", ""CENTER"", ""CENTER"", ""CENTER""]","[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
input_arrival,7600000000,7600.0,7640.723497,7600000000,0,40.72719200000029,0,1,1,1,1,1,1,3946.637098512849,96.66709139652711,1,0,1,"[""CENTER"", ""LEFT"", ""LEFT"", ""LEFT""]","[""CENTER"", ""CENTER"", ""CENTER"", ""CENTER""]","[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
input_arrival,7700000000,7700.0,7739.715673,7700000000,0,39.72061500000018,0,1,1,1,1,1,1,3937.339808209735,97.58003103213464,1,0,1,"[""LEFT"", ""LEFT"", ""LEFT"", ""LEFT""]","[""CENTER"", ""CENTER"", ""CENTER"", ""CENTER""]","[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
input_arrival,7800000000,7800.0,7838.78726,7800000000,0,38.78997900000013,0,1,1,1,1,1,1,3928.042517906621,98.48311867345507,1,0,1,"[""LEFT"", ""LEFT"", ""LEFT"", ""LEFT""]","[""CENTER"", ""CENTER"", ""CENTER"", ""CENTER""]","[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
llm_output_tick,7800000000,7800.0,7838.91301,7800000000,0,38.91349799999989,0,1,1,1,1,1,1,3928.042517906621,98.48311867345507,1,0,1,"[""LEFT"", ""LEFT"", ""LEFT"", ""LEFT""]","[""CENTER"", ""CENTER"", ""CENTER"", ""CENTER""]","[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
input_arrival,7900000000,7900.0,7976.293407,7900000000,0,76.29772500000036,0,1,1,1,1,1,1,3918.745227603507,99.37636952547453,1,0,1,"[""LEFT"", ""LEFT"", ""LEFT"", ""LEFT""]","[""CENTER"", ""CENTER"", ""CENTER"", ""CENTER""]","[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
