event,logical_time_ns,logical_time_ms,physical_time_ms,tag_time_ns,microstep,lag_ms,tardy_invocation_count,steer_present,accelerator_present,brake_present,steer,accelerator,brake
sensor_arrival,1255281091,1255.281091,1255.904899,1255281091,0,0.6385109999998804,0,0,1,0,1,0.07450980392156863,0.0
sensor_arrival,1263178370,1263.17837,1263.674827,1263178370,0,0.5073089999998501,0,0,1,0,1,0.10588235294117647,0.0
sensor_arrival,1271127907,1271.127907,1271.656049,1271127907,0,0.5364569999999276,0,0,1,0,1,0.1803921568627451,0.0
sensor_arrival,1279181147,1279.181147,1279.805658,1279181147,0,0.634326000000101,0,0,1,0,1,0.2196078431372549,0.0
sensor_arrival,1287114962,1287.114962,1287.552661,1287114962,0,0.44642099999987295,0,0,1,0,1,0.27450980392156865,0.0
sensor_arrival,1295095481,1295.095481,1295.566235,1295095481,0,0.4782719999998335,0,0,1,0,1,0.34509803921568627,0.0
sensor_arrival,1303102610,1303.10261,1303.569938,1303102610,0,0.47566100000017286,0,0,1,0,1,0.3803921568627451,0.0
sensor_arrival,1311116517,1311.116517,1311.649752,1311116517,0,0.5417899999999918,0,0,1,0,1,0.4235294117647059,0.0
sensor_arrival,1319112702,1319.112702,1319.584771,1319112702,0,0.4799390000000585,0,0,1,0,1,0.45098039215686275,0.0
sensor_arrival,1327079110,1327.07911,1327.604196,1327079110,0,0.5328269999999975,0,0,1,0,1,0.5019607843137255,0.0
sensor_arrival,1335242793,1335.242793,1336.115209,1335242793,0,0.8833780000002207,0,0,1,0,1,0.5843137254901961,0.0
sensor_arrival,1343274718,1343.274718,1343.845563,1343274718,0,0.5817340000000968,0,0,1,0,1,0.6392156862745098,0.0
sensor_arrival,1351102072,1351.102072,1351.609566,1351102072,0,0.5159750000000258,0,0,1,0,1,0.7176470588235294,0.0
sensor_arrival,1359113368,1359.113368,1359.654917,1359113368,0,0.5495670000000246,0,0,1,0,1,0.7490196078431373,0.0
sensor_arrival,1367102071,1367.102071,1367.573751,1367102071,0,0.4793090000000575,0,0,1,0,1,0.8901960784313725,0.0
sensor_arrival,1375135145,1375.135145,1375.724193,1375135145,0,0.5975109999999404,0,0,1,0,1,1.0,0.0
sensor_arrival,2079261752,2079.261752,2080.040187,2079261752,0,0.790175999999974,0,1,0,0,1,1.0,0.0
sensor_arrival,2127191714,2127.191714,2127.930261,2127191714,0,0.7502500000000509,0,1,0,0,1,1.0,0.0
sensor_arrival,2175126732,2175.126732,2175.705447,2175126732,0,0.5880299999998897,0,1,0,0,1,1.0,0.0
sensor_arrival,2367192058,2367.192058,2367.859625,2367192058,0,0.6782149999999092,0,1,0,0,1,1.0,0.0
sensor_arrival,2479207222,2479.207222,2479.863158,2479207222,0,0.6653440000000046,0,1,0,0,1,1.0,0.0
sensor_arrival,2527131110,2527.13111,2527.618938,2527131110,0,0.4947900000001937,0,1,0,0,1,1.0,0.0
output_tick,7000000000,7000.0,7000.488051,7000000000,0,0.5025699999996505,0,1,1,1,1,1.0,0.0
output_tick,7100000000,7100.0,7100.676759,7100000000,0,0.6926480000001902,0,1,1,1,1,1.0,0.0
output_tick,7200000000,7200.0,7200.30027,7200000000,0,0.31158400000003894,0,1,1,1,1,1.0,0.0
output_tick,7300000000,7300.0,7300.679623,7300000000,0,0.6910680000000866,0,1,1,1,1,1.0,0.0
output_tick,7400000000,7400.0,7400.697,7400000000,0,0.7133889999995517,0,1,1,1,1,1.0,0.0
output_tick,7500000000,7500.0,7500.687377,7500000000,0,0.6993210000000545,0,1,1,1,1,1.0,0.0
output_tick,7600000000,7600.0,7600.710382,7600000000,0,0.7227339999999458,0,1,1,1,1,1.0,0.0
output_tick,7700000000,7700.0,7700.751314,7700000000,0,0.7642210000003615,0,1,1,1,1,1.0,0.0
output_tick,7800000000,7800.0,7800.452935,7800000000,0,0.4620089999998527,0,1,1,1,1,1.0,0.0
output_tick,7900000000,7900.0,7900.44896,7900000000,0,0.46146000000044296,0,1,1,1,1,1.0,0.0
output_tick,8000000000,8000.0,8000.745203,8000000000,0,0.7576109999999971,0,1,1,1,1,1.0,0.0
output_tick,8100000000,8100.0,8100.683136,8100000000,0,0.6993030000003273,0,1,1,1,1,1.0,0.0
output_tick,8200000000,8200.0,8200.672383,8200000000,0,0.6846609999993234,0,1,1,1,1,1.0,0.0
output_tick,8300000000,8300.0,8300.356708,8300000000,0,0.7243519999992714,0,1,1,1,1,1.0,0.0
output_tick,8400000000,8400.0,8400.746728,8400000000,0,0.759265000000596,0,1,1,1,1,1.0,0.0
output_tick,8500000000,8500.0,8500.695383,8500000000,0,0.7080499999992753,0,1,1,1,1,1.0,0.0
output_tick,8600000000,8600.0,8600.706056,8600000000,0,0.7179629999991448,0,1,1,1,1,1.0,0.0
output_tick,8700000000,8700.0,8700.185142,8700000000,0,0.19177200000012817,0,1,1,1,1,1.0,0.0
output_tick,8800000000,8800.0,8800.709124,8800000000,0,0.720882999999958,0,1,1,1,1,1.0,0.0
output_tick,8900000000,8900.0,8900.700908,8900000000,0,0.7127039999995759,0,1,1,1,1,1.0,0.0
output_tick,9000000000,9000.0,9000.588434,9000000000,0,0.5983039999991888,0,1,1,1,1,1.0,0.0
sensor_arrival,9048259918,9048.259918,9049.506774,9048259918,0,1.2575589999996737,0,0,1,0,1,0.9647058823529412,0.0
sensor_arrival,9056145215,9056.145215,9057.074445,9056145215,0,0.9386560000002646,0,0,1,0,1,0.8705882352941177,0.0
sensor_arrival,9064120123,9064.120123,9064.864244,9064120123,0,0.7521579999993264,0,0,1,0,1,0.7803921568627451,0.0
sensor_arrival,9072092623,9072.092623,9072.931094,9072092623,0,0.8475820000003296,0,0,1,0,1,0.4980392156862745,0.0
sensor_arrival,9080186399,9080.186399,9081.097018,9080186399,0,0.9223409999995056,0,0,1,0,1,0.21568627450980393,0.0
sensor_arrival,9088154659,9088.154659,9089.00276,9088154659,0,0.8562670000010257,0,0,1,0,1,0.0784313725490196,0.0
sensor_arrival,9096212991,9096.212991,9097.098184,9096212991,0,0.8942119999992428,0,0,1,0,1,0.0,0.0
output_tick,9100000000,9100.0,9100.539589,9100000000,0,0.5500520000005054,0,1,1,1,1,0.0,0.0
output_tick,9200000000,9200.0,9200.294413,9200000000,0,0.3070609999995213,0,1,1,1,1,0.0,0.0
output_tick,9300000000,9300.0,9300.845487,9300000000,0,0.8577270000005228,0,1,1,1,1,0.0,0.0
output_tick,9400000000,9400.0,9400.77916,9400000000,0,0.7927710000003572,0,1,1,1,1,0.0,0.0
output_tick,9500000000,9500.0,9500.606724,9500000000,0,0.6148169999996753,0,1,1,1,1,0.0,0.0
output_tick,9600000000,9600.0,9600.758895,9600000000,0,0.7752099999997881,0,1,1,1,1,0.0,0.0
output_tick,9700000000,9700.0,9700.758938,9700000000,0,0.772382999999536,0,1,1,1,1,0.0,0.0
output_tick,9800000000,9800.0,9800.509151,9800000000,0,0.5171699999991688,0,1,1,1,1,0.0,0.0
output_tick,9900000000,9900.0,9900.705433,9900000000,0,0.7174699999995937,0,1,1,1,1,0.0,0.0
output_tick,10000000000,10000.0,10000.767772,10000000000,0,0.8144940000001952,0,1,1,1,1,0.0,0.0
output_tick,10100000000,10100.0,10100.746167,10100000000,0,0.7581859999991138,0,1,1,1,1,0.0,0.0
output_tick,10200000000,10200.0,10200.766229,10200000000,0,0.779765999999654,0,1,1,1,1,0.0,0.0
output_tick,10300000000,10300.0,10300.67868,10300000000,0,0.6899950000006356,0,1,1,1,1,0.0,0.0
output_tick,10400000000,10400.0,10400.707834,10400000000,0,0.7204079999992246,0,1,1,1,1,0.0,0.0
output_tick,10500000000,10500.0,10500.696378,10500000000,0,0.7086550000003626,0,1,1,1,1,0.0,0.0
output_tick,10600000000,10600.0,10600.726661,10600000000,0,0.7390319999994972,0,1,1,1,1,0.0,0.0
output_tick,10700000000,10700.0,10700.78113,10700000000,0,0.7936109999991459,0,1,1,1,1,0.0,0.0
output_tick,10800000000,10800.0,10800.282346,10800000000,0,0.2922340000004624,0,1,1,1,1,0.0,0.0
output_tick,10900000000,10900.0,10900.79355,10900000000,0,0.8056240000005346,0,1,1,1,1,0.0,0.0
output_tick,11000000000,11000.0,11000.746501,11000000000,0,0.7586489999994228,0,1,1,1,1,0.0,0.0
output_tick,11100000000,11100.0,11100.248383,11100000000,0,0.2567159999998694,0,1,1,1,1,0.0,0.0
output_tick,11200000000,11200.0,11200.702125,11200000000,0,0.7443100000000413,0,1,1,1,1,0.0,0.0
output_tick,11300000000,11300.0,11300.288154,11300000000,0,0.2994139999991603,0,1,1,1,1,0.0,0.0
output_tick,11400000000,11400.0,11400.653434,11400000000,0,0.663989999999103,0,1,1,1,1,0.0,0.0
output_tick,11500000000,11500.0,11500.295333,11500000000,0,0.3041479999992589,0,1,1,1,1,0.0,0.0
output_tick,11600000000,11600.0,11600.689983,11600000000,0,0.7017240000004676,0,1,1,1,1,0.0,0.0
output_tick,11700000000,11700.0,11700.35066,11700000000,0,0.36269700000048033,0,1,1,1,1,0.0,0.0
output_tick,11800000000,11800.0,11800.698551,11800000000,0,0.710531999999148,0,1,1,1,1,0.0,0.0
output_tick,11900000000,11900.0,11900.713928,11900000000,0,0.7261130000006233,0,1,1,1,1,0.0,0.0
output_tick,12000000000,12000.0,12000.764526,12000000000,0,0.7761370000007446,0,1,1,1,1,0.0,0.0
output_tick,12100000000,12100.0,12100.750699,12100000000,0,0.7643470000002708,0,1,1,1,1,0.0,0.0
output_tick,12200000000,12200.0,12200.314599,12200000000,0,0.32739500000025146,0,1,1,1,1,0.0,0.0
output_tick,12300000000,12300.0,12300.704934,12300000000,0,0.7173039999997854,0,1,1,1,1,0.0,0.0
output_tick,12400000000,12400.0,12400.723514,12400000000,0,0.7359949999990931,0,1,1,1,1,0.0,0.0
output_tick,12500000000,12500.0,12500.72102,12500000000,0,0.7338159999999334,0,1,1,1,1,0.0,0.0
sensor_arrival,12592631287,12592.631287,12593.983345,12592631287,0,1.3649839999998221,0,1,0,0,1,0.0,0.0
output_tick,12600000000,12600.0,12600.775859,12600000000,0,0.7886739999994461,0,1,1,1,1,0.0,0.0
sensor_arrival,12696636691,12696.636691,12697.326183,12696636691,0,0.7012880000002042,0,1,0,0,1,0.0,0.0
output_tick,12700000000,12700.0,12700.270279,12700000000,0,0.2838159999992058,0,1,1,1,1,0.0,0.0
output_tick,12800000000,12800.0,12800.446764,12800000000,0,0.45470899999963876,0,1,1,1,1,0.0,0.0
output_tick,12900000000,12900.0,12900.723656,12900000000,0,0.7356189999991329,0,1,1,1,1,0.0,0.0
output_tick,13000000000,13000.0,13000.554424,13000000000,0,0.5642569999999978,0,1,1,1,1,0.0,0.0
output_tick,13100000000,13100.0,13100.36808,13100000000,0,0.4473199999993085,0,1,1,1,1,0.0,0.0
output_tick,13200000000,13200.0,13200.913321,13200000000,0,0.9263210000008257,0,1,1,1,1,0.0,0.0
output_tick,13300000000,13300.0,13300.237909,13300000000,0,0.24674199999935809,0,1,1,1,1,0.0,0.0
output_tick,13400000000,13400.0,13400.610837,13400000000,0,0.6190220000007685,0,1,1,1,1,0.0,0.0
sensor_arrival,13448533540,13448.53354,13449.060108,13448533540,0,0.5325680000005377,0,1,0,0,1,0.0,0.0
output_tick,13500000000,13500.0,13500.770786,13500000000,0,0.7831000000005588,0,1,1,1,1,0.0,0.0
sensor_arrival,13512767609,13512.767609,13513.496582,13512767609,0,0.7361399999990681,0,1,0,0,1,0.0,0.0
output_tick,13600000000,13600.0,13600.523646,13600000000,0,0.5323499999994965,0,1,1,1,1,0.0,0.0
sensor_arrival,13632681440,13632.68144,13633.804464,13632681440,0,1.1330789999992703,0,1,0,0,1,0.0,0.0
output_tick,13700000000,13700.0,13700.678651,13700000000,0,0.6906880000005913,0,1,1,1,1,0.0,0.0
output_tick,13800000000,13800.0,13800.720231,13800000000,0,0.7641750000002503,0,1,1,1,1,0.0,0.0
output_tick,13900000000,13900.0,13900.729515,13900000000,0,0.7414219999991474,0,1,1,1,1,0.0,0.0
output_tick,14000000000,14000.0,14000.623392,14000000000,0,0.6352999999999156,0,1,1,1,1,0.0,0.0
output_tick,14100000000,14100.0,14100.720657,14100000000,0,0.7328600000000733,0,1,1,1,1,0.0,0.0
output_tick,14200000000,14200.0,14201.001123,14200000000,0,1.0161040000002686,0,1,1,1,1,0.0,0.0
output_tick,14300000000,14300.0,14300.521801,14300000000,0,0.5308559999994031,0,1,1,1,1,0.0,0.0
output_tick,14400000000,14400.0,14400.930469,14400000000,0,0.9420429999991029,0,1,1,1,1,0.0,0.0
output_tick,14500000000,14500.0,14500.664941,14500000000,0,0.6763489999993908,0,1,1,1,1,0.0,0.0
output_tick,14600000000,14600.0,14600.850538,14600000000,0,0.864556000000448,0,1,1,1,1,0.0,0.0
sensor_arrival,14640927851,14640.927851,14641.283828,14640927851,0,0.3643840000004275,0,0,1,0,1,0.00392156862745098,0.0
sensor_arrival,14648804982,14648.804982,14649.127478,14648804982,0,0.329569999999876,0,0,1,0,1,0.00784313725490196,0.0
sensor_arrival,14656881536,14656.881536,14657.434381,14656881536,0,0.5605299999988347,0,0,1,0,1,0.011764705882352941,0.0
sensor_arrival,14664918739,14664.918739,14665.453159,14664918739,0,0.5433269999994081,0,0,1,0,1,0.01568627450980392,0.0
sensor_arrival,14672865517,14672.865517,14673.306734,14672865517,0,0.4489020000000892,0,0,1,0,1,0.027450980392156862,0.0
sensor_arrival,14680881609,14680.881609,14681.406603,14680881609,0,0.5337529999997059,0,0,1,0,1,0.03529411764705882,0.0
sensor_arrival,14688845184,14688.845184,14689.268919,14688845184,0,0.43077199999970617,0,0,1,0,1,0.043137254901960784,0.0
sensor_arrival,14696841554,14696.841554,14697.272715,14696841554,0,0.43832800000018324,0,0,1,0,1,0.054901960784313725,0.0
output_tick,14700000000,14700.0,14700.199533,14700000000,0,0.20571799999925133,0,1,1,1,1,0.054901960784313725,0.0
sensor_arrival,14704953682,14704.953682,14707.482356,14704953682,0,2.538637000001472,0,0,1,0,1,0.06666666666666667,0.0
sensor_arrival,14712917126,14712.917126,14713.598915,14712917126,0,0.6888999999991938,0,0,1,0,1,0.07450980392156863,0.0
sensor_arrival,14720836164,14720.836164,14721.335344,14720836164,0,0.5051239999993413,0,0,1,0,1,0.08627450980392157,0.0
sensor_arrival,14728879756,14728.879756,14729.687339,14728879756,0,0.815972000000329,0,0,1,0,1,0.09411764705882353,0.0
sensor_arrival,14736839738,14736.839738,14737.576192,14736839738,0,0.7438609999990149,0,0,1,0,1,0.10196078431372549,0.0
sensor_arrival,14744896589,14744.896589,14745.726098,14744896589,0,0.8383229999999458,0,0,1,0,1,0.11372549019607843,0.0
sensor_arrival,14752873978,14752.873978,14753.717264,14752873978,0,0.8517300000003161,0,0,1,0,1,0.12156862745098039,0.0
sensor_arrival,14760901014,14760.901014,14761.731653,14760901014,0,0.8400460000011662,0,0,1,0,1,0.12941176470588237,0.0
sensor_arrival,14768964328,14768.964328,14769.981594,14768964328,0,1.026136000000406,0,0,1,0,1,0.13725490196078433,0.0
sensor_arrival,14776931606,14776.931606,14777.749022,14776931606,0,0.8441010000005917,0,0,1,0,1,0.1450980392156863,0.0
sensor_arrival,14784994568,14784.994568,14785.914779,14784994568,0,0.9305629999998928,0,0,1,0,1,0.16862745098039217,0.0
sensor_arrival,14792894328,14792.894328,14793.734652,14792894328,0,0.8474530000003142,0,0,1,0,1,0.17254901960784313,0.0
output_tick,14800000000,14800.0,14800.351019,14800000000,0,0.3581670000003214,0,1,1,1,1,0.17254901960784313,0.0
sensor_arrival,14802060462,14802.060462,14803.35341,14802060462,0,1.2985779999999068,0,0,1,0,1,0.19607843137254902,0.0
sensor_arrival,14808841884,14808.841884,14809.43458,14808841884,0,0.5999740000006568,0,0,1,0,1,0.20784313725490197,0.0
sensor_arrival,14816911697,14816.911697,14817.813298,14816911697,0,0.9106190000002243,0,0,1,0,1,0.22745098039215686,0.0
sensor_arrival,14824891883,14824.891883,14825.641966,14824891883,0,0.7600089999996271,0,0,1,0,1,0.24313725490196078,0.0
sensor_arrival,14832871253,14832.871253,14833.612855,14832871253,0,0.7499540000007983,0,0,1,0,1,0.2549019607843137,0.0
sensor_arrival,14840852401,14840.852401,14841.562189,14840852401,0,0.7179180000002816,0,0,1,0,1,0.27450980392156865,0.0
sensor_arrival,14848858382,14848.858382,14849.649132,14848858382,0,0.7986579999997048,0,0,1,0,1,0.2823529411764706,0.0
sensor_arrival,14856941825,14856.941825,14857.789242,14856941825,0,0.8566570000002685,0,0,1,0,1,0.2901960784313726,0.0
sensor_arrival,14864950640,14864.95064,14865.793352,14864950640,0,0.8521010000004026,0,0,1,0,1,0.2980392156862745,0.0
sensor_arrival,14881058583,14881.058583,14881.981553,14881058583,0,0.9347479999996722,0,0,1,0,1,0.30196078431372547,0.0
sensor_arrival,14896827122,14896.827122,14897.32282,14896827122,0,0.5018829999989975,0,0,1,0,1,0.30980392156862746,0.0
output_tick,14900000000,14900.0,14900.449728,14900000000,0,0.45735699999931967,0,1,1,1,1,0.30980392156862746,0.0
sensor_arrival,14905149673,14905.149673,14907.358259,14905149673,0,2.2209380000003875,0,0,1,0,1,0.3137254901960784,0.0
sensor_arrival,14912906028,14912.906028,14913.559131,14912906028,0,0.659696000000622,0,0,1,0,1,0.3176470588235294,0.0
sensor_arrival,14920823880,14920.82388,14921.348671,14920823880,0,0.5390869999991992,0,0,1,0,1,0.32941176470588235,0.0
sensor_arrival,14928819473,14928.819473,14929.340893,14928819473,0,0.5273830000005546,0,0,1,0,1,0.3333333333333333,0.0
sensor_arrival,14936821695,14936.821695,14937.341096,14936821695,0,0.5254379999987577,0,0,1,0,1,0.34901960784313724,0.0
