event,logical_time_ns,logical_time_ms,physical_time_ms,tag_time_ns,microstep,lag_ms,tardy_invocation_count,head_present,eye_present,head,eye
output_tick,7000000000,7000.0,7010.936171,7000000000,0,10.953856000000087,0,1,1,1,1
output_tick,7100000000,7100.0,7110.907029,7100000000,0,10.953510000000279,0,1,1,1,1
output_tick,7200000000,7200.0,7209.622921,7200000000,0,9.634884000000056,0,1,1,1,1
output_tick,7300000000,7300.0,7309.704074,7300000000,0,9.712129999999888,0,1,1,1,1
sensor_arrival,7400000000,7400.0,7473.312361,7400000000,0,73.32015700000011,0,1,1,0,1
output_tick,7400000000,7400.0,7473.672783,7400000000,0,73.67665300000044,0,1,1,0,1
output_tick,7500000000,7500.0,7506.126832,7500000000,0,6.152794999999969,0,1,1,0,1
output_tick,7600000000,7600.0,7608.733438,7600000000,0,8.742511000000377,0,1,1,0,1
output_tick,7700000000,7700.0,7709.729858,7700000000,0,9.741210000000137,0,1,1,0,1
output_tick,7800000000,7800.0,7802.830222,7800000000,0,2.837018000000171,0,1,1,0,1
sensor_arrival,7900000000,7900.0,7966.93441,7900000000,0,66.94217000000026,0,1,1,0,1
output_tick,7900000000,7900.0,7967.173074,7900000000,0,67.17633399999977,0,1,1,0,1
output_tick,8000000000,8000.0,8005.112727,8000000000,0,5.122040999999626,0,1,1,0,1
output_tick,8100000000,8100.0,8105.608264,8100000000,0,5.622430999999779,0,1,1,0,1
output_tick,8200000000,8200.0,8205.486846,8200000000,0,5.499809000000823,0,1,1,0,1
output_tick,8300000000,8300.0,8304.917396,8300000000,0,4.927599000000555,0,1,1,0,1
sensor_arrival,8400000000,8400.0,8463.449241,8400000000,0,63.45535200000086,0,1,1,0,1
output_tick,8400000000,8400.0,8463.707164,8400000000,0,63.70972000000074,0,1,1,0,1
output_tick,8500000000,8500.0,8505.694603,8500000000,0,5.706732000000557,0,1,1,0,1
output_tick,8600000000,8600.0,8606.00218,8600000000,0,6.013994000000821,0,1,1,0,1
output_tick,8700000000,8700.0,8703.042628,8700000000,0,3.0517020000006596,0,1,1,0,1
output_tick,8800000000,8800.0,8804.817391,8800000000,0,4.827095000000554,0,1,1,0,1
sensor_arrival,8900000000,8900.0,8964.681406,8900000000,0,64.68783199999962,0,1,1,0,1
output_tick,8900000000,8900.0,8965.041569,8900000000,0,65.04521700000078,0,1,1,0,1
output_tick,9000000000,9000.0,9004.041079,9000000000,0,4.0511160000005475,0,1,1,0,1
output_tick,9100000000,9100.0,9104.44471,9100000000,0,4.452135999999882,0,1,1,0,1
output_tick,9200000000,9200.0,9205.786145,9200000000,0,5.797182000000248,0,1,1,0,1
output_tick,9300000000,9300.0,9307.751999,9300000000,0,7.763017999999647,0,1,1,0,1
sensor_arrival,9400000000,9400.0,9458.665507,9400000000,0,58.67271099999925,0,1,1,0,1
output_tick,9400000000,9400.0,9458.949096,9400000000,0,58.95261500000015,0,1,1,0,1
output_tick,9500000000,9500.0,9503.683077,9500000000,0,3.690984999999273,0,1,1,0,1
output_tick,9600000000,9600.0,9605.810763,9600000000,0,5.827280999999857,0,1,1,0,1
output_tick,9700000000,9700.0,9709.611076,9700000000,0,9.61881700000049,0,1,1,0,1
output_tick,9800000000,9800.0,9802.666367,9800000000,0,2.674311000000671,0,1,1,0,1
sensor_arrival,9900000000,9900.0,9963.284355,9900000000,0,63.2904469999994,0,1,1,0,1
output_tick,9900000000,9900.0,9963.609962,9900000000,0,63.612795999999435,0,1,1,0,1
output_tick,10000000000,10000.0,10005.306497,10000000000,0,5.316403999999238,0,1,1,0,1
output_tick,10100000000,10100.0,10107.887066,10100000000,0,7.897102999999333,0,1,1,0,1
output_tick,10200000000,10200.0,10204.827478,10200000000,0,4.837830000000395,0,1,1,0,1
output_tick,10300000000,10300.0,10305.045019,10300000000,0,5.054796000000351,0,1,1,0,1
sensor_arrival,10400000000,10400.0,10462.535747,10400000000,0,62.5417839999991,0,1,1,0,1
output_tick,10400000000,10400.0,10462.817058,10400000000,0,62.81989099999919,0,1,1,0,1
output_tick,10500000000,10500.0,10505.453045,10500000000,0,5.465507999999318,0,1,1,0,1
output_tick,10600000000,10600.0,10605.569198,10600000000,0,5.579920000000129,0,1,1,0,1
output_tick,10700000000,10700.0,10705.168616,10700000000,0,5.177708999999595,0,1,1,0,1
