event,logical_time_ns,logical_time_ms,physical_time_ms,tag_time_ns,microstep,lag_ms,tardy_invocation_count,mode,from_mode,to_mode,reason,control_token,instruction,distance_to_target_m,velocity_kmh,environment_states_json,act_command,lane_command,act_set
mode_transition,8200000000,8200.0,8605.441424,8200000000,2,405.44142400000055,1,MONITORING,MONITORING,WARNING,tardy WARNING,WARNING,Reduce speed.,0.0,0.0,null,,,0
mode_transition,9800000000,9800.0,10127.353894,9800000000,0,327.35389399999985,2,WARNING,WARNING,MONITORING,NONE,NONE,,0.0,0.0,null,,,0
mode_transition,10200000000,10200.0,10527.149081,10200000000,0,327.14908099999957,2,MONITORING,MONITORING,WARNING,WARNING,WARNING,Reduce speed.,0.0,0.0,null,,,0
mode_transition,11000000000,11000.0,11277.555568,11000000000,0,277.55556799999977,2,WARNING,WARNING,MONITORING,NONE,NONE,,0.0,0.0,null,,,0
mode_transition,14200000000,14200.0,14510.803535,14200000000,0,310.8035349999991,2,MONITORING,MONITORING,WARNING,WARNING,WARNING,Increase speed.,0.0,0.0,null,,,0
mode_transition,14600000000,14600.0,15025.733097,14600000000,2,425.73309700000027,3,WARNING,WARNING,MONITORING,tardy NONE,NONE,,0.0,0.0,null,,,0
mode_transition,17800000000,17800.0,18073.832227,17800000000,0,273.83222699999897,4,MONITORING,MONITORING,WARNING,WARNING,WARNING,Increase speed.,0.0,0.0,null,,,0
mode_transition,18200000000,18200.0,18470.239724,18200000000,0,270.2397239999991,4,WARNING,WARNING,MONITORING,NONE,NONE,,0.0,0.0,null,,,0
mode_transition,19400000000,19400.0,19707.974526,19400000000,0,307.9745260000018,4,MONITORING,MONITORING,WARNING,WARNING,WARNING,Reduce speed.,0.0,0.0,null,,,0
mode_transition,19800000000,19800.0,20108.544858,19800000000,0,308.5448580000011,4,WARNING,WARNING,MONITORING,NONE,NONE,,0.0,0.0,null,,,0
mode_transition,20600000000,20600.0,20867.424651,20600000000,0,267.4246510000012,4,MONITORING,MONITORING,WARNING,WARNING,WARNING,Increase speed.,0.0,0.0,null,,,0
mode_transition,21000000000,21000.0,21273.692422,21000000000,0,273.6924220000001,4,WARNING,WARNING,MONITORING,NONE,NONE,,0.0,0.0,null,,,0
mode_transition,23000000000,23000.0,23272.158821,23000000000,0,272.1588210000009,4,MONITORING,MONITORING,WARNING,WARNING,WARNING,Reduce speed.,0.0,0.0,null,,,0
mode_transition,23400000000,23400.0,23709.693368,23400000000,0,309.6933680000002,4,WARNING,WARNING,MONITORING,NONE,NONE,,0.0,0.0,null,,,0
mode_transition,24600000000,24600.0,24867.813578,24600000000,0,267.81357800000114,4,MONITORING,MONITORING,WARNING,WARNING,WARNING,Reduce speed.,0.0,0.0,null,,,0
mode_transition,25000000000,25000.0,25300.38309,25000000000,0,300.38308999999936,4,WARNING,WARNING,MONITORING,NONE,NONE,,0.0,0.0,null,,,0
mode_transition,25800000000,25800.0,26069.063955,25800000000,0,269.06395500000144,4,MONITORING,MONITORING,WARNING,WARNING,WARNING,Reduce speed.,0.0,0.0,null,,,0
mode_transition,26200000000,26200.0,26475.814934,26200000000,0,275.8149340000018,4,WARNING,WARNING,MONITORING,NONE,NONE,,0.0,0.0,null,,,0
mode_transition,27000000000,27000.0,27275.904797,27000000000,0,275.90479699999923,4,MONITORING,MONITORING,WARNING,WARNING,WARNING,Reduce speed.,0.0,0.0,null,,,0
mode_transition,27400000000,27400.0,27692.796079,27400000000,0,292.79607899999974,4,WARNING,WARNING,MONITORING,NONE,NONE,,0.0,0.0,null,,,0
mode_transition,33000000000,33000.0,33275.501326,33000000000,0,275.5013259999978,4,MONITORING,MONITORING,WARNING,WARNING,WARNING,Increase speed.,0.0,0.0,null,,,0
mode_transition,33400000000,33400.0,33728.898838,33400000000,0,328.898838000001,4,WARNING,WARNING,MONITORING,NONE,NONE,,0.0,0.0,null,,,0
mode_transition,33800000000,33800.0,34079.200656,33800000000,0,279.2006560000009,4,MONITORING,MONITORING,WARNING,WARNING,WARNING,Increase speed.,0.0,0.0,null,,,0
