event,logical_time_ns,logical_time_ms,physical_time_ms,lag_ms,control,instruction,inference_ms
llm_inference,7000000000,7000.0,7307.709135,307.70913500000006,NONE,,273.2202052138746
llm_inference,7400000000,7400.0,7738.159662,338.159662,NONE,,235.49353377893567
llm_inference,7800000000,7800.0,8068.272701,268.27270099999987,WARNING,Reduce speed.,233.9183702133596
llm_inference,8200000000,8200.0,8484.276027,284.2760269999999,WARNING,Reduce speed.,252.01901327818632
llm_inference,8600000000,8600.0,8872.119439,272.11943900000006,WARNING,Reduce speed.,240.12622004374862
llm_inference,9000000000,9000.0,9257.030002,257.0300019999995,NONE,,225.0016857869923
llm_inference,9400000000,9400.0,9731.18927,331.18927000000076,WARNING,Reduce speed.,230.83719238638878
llm_inference,9800000000,9800.0,10073.397559,273.3975589999991,NONE,,241.08580593019724
llm_inference,10200000000,10200.0,10462.020955,262.02095499999996,NONE,,230.39302369579673
llm_inference,10600000000,10600.0,10855.679122,255.67912199999955,WARNING,Reduce speed.,223.8563527353108
llm_inference,11000000000,11000.0,11273.432495,273.4324949999991,WARNING,Reduce speed.,240.74143962934613
llm_inference,11400000000,11400.0,11746.712411,346.71241100000043,NONE,,242.21893399953842
llm_inference,11800000000,11800.0,12065.544086,265.5440859999999,WARNING,Reduce speed.,232.7930647879839
llm_inference,12200000000,12200.0,12464.066136,264.06613599999946,NONE,,232.02529409900308
llm_inference,12600000000,12600.0,12865.33196,265.3319599999995,NONE,,233.13863296061754
llm_inference,13000000000,13000.0,13262.620575,262.6205750000008,NONE,,230.4999977350235
llm_inference,13400000000,13400.0,13732.006189,332.0061889999997,NONE,,227.95500792562962
llm_inference,13800000000,13800.0,14065.289631,265.28963099999964,NONE,,233.3219121210277
llm_inference,14200000000,14200.0,14462.870948,262.87094799999977,WARNING,Increase speed.,230.3414181806147
llm_inference,14600000000,14600.0,14916.509057,316.5090569999993,WARNING,Increase speed.,282.72514790296555
llm_inference,15000000000,15000.0,15274.15516,274.15516000000025,WARNING,Increase speed.,241.29972094669938
llm_inference,15400000000,15400.0,15741.379023,341.3790229999995,WARNING,Increase speed.,239.7691011428833
llm_inference,15800000000,15800.0,16072.166345,272.16634499999964,NONE,,238.11267083510756
llm_inference,16200000000,16200.0,16474.529364,274.5293640000018,NONE,,239.68634521588683
llm_inference,16600000000,16600.0,16864.729483,264.72948299999916,NONE,,231.51528323069215
llm_inference,17000000000,17000.0,17275.262833,275.2628330000007,NONE,,241.20650859549642
llm_inference,17400000000,17400.0,17734.966387,334.9663870000004,NONE,,229.96862698346376
llm_inference,17800000000,17800.0,18066.638151,266.6381509999992,WARNING,Increase speed.,232.75952599942684
llm_inference,18200000000,18200.0,18463.277524,263.277524000001,WARNING,Increase speed.,228.95497269928455
llm_inference,18600000000,18600.0,18864.323638,264.32363800000167,WARNING,Increase speed.,230.19567364826798
llm_inference,19000000000,19000.0,19267.69694,267.69694000000163,NONE,,234.23535283654928
llm_inference,19400000000,19400.0,19735.392627,335.3926270000011,NONE,,235.03463808447123
llm_inference,19800000000,19800.0,20070.3729,270.3728999999985,NONE,,236.49587808176875
llm_inference,20200000000,20200.0,20467.288752,267.2887520000004,NONE,,233.29825000837445
llm_inference,20600000000,20600.0,20866.59818,266.59818000000087,NONE,,233.66028117015958
llm_inference,21000000000,21000.0,21273.568655,273.5686549999991,NONE,,239.1148409806192
llm_inference,21400000000,21400.0,21746.811205,346.8112050000018,NONE,,242.01371101662517
llm_inference,21800000000,21800.0,22074.578426,274.57842600000004,NONE,,240.66727329045534
llm_inference,22200000000,22200.0,22467.288786,267.288786000001,NONE,,234.12360902875662
llm_inference,22600000000,22600.0,22873.491323,273.4913229999984,NONE,,239.06512092798948
llm_inference,23000000000,23000.0,23268.310771,268.3107710000004,NONE,,234.10571971908212
llm_inference,23400000000,23400.0,23738.711594,338.71159400000033,NONE,,235.0841462612152
llm_inference,23800000000,23800.0,24077.684658,277.6846579999983,NONE,,243.09878377243876
llm_inference,24200000000,24200.0,24476.425547,276.4255469999989,NONE,,242.06950794905424
llm_inference,24600000000,24600.0,24879.210326,279.21032600000035,NONE,,246.75860907882452
llm_inference,25000000000,25000.0,25279.159724,279.159724000001,WARNING,Increase speed.,245.81443378701806
llm_inference,25400000000,25400.0,25789.151889,389.15188900000066,NONE,,288.67326211184263
llm_inference,25800000000,25800.0,26082.057787,282.05778700000155,NONE,,240.51474872976542
llm_inference,26200000000,26200.0,26473.421117,273.4211170000017,NONE,,239.07990334555507
llm_inference,26600000000,26600.0,26883.57289,283.57288999999946,NONE,,250.1502949744463
llm_inference,27000000000,27000.0,27289.660203,289.66020299999946,WARNING,Increase speed.,255.7261362671852
llm_inference,27400000000,27400.0,27770.890502,370.8905019999984,WARNING,Increase speed.,272.5691650994122
llm_inference,27800000000,27800.0,28102.883195,302.8831949999985,NONE,,268.5710331425071
llm_inference,28200000000,28200.0,28486.242672,286.2426720000003,WARNING,Increase speed.,252.28160992264748
llm_inference,28600000000,28600.0,28875.289102,275.2891019999988,WARNING,Increase speed.,241.55033193528652
llm_inference,29000000000,29000.0,29267.115321,267.11532100000113,WARNING,Increase speed.,234.16214622557163
llm_inference,29400000000,29400.0,29742.279639,342.2796390000003,WARNING,Increase speed.,243.56024526059628
llm_inference,29800000000,29800.0,30085.860372,285.8603719999992,NONE,,251.3636164367199
llm_inference,30200000000,30200.0,30481.062811,281.0628109999998,NONE,,249.22088580206037
llm_inference,30600000000,30600.0,30880.099536,280.09953600000154,NONE,,246.3006917387247
llm_inference,31000000000,31000.0,31277.257541,277.25754099999904,NONE,,243.34441497921944
llm_inference,31400000000,31400.0,31762.07003,362.07002999999895,NONE,,257.8054079785943
llm_inference,31800000000,31800.0,32075.772482,275.7724820000003,NONE,,242.02252505347133
llm_inference,32200000000,32200.0,32482.426086,282.4260859999995,NONE,,248.86091100052
llm_inference,32600000000,32600.0,32884.867159,284.86715900000127,NONE,,250.69845095276833
llm_inference,33000000000,33000.0,33269.488555,269.48855500000354,NONE,,233.5678180679679
llm_inference,33400000000,33400.0,33749.770276,349.7702760000029,NONE,,246.30752485245466
llm_inference,33800000000,33800.0,34091.243657,291.2436569999991,NONE,,258.0036004073918
llm_inference,34200000000,34200.0,34485.679845,285.67984499999875,NONE,,252.08763405680656
llm_inference,34600000000,34600.0,34883.936714,283.9367140000031,WARNING,Increase speed.,249.31484926491976
llm_inference,35000000000,35000.0,35344.041549,344.0415490000014,WARNING,Prepare to change right for the exit.,310.36830926313996
llm_inference,35400000000,35400.0,35741.58739,341.5873900000006,WARNING,Increase speed.,241.29346618428826
llm_inference,35800000000,35800.0,36071.959895,271.95989499999996,WARNING,Increase speed.,237.3937857337296
llm_inference,36200000000,36200.0,36468.64455,268.64454999999725,WARNING,Increase speed.,235.70651980116963
llm_inference,36600000000,36600.0,36871.100867,271.100867000001,WARNING,Increase speed.,237.80235275626183
llm_inference,37000000000,37000.0,37266.952265,266.9522649999999,WARNING,Increase speed.,233.15868666395545
llm_inference,37400000000,37400.0,37734.173976,334.1739759999982,WARNING,Increase speed.,231.3921949826181
llm_inference,37800000000,37800.0,38066.8648,266.864800000003,WARNING,Increase speed.,234.05214957892895
llm_inference,38200000000,38200.0,38466.304847,266.3048469999994,WARNING,Increase speed.,233.14041970297694
llm_inference,38600000000,38600.0,38885.942556,285.9425560000018,WARNING,Increase speed.,251.77827198058367
llm_inference,39000000000,39000.0,39274.87971,274.87971000000107,WARNING,Increase speed.,242.48143518343568
llm_inference,39400000000,39400.0,39778.032595,378.03259499999695,WARNING,Increase speed.,274.8120641335845
llm_inference,39800000000,39800.0,40084.403751,284.403750999998,WARNING,Increase speed.,253.31364385783672
llm_inference,40200000000,40200.0,40514.005574,314.0055740000025,WARNING,Increase speed.,280.33651877194643
llm_inference,40600000000,40600.0,40871.052625,271.0526249999966,WARNING,Increase speed.,237.27215314283967
llm_inference,41000000000,41000.0,41298.720128,298.72012800000084,WARNING,Increase speed.,264.3911996856332
llm_inference,41400000000,41400.0,41756.34655,356.346550000002,NONE,,252.1476661786437
llm_inference,41800000000,41800.0,42090.67802,290.6780199999994,NONE,,256.84535410255194
llm_inference,42200000000,42200.0,42473.455664,273.455664000001,WARNING,Increase speed.,239.00259332731366
llm_inference,42600000000,42600.0,42877.059114,277.0591140000033,WARNING,Increase speed.,242.25967982783914
llm_inference,43000000000,43000.0,43261.86102,261.86101999999664,WARNING,Increase speed.,227.69868932664394
llm_inference,43400000000,43400.0,43749.866476,349.8664760000029,NONE,,246.33158929646015
llm_inference,43800000000,43800.0,44082.88178,282.88178000000335,WARNING,Increase speed.,249.8311991803348
llm_inference,44200000000,44200.0,44477.880863,277.8808629999985,WARNING,Increase speed.,244.02918992564082
llm_inference,44600000000,44600.0,44869.281805,269.2818049999987,WARNING,Increase speed.,236.0103391110897
llm_inference,45000000000,45000.0,45267.664489,267.6644890000025,NONE,,233.72797295451164
llm_inference,45400000000,45400.0,45735.60618,335.6061800000025,WARNING,Increase speed.,238.37422113865614
llm_inference,45800000000,45800.0,46090.341461,290.3414610000036,WARNING,Increase speed.,257.9493769444525
llm_inference,46200000000,46200.0,46469.546621,269.5466210000013,WARNING,Increase speed.,235.9629450365901
llm_inference,46600000000,46600.0,46873.097169,273.0971690000006,WARNING,Increase speed.,239.0666869468987
llm_inference,47000000000,47000.0,47285.274525,285.2745250000007,WARNING,Increase speed.,251.3482179492712
llm_inference,47400000000,47400.0,47739.15851,339.1585100000011,WARNING,Increase speed.,242.215383797884
llm_inference,47800000000,47800.0,48072.268957,272.2689570000002,NONE,,238.4911561384797
llm_inference,48200000000,48200.0,48469.269962,269.2699619999985,WARNING,Increase speed.,235.35354621708393
llm_inference,48600000000,48600.0,48893.965775,293.96577499999694,NONE,,260.34990092739463
llm_inference,49000000000,49000.0,49288.11242,288.11241999999766,NONE,,255.62288193032146
llm_inference,49400000000,49400.0,49774.673578,374.6735780000017,NONE,,267.74375420063734
llm_inference,49800000000,49800.0,50089.589171,289.5891709999996,NONE,,255.57809323072433
llm_inference,50200000000,50200.0,50476.430445,276.43044499999814,WARNING,Reduce speed.,242.08712857216597
llm_inference,50600000000,50600.0,50873.772796,273.77279599999747,WARNING,Reduce speed.,240.9119219519198
