logical_time_ns,logical_time_ms,physical_time_ms,tag_time_ns,microstep,lag_ms,tardy_invocation_count,distance_from_start_m,velocity_kmh,road_phase,environment_distance,front_car_present,right_car_present,right_car_position,cross_left_car_present,cross_right_car_present,other_car_present,environment_states_json
7000000000,7000.0,7020.230331,7000000000,0,20.235359000000244,0,0.0,0.0,HIGHWAY,4000.0,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
7100000000,7100.0,7120.190775,7100000000,0,20.19803800000045,0,6.779234911056266,90.98208,HIGHWAY,3993.2207650889436,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
7200000000,7200.0,7220.139485,7200000000,0,20.142557999999553,0,16.080778287616855,91.9542856177152,HIGHWAY,3983.919221712383,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
7300000000,7300.0,7320.150775,7300000000,0,20.155523999999787,0,25.378057751275357,92.91661058196718,HIGHWAY,3974.6219422487247,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
7400000000,7400.0,7420.171004,7400000000,0,20.175473999999667,0,34.67534797807787,93.86905188629824,HIGHWAY,3965.3246520219222,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
7500000000,7500.0,7520.127816,7500000000,0,20.13144800000009,0,43.972638281006006,94.8116097250742,HIGHWAY,3956.027361718994,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
7600000000,7600.0,7620.127372,7600000000,0,20.13044499999978,0,53.26992858411984,95.744287428482,HIGHWAY,3946.73007141588,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
7700000000,7700.0,7720.134471,7700000000,0,20.139500000000226,0,62.56721888723394,96.66709139652711,HIGHWAY,3937.432781112766,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
7800000000,7800.0,7820.155259,7800000000,0,20.158331999999973,0,71.86450919034804,97.58003103213464,HIGHWAY,3928.135490809652,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
7900000000,7900.0,7920.17493,7900000000,0,20.178562000000056,0,81.16179949346215,98.48311867345507,HIGHWAY,3918.8382005065378,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
8000000000,8000.0,8020.134815,8000000000,0,20.137329000000136,0,90.45908979657625,99.37636952547453,HIGHWAY,3909.5409102034237,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
8100000000,8100.0,8120.140797,8100000000,0,20.144427999999607,0,99.75638009969036,100.25980159102654,HIGHWAY,3900.2436199003096,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
8200000000,8200.0,8220.149292,8200000000,0,20.15180700000019,0,109.05367040280444,101.13343560130032,HIGHWAY,3890.9463295971955,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
8300000000,8300.0,8320.137953,8300000000,0,20.141584999999395,0,118.35096070591855,101.99729494593795,HIGHWAY,3881.6490392940814,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
8400000000,8400.0,8420.207072,8400000000,0,20.210424000000785,0,127.64825100903265,102.8514056028108,HIGHWAY,3872.3517489909673,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
