event,logical_time_ns,logical_time_ms,physical_time_ms,tag_time_ns,microstep,lag_ms,tardy_invocation_count,displacement_present,velocity_present,car_steer_present,head_present,eye_present,environment_states_present,environment_distance,car_velocity,car_steer,head,eye,head_history_json,eye_history_json,environment_states_json
input_arrival,7000000000,7000.0,7120.716856,7000000000,0,120.72535599999992,0,1,0,0,0,0,1,4000.0,0.0,2,5,5,[],[],"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
llm_output_tick,7000000000,7000.0,7121.054996,7000000000,0,121.07510999999977,0,1,1,1,1,1,1,4000.0,0.0,2,5,5,[],[],"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
input_arrival_tardy,7000000000,7000.0,7231.446459,7000000000,1,231.44645899999978,1,0,1,1,0,1,0,4000.0,0.0,2,5,5,[],[],"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
input_arrival_tardy,7000000000,7000.0,7232.024188,7000000000,2,232.02418800000032,2,0,1,1,0,0,0,4000.0,0.0,2,5,5,[],[],"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
input_arrival,7100000000,7100.0,7232.625353,7100000000,0,132.6342599999998,2,1,0,0,0,0,1,4000.0,0.0,2,5,5,[],[],"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
input_arrival_tardy,7100000000,7100.0,7233.185325,7100000000,1,133.18532500000038,3,0,1,1,0,0,0,4000.0,0.0,2,5,5,[],[],"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
input_arrival_tardy,7100000000,7100.0,7236.320915,7100000000,2,136.32091500000024,4,0,0,0,1,0,0,4000.0,0.0,2,5,5,[],[],"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
input_arrival_tardy,7100000000,7100.0,7319.302347,7100000000,3,219.30234699999983,5,0,1,0,0,0,0,4000.0,0.0,2,5,5,[],[],"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
input_arrival_tardy,7100000000,7100.0,7319.767519,7100000000,4,219.767519,6,0,0,1,0,0,0,4000.0,0.0,2,5,5,[],[],"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
input_arrival,7200000000,7200.0,7320.162645,7200000000,0,120.16433599999982,6,1,0,0,0,0,1,3997.407141834386,0.0,2,5,5,[],[],"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
input_arrival_tardy,7200000000,7200.0,7323.272551,7200000000,1,123.27255100000002,7,0,1,0,0,0,0,3997.407141834386,0.0,2,5,5,[],[],"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
input_arrival_tardy,7200000000,7200.0,7323.396232,7200000000,2,123.39623200000005,8,0,0,1,0,0,0,3997.407141834386,0.0,2,5,5,[],[],"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
input_arrival_tardy,7200000000,7200.0,7337.68313,7200000000,3,137.68313000000035,9,0,0,0,1,1,0,3997.407141834386,0.0,2,5,5,[],[],"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
input_arrival,7300000000,7300.0,7420.616123,7300000000,0,120.62148499999967,9,1,0,0,0,0,1,3988.196085391961,0.0,2,5,5,[],[],"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
input_arrival_tardy,7300000000,7300.0,7426.379808,7300000000,1,126.37980799999968,10,0,1,1,0,0,0,3988.196085391961,0.0,2,5,5,[],[],"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
input_arrival_tardy,7300000000,7300.0,7432.579704,7300000000,2,132.57970399999977,11,0,0,0,0,1,0,3988.196085391961,0.0,2,5,5,[],[],"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
input_arrival_tardy,7300000000,7300.0,7432.900958,7300000000,3,132.90095800000017,12,0,0,0,1,0,0,3988.196085391961,0.0,2,5,5,[],[],"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
input_arrival_tardy,7300000000,7300.0,7435.828865,7300000000,4,135.8288650000004,13,0,1,0,0,0,0,3988.196085391961,0.0,2,5,5,[],[],"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
input_arrival_tardy,7300000000,7300.0,7435.963087,7300000000,5,135.9630870000001,14,0,0,1,0,0,0,3988.196085391961,0.0,2,5,5,[],[],"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
input_arrival,7400000000,7400.0,7520.943855,7400000000,0,120.95081300000038,14,1,0,0,0,0,1,3978.898696920987,0.0,2,5,5,[],[],"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
llm_output_tick,7400000000,7400.0,7521.393522,7400000000,0,121.39703000000009,14,1,1,1,1,1,1,3978.898696920987,0.0,2,5,5,[],[],"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
input_arrival_tardy,7400000000,7400.0,7542.90735,7400000000,1,142.9073500000004,15,0,1,1,1,1,0,3978.898696920987,0.0,2,5,5,[],[],"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
input_arrival,7500000000,7500.0,7620.656407,7500000000,0,120.69088199999987,15,1,0,0,0,0,1,3969.6014055645464,0.0,2,5,5,[],[],"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
input_arrival_tardy,7500000000,7500.0,7628.330243,7500000000,1,128.33024300000034,16,0,1,1,0,0,0,3969.6014055645464,0.0,2,5,5,[],[],"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
input_arrival_tardy,7500000000,7500.0,7654.150984,7500000000,2,154.15098399999988,17,0,0,0,0,1,0,3969.6014055645464,0.0,2,5,5,[],[],"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
