federate,reactor,reaction,logical_time_ns,logical_time_ms,tag_time_ns,microstep,lag_ms,tardy_invocation_count,start_physical_time_ms,stop_physical_time_ms,execution_time_ms
llm,AgenticCoach,llm_inference,7000000000,7000.0,7000000000,0,122.24345300000004,0,7122.243453,7394.162891,271.9194379999999
llm,AgenticCoach,tardy,7000000000,7000.0,7000000000,1,394.9809729999997,1,7394.980973,7395.012538,0.03156500000022788
llm,AgenticCoach,llm_inference,7400000000,7400.0,7400000000,0,123.26138199999968,1,7523.261382,7775.774045,252.51266300000043
llm,AgenticCoach,tardy,7400000000,7400.0,7400000000,1,376.27844900000036,2,7776.278449,7776.443819,0.16536999999971158
llm,AgenticCoach,llm_inference,7800000000,7800.0,7800000000,0,123.6516330000004,2,7923.651633,8189.77505,266.1234169999998
llm,AgenticCoach,tardy,7800000000,7800.0,7800000000,1,390.5112829999998,3,8190.511283,8190.617988,0.10670500000014727
llm,AgenticCoach,llm_inference,8200000000,8200.0,8200000000,0,123.09261300000071,3,8323.092613,8617.060406,293.9677929999998
llm,AgenticCoach,tardy,8200000000,8200.0,8200000000,1,418.2775390000006,4,8618.277539,8618.309341,0.03180199999951583
llm,AgenticCoach,llm_inference,8600000000,8600.0,8600000000,0,156.98313100000087,4,8756.983131,9007.957657,250.97452599999997
llm,AgenticCoach,tardy,8600000000,8600.0,8600000000,1,408.62649899999997,5,9008.626499,9008.731999,0.1054999999996653
llm,AgenticCoach,llm_inference,9000000000,9000.0,9000000000,0,122.64172700000017,5,9122.641727,9388.448237,265.80651000000034
llm,AgenticCoach,tardy,9000000000,9000.0,9000000000,1,389.65600599999925,6,9389.656006,9389.791926,0.135920000000624
llm,AgenticCoach,llm_inference,9400000000,9400.0,9400000000,0,127.7531710000003,6,9527.753171,9788.881857,261.128686
llm,AgenticCoach,tardy,9400000000,9400.0,9400000000,1,389.79476500000055,7,9789.794765,9789.929719,0.13495399999919755
llm,AgenticCoach,llm_inference,9800000000,9800.0,9800000000,0,121.78636499999993,7,9921.786365,10176.193866,254.40750099999968
llm,AgenticCoach,tardy,9800000000,9800.0,9800000000,1,376.80438200000026,8,10176.804382,10176.903104,0.09872200000063458
llm,AgenticCoach,llm_inference,10200000000,10200.0,10200000000,0,121.36016000000018,8,10321.36016,10559.473859,238.11369899999954
llm,AgenticCoach,tardy,10200000000,10200.0,10200000000,1,360.1245259999996,9,10560.124526,10560.203626,0.07910000000083528
llm,AgenticCoach,llm_inference,10600000000,10600.0,10600000000,0,122.57871800000066,9,10722.578718,10998.17997,275.60125199999857
llm,AgenticCoach,tardy,10600000000,10600.0,10600000000,1,399.4174440000006,10,10999.417444,10999.541579,0.12413500000002387
llm,AgenticCoach,llm_inference,11000000000,11000.0,11000000000,0,122.34219800000028,10,11122.342198,11372.573017,250.23081900000034
llm,AgenticCoach,tardy,11000000000,11000.0,11000000000,1,372.95458599999984,11,11372.954586,11373.010335,0.05574900000101479
llm,AgenticCoach,llm_inference,11400000000,11400.0,11400000000,0,127.09304899999916,11,11527.093049,11781.825663,254.73261400000047
llm,AgenticCoach,tardy,11400000000,11400.0,11400000000,1,382.2886460000009,12,11782.288646,11782.465608,0.17696199999954842
llm,AgenticCoach,llm_inference,11800000000,11800.0,11800000000,0,128.95247200000085,12,11928.952472,12168.539259,239.58678699999837
llm,AgenticCoach,tardy,11800000000,11800.0,11800000000,1,369.23845699999947,13,12169.238457,12169.351009,0.11255200000050536
llm,AgenticCoach,llm_inference,12200000000,12200.0,12200000000,0,122.15821800000049,13,12322.158218,12557.342808,235.18458999999893
llm,AgenticCoach,tardy,12200000000,12200.0,12200000000,1,357.8615069999996,14,12557.861507,12557.926359,0.06485199999951874
llm,AgenticCoach,llm_inference,12600000000,12600.0,12600000000,0,122.92909599999984,14,12722.929096,12951.942125,229.01302899999973
llm,AgenticCoach,tardy,12600000000,12600.0,12600000000,1,352.64354900000035,15,12952.643549,12952.745261,0.10171199999967939
llm,AgenticCoach,llm_inference,13000000000,13000.0,13000000000,0,122.85592899999938,15,13122.855929,13346.312933,223.45700399999987
llm,AgenticCoach,tardy,13000000000,13000.0,13000000000,1,347.74709000000075,16,13347.74709,13347.886039,0.13894900000013877
llm,AgenticCoach,llm_inference,13400000000,13400.0,13400000000,0,122.2763329999998,16,13522.276333,13756.182522,233.90618899999936
llm,AgenticCoach,tardy,13400000000,13400.0,13400000000,1,357.00754400000005,17,13757.007544,13757.121075,0.1135309999990568
llm,AgenticCoach,llm_inference,13800000000,13800.0,13800000000,0,144.46336599999995,17,13944.463366,14174.92831,230.46494399999938
llm,AgenticCoach,tardy,13800000000,13800.0,13800000000,1,375.6850740000009,18,14175.685074,14175.773803,0.08872899999914807
llm,AgenticCoach,llm_inference,14200000000,14200.0,14200000000,0,122.0558259999998,18,14322.055826,14557.94171,235.88588399999935
llm,AgenticCoach,tardy,14200000000,14200.0,14200000000,1,358.87395800000013,19,14558.873958,14558.950632,0.07667399999991176
llm,AgenticCoach,llm_inference,14600000000,14600.0,14600000000,0,122.16744400000061,19,14722.167444,14949.596784,227.42933999999877
llm,AgenticCoach,tardy,14600000000,14600.0,14600000000,1,350.1936999999998,20,14950.1937,14950.210237,0.01653699999951641
llm,AgenticCoach,llm_inference,15000000000,15000.0,15000000000,0,122.28640500000074,20,15122.286405,15373.709778,251.42337299999963
llm,AgenticCoach,tardy,15000000000,15000.0,15000000000,1,374.5054369999998,21,15374.505437,15374.558218,0.05278100000032282
llm,AgenticCoach,llm_inference,15400000000,15400.0,15400000000,0,122.1143379999994,21,15522.114338,15794.435899,272.32156100000066
llm,AgenticCoach,tardy,15400000000,15400.0,15400000000,1,395.61406200000056,22,15795.614062,15795.643036,0.028973999998925137
llm,AgenticCoach,llm_inference,15800000000,15800.0,15800000000,0,121.63254199999938,22,15921.632542,16146.764156,225.1316139999999
llm,AgenticCoach,tardy,15800000000,15800.0,15800000000,1,347.6502099999998,23,16147.65021,16147.719436,0.06922599999961676
llm,AgenticCoach,llm_inference,16200000000,16200.0,16200000000,0,141.20240999999987,23,16341.20241,16604.499113,263.2967030000018
llm,AgenticCoach,tardy,16200000000,16200.0,16200000000,1,405.00148400000035,24,16605.001484,16605.031282,0.02979799999957322
llm,AgenticCoach,llm_inference,16600000000,16600.0,16600000000,0,143.18784400000004,24,16743.187844,17019.774408,276.5865640000011
llm,AgenticCoach,tardy,16600000000,16600.0,16600000000,1,420.95448000000033,25,17020.95448,17021.065707,0.11122700000123587
llm,AgenticCoach,llm_inference,17000000000,17000.0,17000000000,0,121.88632700000016,25,17121.886327,17402.853934,280.9676069999987
llm,AgenticCoach,tardy,17000000000,17000.0,17000000000,1,404.1871519999986,26,17404.187152,17404.259419,0.07226700000319397
llm,AgenticCoach,llm_inference,17400000000,17400.0,17400000000,0,122.53177000000142,26,17522.53177,17813.736185,291.20441500000015
llm,AgenticCoach,tardy,17400000000,17400.0,17400000000,1,414.5757640000011,27,17814.575764,17814.688926,0.11316199999782839
llm,AgenticCoach,llm_inference,17800000000,17800.0,17800000000,0,122.08943200000067,27,17922.089432,18185.777821,263.688388999999
llm,AgenticCoach,tardy,17800000000,17800.0,17800000000,1,386.65850000000137,28,18186.6585,18186.687962,0.02946199999860255
llm,AgenticCoach,llm_inference,18200000000,18200.0,18200000000,0,122.46919200000048,28,18322.469192,18569.631391,247.1621989999985
llm,AgenticCoach,tardy,18200000000,18200.0,18200000000,1,370.49914699999863,29,18570.499147,18570.561659,0.06251200000042445
llm,AgenticCoach,llm_inference,18600000000,18600.0,18600000000,0,122.10635900000125,29,18722.106359,18968.801255,246.69489599999724
llm,AgenticCoach,tardy,18600000000,18600.0,18600000000,1,369.8364159999983,30,18969.836416,18969.917201,0.08078500000192435
llm,AgenticCoach,llm_inference,19000000000,19000.0,19000000000,0,122.21594499999992,30,19122.215945,19358.103662,235.88771700000143
llm,AgenticCoach,tardy,19000000000,19000.0,19000000000,1,359.40944500000114,31,19359.409445,19359.525016,0.11557099999845377
llm,AgenticCoach,llm_inference,19400000000,19400.0,19400000000,0,121.42374900000141,31,19521.423749,19770.45627,249.03252099999736
llm,AgenticCoach,tardy,19400000000,19400.0,19400000000,1,371.13441500000044,32,19771.134415,19771.200144,0.06572899999810033
llm,AgenticCoach,llm_inference,19800000000,19800.0,19800000000,0,122.17962299999999,32,19922.179623,20167.816679,245.63705599999957
llm,AgenticCoach,tardy,19800000000,19800.0,19800000000,1,368.72973400000046,33,20168.729734,20168.856781,0.12704699999812874
llm,AgenticCoach,llm_inference,20200000000,20200.0,20200000000,0,122.7935890000008,33,20322.793589,20584.572948,261.7793590000001
llm,AgenticCoach,tardy,20200000000,20200.0,20200000000,1,385.48073600000134,34,20585.480736,20585.593106,0.1123699999989185
llm,AgenticCoach,llm_inference,20600000000,20600.0,20600000000,0,135.1736290000008,34,20735.173629,21018.350361,283.1767319999999
llm,AgenticCoach,tardy,20600000000,20600.0,20600000000,1,419.1290540000009,35,21019.129054,21019.173087,0.04403299999830779
llm,AgenticCoach,llm_inference,21000000000,21000.0,21000000000,0,121.92734900000141,35,21121.927349,21371.06484,249.13749099999768
llm,AgenticCoach,tardy,21000000000,21000.0,21000000000,1,372.22769999999946,36,21372.2277,21372.27716,0.049460000002000015
llm,AgenticCoach,llm_inference,21400000000,21400.0,21400000000,0,122.25126499999897,36,21522.251265,21759.284644,237.03337900000042
llm,AgenticCoach,tardy,21400000000,21400.0,21400000000,1,359.5326849999983,37,21759.532685,21759.549904,0.01721900000120513
llm,AgenticCoach,llm_inference,21800000000,21800.0,21800000000,0,121.99876399999994,37,21921.998764,22138.290856,216.29209199999968
llm,AgenticCoach,tardy,21800000000,21800.0,21800000000,1,339.17367100000047,38,22139.173671,22139.299891,0.12621999999828404
llm,AgenticCoach,llm_inference,22200000000,22200.0,22200000000,0,121.43232599999828,38,22321.432326,22598.699537,277.26721100000213
llm,AgenticCoach,tardy,22200000000,22200.0,22200000000,1,399.6345540000002,39,22599.634554,22599.732008,0.09745399999883375
llm,AgenticCoach,llm_inference,22600000000,22600.0,22600000000,0,123.18475899999976,39,22723.184759,22965.143712,241.9589530000012
llm,AgenticCoach,tardy,22600000000,22600.0,22600000000,1,365.70268099999885,40,22965.702681,22965.787256,0.08457500000076834
llm,AgenticCoach,llm_inference,23000000000,23000.0,23000000000,0,122.36892499999885,40,23122.368925,23381.516999,259.14807400000063
llm,AgenticCoach,tardy,23000000000,23000.0,23000000000,1,382.0778610000016,41,23382.077861,23382.13578,0.057918999998946674
llm,AgenticCoach,llm_inference,23400000000,23400.0,23400000000,0,122.83559099999911,41,23522.835591,23785.55664,262.72104899999977
llm,AgenticCoach,tardy,23400000000,23400.0,23400000000,1,386.1088060000002,42,23786.108806,23786.15074,0.04193400000076508
llm,AgenticCoach,llm_inference,23800000000,23800.0,23800000000,0,121.91405300000042,42,23921.914053,24137.50206,215.58800699999847
llm,AgenticCoach,tardy,23800000000,23800.0,23800000000,1,338.2674540000007,43,24138.267454,24138.429424,0.1619700000010198
llm,AgenticCoach,llm_inference,24200000000,24200.0,24200000000,0,150.8716600000007,43,24350.87166,24592.808899,241.93723899999895
llm,AgenticCoach,tardy,24200000000,24200.0,24200000000,1,393.58682599999884,44,24593.586826,24593.617781,0.03095500000199536
llm,AgenticCoach,llm_inference,24600000000,24600.0,24600000000,0,131.64999800000078,44,24731.649998,24995.942021,264.29202299999815
llm,AgenticCoach,tardy,24600000000,24600.0,24600000000,1,396.5528750000012,45,24996.552875,24996.605466,0.052590999999665655
llm,AgenticCoach,llm_inference,25000000000,25000.0,25000000000,0,121.75526700000046,45,25121.755267,25358.530853,236.77558599999975
llm,AgenticCoach,tardy,25000000000,25000.0,25000000000,1,358.93199399999867,46,25358.931994,25358.950275,0.018281000000570202
llm,AgenticCoach,llm_inference,25400000000,25400.0,25400000000,0,121.5927300000003,46,25521.59273,25731.100662,209.50793200000044
llm,AgenticCoach,tardy,25400000000,25400.0,25400000000,1,331.94878400000016,47,25731.948784,25732.056672,0.1078879999986384
llm,AgenticCoach,llm_inference,25800000000,25800.0,25800000000,0,146.87080399999832,47,25946.870804,26199.387089,252.51628500000152
llm,AgenticCoach,tardy,25800000000,25800.0,25800000000,1,400.08794900000066,48,26200.087949,26200.210402,0.12245299999995041
llm,AgenticCoach,llm_inference,26200000000,26200.0,26200000000,0,125.57820400000128,48,26325.578204,26606.308398,280.73019399999976
llm,AgenticCoach,tardy,26200000000,26200.0,26200000000,1,406.9984489999988,49,26606.998449,26607.123527,0.12507800000093994
llm,AgenticCoach,llm_inference,26600000000,26600.0,26600000000,0,141.1209259999996,49,26741.120926,26983.567561,242.44663500000024
llm,AgenticCoach,tardy,26600000000,26600.0,26600000000,1,384.16985900000145,50,26984.169859,26984.287327,0.11746799999673385
llm,AgenticCoach,llm_inference,27000000000,27000.0,27000000000,0,122.7978609999991,50,27122.797861,27381.565995,258.76813400000174
llm,AgenticCoach,tardy,27000000000,27000.0,27000000000,1,383.0539400000016,51,27383.05394,27383.16249,0.10854999999719439
llm,AgenticCoach,llm_inference,27400000000,27400.0,27400000000,0,121.63829899999837,51,27521.638299,27766.573906,244.93560700000307
llm,AgenticCoach,tardy,27400000000,27400.0,27400000000,1,367.1931000000004,52,27767.1931,27767.304063,0.11096299999917392
llm,AgenticCoach,llm_inference,27800000000,27800.0,27800000000,0,129.40406200000143,52,27929.404062,28239.497937,310.09387499999866
llm,AgenticCoach,tardy,27800000000,27800.0,27800000000,1,440.0197499999995,53,28240.01975,28240.043681,0.02393099999972037
llm,AgenticCoach,llm_inference,28200000000,28200.0,28200000000,0,127.41316400000142,53,28327.413164,28571.730632,244.31746799999746
llm,AgenticCoach,tardy,28200000000,28200.0,28200000000,1,372.6184060000014,54,28572.618406,28572.703159,0.08475299999918207
llm,AgenticCoach,llm_inference,28600000000,28600.0,28600000000,0,121.22126999999819,54,28721.22127,29003.293705,282.07243500000186
llm,AgenticCoach,tardy,28600000000,28600.0,28600000000,1,403.9557339999992,55,29003.955734,29004.029723,0.07398900000043795
llm,AgenticCoach,llm_inference,29000000000,29000.0,29000000000,0,121.29669099999956,55,29121.296691,29402.128683,280.83199199999945
llm,AgenticCoach,tardy,29000000000,29000.0,29000000000,1,403.14420999999857,56,29403.14421,29403.256595,0.11238500000035856
llm,AgenticCoach,llm_inference,29400000000,29400.0,29400000000,0,140.9276659999996,56,29540.927666,29792.207353,251.279687000002
llm,AgenticCoach,tardy,29400000000,29400.0,29400000000,1,393.08685999999943,57,29793.08686,29793.135131,0.04827099999965867
llm,AgenticCoach,llm_inference,29800000000,29800.0,29800000000,0,121.91301300000123,57,29921.913013,30138.717548,216.8045349999993
llm,AgenticCoach,tardy,29800000000,29800.0,29800000000,1,339.49556799999846,58,30139.495568,30139.568066,0.0724980000013602
llm,AgenticCoach,llm_inference,30200000000,30200.0,30200000000,0,121.10398300000088,58,30321.103983,30583.133162,262.0291789999974
llm,AgenticCoach,tardy,30200000000,30200.0,30200000000,1,384.6001980000001,59,30584.600198,30584.67748,0.0772819999983767
llm,AgenticCoach,llm_inference,30600000000,30600.0,30600000000,0,121.89712199999849,59,30721.897122,30996.568431,274.6713090000012
llm,AgenticCoach,tardy,30600000000,30600.0,30600000000,1,397.52776900000026,60,30997.527769,30997.638158,0.11038900000130525
llm,AgenticCoach,llm_inference,31000000000,31000.0,31000000000,0,121.54091600000174,60,31121.540916,31379.545067,258.00415099999736
llm,AgenticCoach,tardy,31000000000,31000.0,31000000000,1,380.7639369999997,61,31380.763937,31380.874561,0.11062400000082562
llm,AgenticCoach,llm_inference,31400000000,31400.0,31400000000,0,133.57311299999856,61,31533.573113,31802.562567,268.9894540000023
llm,AgenticCoach,tardy,31400000000,31400.0,31400000000,1,403.4061550000006,62,31803.406155,31803.428821,0.02266600000075414
llm,AgenticCoach,llm_inference,31800000000,31800.0,31800000000,0,140.8769429999993,62,31940.876943,32230.948322,290.0713790000009
llm,AgenticCoach,tardy,31800000000,31800.0,31800000000,1,432.4743630000012,63,32232.474363,32232.60656,0.13219699999899603
llm,AgenticCoach,llm_inference,32200000000,32200.0,32200000000,0,140.81149799999912,63,32340.811498,32617.650678,276.83918000000267
llm,AgenticCoach,tardy,32200000000,32200.0,32200000000,1,418.3511389999985,64,32618.351139,32618.455482,0.10434300000270014
llm,AgenticCoach,llm_inference,32600000000,32600.0,32600000000,0,122.12370899999951,64,32722.123709,32980.196344,258.0726350000041
llm,AgenticCoach,tardy,32600000000,32600.0,32600000000,1,380.8039280000012,65,32980.803928,32980.887474,0.08354600000166101
llm,AgenticCoach,llm_inference,33000000000,33000.0,33000000000,0,121.8729319999984,65,33121.872932,33370.785885,248.9129529999991
llm,AgenticCoach,tardy,33000000000,33000.0,33000000000,1,371.813943000001,66,33371.813943,33371.861661,0.047718000001623295
llm,AgenticCoach,llm_inference,33400000000,33400.0,33400000000,0,148.02214899999672,66,33548.022149,33784.99038,236.9682310000062
llm,AgenticCoach,tardy,33400000000,33400.0,33400000000,1,385.44227300000057,67,33785.442273,33785.488655,0.0463820000004489
