logical_time_ns,logical_time_ms,physical_time_ms,tag_time_ns,microstep,lag_ms,tardy_invocation_count,distance_from_start_m,velocity_kmh,road_phase,environment_distance,front_car_present,right_car_present,right_car_position,cross_left_car_present,cross_right_car_present,other_car_present,environment_states_json
7000000000,7000.0,7050.200385,7000000000,0,50.204297000000224,0,0.0,0.0,HIGHWAY,4000.0,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
7100000000,7100.0,7150.191022,7100000000,0,50.195770999999695,0,0.0,0.0,HIGHWAY,4000.0,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
7200000000,7200.0,7250.154559,7200000000,0,50.157632000000376,0,2.592858165614083,88.63987414070577,HIGHWAY,3997.407141834386,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
7300000000,7300.0,7350.132065,7300000000,0,50.13597599999957,0,11.803914608039157,87.75539718785244,HIGHWAY,3988.196085391961,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
7400000000,7400.0,7450.138905,7400000000,0,50.14421299999958,0,21.101303079012972,86.88812775207349,HIGHWAY,3978.898696920987,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
7500000000,7500.0,7550.144627,7500000000,0,50.14770000000044,0,30.398594435453397,86.46078848850345,HIGHWAY,3969.6014055645464,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
7600000000,7600.0,7650.156775,7600000000,0,50.160407000000305,0,39.69588474157176,86.0375647137227,HIGHWAY,3960.3041152584283,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
7700000000,7700.0,7750.184009,7700000000,0,50.187920000000304,0,48.99317504468742,85.61839679473003,HIGHWAY,3951.0068249553124,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
7800000000,7800.0,7850.364338,7800000000,0,50.366573000000244,0,58.290465347801465,85.20322624641337,HIGHWAY,3941.7095346521987,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
7900000000,7900.0,7950.129522,7900000000,0,50.13231600000017,0,67.58775565091557,84.38464889650945,HIGHWAY,3932.4122443490846,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
8000000000,8000.0,8050.144184,8000000000,0,50.14809499999956,0,76.88504595402968,83.98113062043238,HIGHWAY,3923.1149540459705,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
8100000000,8100.0,8150.153259,8100000000,0,50.158008000000336,0,86.18233625714377,83.18536403679542,HIGHWAY,3913.8176637428564,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
8200000000,8200.0,8250.154511,8200000000,0,50.15702600000077,0,95.47962656025788,82.40427473861688,HIGHWAY,3904.520373439742,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
8300000000,8300.0,8350.141516,8300000000,0,50.1462649999994,0,104.77691686337198,81.63745705190102,HIGHWAY,3895.223083136628,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
8400000000,8400.0,8450.165956,8400000000,0,50.169308000000456,0,114.07420716648609,81.25927736335096,HIGHWAY,3885.9257928335137,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
8500000000,8500.0,8550.274766,8500000000,0,50.28426500000023,0,123.37149746960019,80.14508729337071,HIGHWAY,3876.6285025303996,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
8600000000,8600.0,8650.139406,8600000000,0,50.1427590000003,0,132.6687877727143,79.98967099745894,HIGHWAY,3867.3312122272855,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
8700000000,8700.0,8750.134233,8700000000,0,50.13842400000067,0,141.9660780758284,79.62628724933218,HIGHWAY,3858.0339219241714,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
8800000000,8800.0,8850.145264,8800000000,0,50.148057000000335,0,151.2633683789425,78.90914367574516,HIGHWAY,3848.7366316210573,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
8900000000,8900.0,8950.131151,8900000000,0,50.13450299999931,0,160.5606586820566,78.20454879352978,HIGHWAY,3839.439341317943,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
9000000000,9000.0,9050.132682,9000000000,0,50.13603499999954,0,169.8579489851707,78.0831719049996,HIGHWAY,3830.142051014829,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
9100000000,9100.0,9150.153211,9100000000,0,50.1565640000008,0,179.1552392882848,77.0522113828,HIGHWAY,3820.844760711715,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
9200000000,9200.0,9250.158654,9200000000,0,50.164521000000605,0,188.4525295913989,76.04756293714301,HIGHWAY,3811.547470408601,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
9300000000,9300.0,9350.148732,9300000000,0,50.15152599999965,0,197.74981989451302,75.71835227999419,HIGHWAY,3802.250180105487,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
9400000000,9400.0,9450.118695,9400000000,0,50.12120900000082,0,207.0471101976271,75.63937931680648,HIGHWAY,3792.9528898023727,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
9500000000,9500.0,9550.177497,9500000000,0,50.18420200000037,0,216.3444005007412,74.99056957678721,HIGHWAY,3783.6555994992586,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
9600000000,9600.0,9650.127346,9600000000,0,50.130418999999165,0,225.6416908038553,74.03750234221447,HIGHWAY,3774.3583091961445,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
9700000000,9700.0,9750.135024,9700000000,0,50.14144900000065,0,234.9389811069694,73.72505168926594,HIGHWAY,3765.0610188930305,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
9800000000,9800.0,9850.132365,9800000000,0,50.135996999999406,0,244.2362714100835,73.36958696001692,HIGHWAY,3755.7637285899164,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
9900000000,9900.0,9950.138087,9900000000,0,50.14199799999915,0,253.5335617131976,72.75812247700422,HIGHWAY,3746.4664382868023,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
10000000000,10000.0,10050.131517,10000000000,0,50.1343109999998,0,262.8308520163117,72.15652516476732,HIGHWAY,3737.169147983688,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
10100000000,10100.0,10150.161545,10100000000,0,50.16629400000056,0,272.1281423194258,71.859351602331,HIGHWAY,3727.871857680574,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
10200000000,10200.0,10250.127317,10200000000,0,50.12955200000033,0,281.4254326225399,71.84351014743969,HIGHWAY,3718.57456737746,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
10300000000,10300.0,10352.178591,10300000000,0,52.183898999999656,0,290.722722925654,71.54884070575605,HIGHWAY,3709.277277074346,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
10400000000,10400.0,10450.185417,10400000000,0,50.191563000000315,0,300.0200132287681,71.25651867207063,HIGHWAY,3699.979986771232,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
10500000000,10500.0,10550.143087,10500000000,0,50.146160000000236,0,309.3173035318822,70.96651581355601,HIGHWAY,3690.6826964681177,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
10600000000,10600.0,10650.194347,10600000000,0,50.19797900000049,0,318.61459383499636,70.67880434873848,HIGHWAY,3681.3854061650036,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
10700000000,10700.0,10750.174367,10700000000,0,50.18163099999947,0,327.91188413811045,70.39335693850697,HIGHWAY,3672.0881158618895,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
10800000000,10800.0,10850.11779,10800000000,0,50.120584000000235,0,337.20917444122455,70.1101466773363,HIGHWAY,3662.7908255587754,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
10900000000,10900.0,10950.128262,10900000000,0,50.131335000000036,0,346.50646474433864,69.82914708471866,HIGHWAY,3653.4935352556613,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
11000000000,11000.0,11050.117501,11000000000,0,50.12085400000069,0,355.80375504745274,69.5503320967976,HIGHWAY,3644.196244952547,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
11100000000,11100.0,11150.135795,11100000000,0,50.138868,0,365.10104535056684,69.2751155133616,HIGHWAY,3634.898954649433,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
11200000000,11200.0,11250.163867,11200000000,0,50.16777899999943,0,374.39833565368093,69.7945009822402,HIGHWAY,3625.601664346319,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
11300000000,11300.0,11350.118185,11300000000,0,50.12069999999949,0,383.695625956795,70.94838169121606,HIGHWAY,3616.304374043205,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
11400000000,11400.0,11450.148772,11400000000,0,50.153801000000385,0,392.9929162599092,71.59748088039905,HIGHWAY,3607.007083740091,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
11500000000,11500.0,11550.163713,11500000000,0,50.169300999999905,0,402.29020656302214,72.24813203215355,HIGHWAY,3597.7097934369776,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
11600000000,11600.0,11650.156305,11600000000,0,50.159099000000424,0,411.5874968661318,73.5338305262825,HIGHWAY,3588.412503133868,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
11700000000,11700.0,11750.149735,11700000000,0,50.15252900000087,0,420.88478716924146,75.43667646809666,HIGHWAY,3579.1152128307585,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
11800000000,11800.0,11850.155458,11800000000,0,50.15964800000074,0,430.1820774723511,76.11014323602367,HIGHWAY,3569.817922527649,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
11900000000,11900.0,11950.138272,11900000000,0,50.1410649999998,0,439.4793677754608,76.86839471659175,HIGHWAY,3560.5206322245394,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
12000000000,12000.0,12050.137289,12000000000,0,50.14092100000016,0,448.77665807857045,79.09738787499457,HIGHWAY,3551.2233419214294,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
12100000000,12100.0,12150.128205,12100000000,0,50.13211600000068,0,458.0739483816801,80.5418415005728,HIGHWAY,3541.92605161832,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
12200000000,12200.0,12250.133648,12200000000,0,50.137000000000626,0,467.3712386847898,81.26152440731335,HIGHWAY,3532.6287613152103,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
12300000000,12300.0,12350.127078,12300000000,0,50.12959199999932,0,476.66852898789944,81.98891989830506,HIGHWAY,3523.3314710121003,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
12400000000,12400.0,12450.114083,12400000000,0,50.11883200000011,0,485.9658192910091,83.46653605410609,HIGHWAY,3514.034180708991,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
12500000000,12500.0,12550.127069,12500000000,0,50.13042099999984,0,495.26310959411876,84.95302347089589,HIGHWAY,3504.7368904058812,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
