event,logical_time_ns,logical_time_ms,physical_time_ms,tag_time_ns,microstep,lag_ms,tardy_invocation_count,head_present,eye_present,head,eye
output_tick,7000000000,7000.0,7010.272109,7000000000,0,10.290627000000313,0,1,1,1,1
output_tick,7100000000,7100.0,7110.75931,7100000000,0,10.787976999999955,0,1,1,1,1
output_tick,7200000000,7200.0,7210.138192,7200000000,0,10.15050599999995,0,1,1,1,1
output_tick,7300000000,7300.0,7310.251453,7300000000,0,10.259952999999769,0,1,1,1,1
sensor_arrival,7400000000,7400.0,7473.766515,7400000000,0,73.77347800000007,0,1,1,0,1
output_tick,7400000000,7400.0,7474.081104,7400000000,0,74.08543699999973,0,1,1,0,1
output_tick,7500000000,7500.0,7505.255593,7500000000,0,5.266537000000426,0,1,1,0,1
output_tick,7600000000,7600.0,7604.761565,7600000000,0,4.770231999999851,0,1,1,0,1
output_tick,7700000000,7700.0,7705.899278,7700000000,0,5.912685000000238,0,1,1,0,1
output_tick,7800000000,7800.0,7806.949251,7800000000,0,7.001158000000032,0,1,1,0,1
sensor_arrival,7900000000,7900.0,7959.66516,7900000000,0,59.67232700000022,0,1,1,0,1
output_tick,7900000000,7900.0,7959.892417,7900000000,0,59.89554599999974,0,1,1,0,1
output_tick,8000000000,8000.0,8005.616218,8000000000,0,5.628773999999794,0,1,1,0,1
output_tick,8100000000,8100.0,8109.253106,8100000000,0,9.280087000000094,0,1,1,0,1
output_tick,8200000000,8200.0,8205.268322,8200000000,0,5.279932999999801,0,1,1,0,1
output_tick,8300000000,8300.0,8303.92799,8300000000,0,3.936749000000418,0,1,1,0,1
sensor_arrival,8400000000,8400.0,8460.53728,8400000000,0,60.54337200000009,0,1,1,0,1
output_tick,8400000000,8400.0,8460.817443,8400000000,0,60.82042399999955,0,1,1,0,1
output_tick,8500000000,8500.0,8506.158082,8500000000,0,6.171990000000733,0,1,1,0,1
output_tick,8600000000,8600.0,8604.711844,8600000000,0,4.723029000000679,0,1,1,0,1
output_tick,8700000000,8700.0,8705.516097,8700000000,0,5.524337999999261,0,1,1,0,1
output_tick,8800000000,8800.0,8804.377003,8800000000,0,4.3864099999991595,0,1,1,0,1
sensor_arrival,8900000000,8900.0,8960.420485,8900000000,0,60.42641000000003,0,1,1,0,1
output_tick,8900000000,8900.0,8960.698241,8900000000,0,60.70122199999969,0,1,1,0,1
output_tick,9000000000,9000.0,9006.518393,9000000000,0,6.531558999999106,0,1,1,0,1
output_tick,9100000000,9100.0,9107.313795,9100000000,0,7.323258000000351,0,1,1,0,1
output_tick,9200000000,9200.0,9204.300259,9200000000,0,4.308444000000236,0,1,1,0,1
output_tick,9300000000,9300.0,9304.14932,9300000000,0,4.159004999999524,0,1,1,0,1
sensor_arrival,9400000000,9400.0,9460.004952,9400000000,0,60.012360000000626,0,1,1,0,1
output_tick,9400000000,9400.0,9460.342263,9400000000,0,60.34557800000039,0,1,1,0,1
output_tick,9500000000,9500.0,9505.99801,9500000000,0,6.012212999999974,0,1,1,0,1
output_tick,9600000000,9600.0,9605.338299,9600000000,0,5.35026199999993,0,1,1,0,1
output_tick,9700000000,9700.0,9705.062602,9700000000,0,5.071158000000651,0,1,1,0,1
output_tick,9800000000,9800.0,9804.631389,9800000000,0,4.643259000000398,0,1,1,0,1
sensor_arrival,9900000000,9900.0,9953.474343,9900000000,0,53.48104699999931,0,1,1,0,1
output_tick,9900000000,9900.0,9953.798024,9900000000,0,53.80100599999969,0,1,1,0,1
output_tick,10000000000,10000.0,10005.488108,10000000000,0,5.499181999999564,0,1,1,0,1
output_tick,10100000000,10100.0,10104.322959,10100000000,0,4.332774000000427,0,1,1,0,1
output_tick,10200000000,10200.0,10205.266729,10200000000,0,5.274488999999448,0,1,1,0,1
output_tick,10300000000,10300.0,10304.6245,10300000000,0,4.633165999999619,0,1,1,0,1
sensor_arrival,10400000000,10400.0,10455.745298,10400000000,0,55.75181599999996,0,1,1,0,1
output_tick,10400000000,10400.0,10455.953851,10400000000,0,55.95653599999969,0,1,1,0,1
output_tick,10500000000,10500.0,10506.704798,10500000000,0,6.7193719999995665,0,1,1,0,1
output_tick,10600000000,10600.0,10609.599879,10600000000,0,9.611452999999528,0,1,1,0,1
output_tick,10700000000,10700.0,10704.703828,10700000000,0,4.712384000000384,0,1,1,0,1
output_tick,10800000000,10800.0,10803.764528,10800000000,0,3.773713000000498,0,1,1,0,1
sensor_arrival,10900000000,10900.0,10952.534687,10900000000,0,52.54072400000041,0,1,1,0,1
output_tick,10900000000,10900.0,10952.794851,10900000000,0,52.79766500000005,0,1,1,0,1
output_tick,11000000000,11000.0,11005.147945,11000000000,0,5.157649000000674,0,1,1,0,1
output_tick,11100000000,11100.0,11105.728294,11100000000,0,5.770720000000438,0,1,1,0,1
output_tick,11200000000,11200.0,11206.489326,11200000000,0,6.501566999999341,0,1,1,0,1
output_tick,11300000000,11300.0,11304.582982,11300000000,0,4.596166999999696,0,1,1,0,1
sensor_arrival,11400000000,11400.0,11460.244819,11400000000,0,60.250764000000345,0,1,1,0,1
output_tick,11400000000,11400.0,11460.534372,11400000000,0,60.53751999999986,0,1,1,0,1
output_tick,11500000000,11500.0,11504.699395,11500000000,0,4.7097649999996065,0,1,1,0,1
output_tick,11600000000,11600.0,11611.761724,11600000000,0,11.77364999999918,0,1,1,0,1
output_tick,11700000000,11700.0,11704.126409,11700000000,0,4.1466679999994085,0,1,1,0,1
output_tick,11800000000,11800.0,11804.51213,11800000000,0,4.520704000000478,0,1,1,0,1
sensor_arrival,11900000000,11900.0,11959.062389,11900000000,0,59.06825899999967,0,1,1,0,1
output_tick,11900000000,11900.0,11959.42481,11900000000,0,59.42753300000004,0,1,1,0,1
output_tick,12000000000,12000.0,12007.097923,12000000000,0,7.1111629999995785,0,1,1,0,1
output_tick,12100000000,12100.0,12105.173245,12100000000,0,5.2290219999995315,0,1,1,0,1
output_tick,12200000000,12200.0,12206.928062,12200000000,0,6.95939399999952,0,1,1,0,1
output_tick,12300000000,12300.0,12305.123216,12300000000,0,5.132716000000073,0,1,1,0,1
sensor_arrival,12400000000,12400.0,12461.629044,12400000000,0,61.63485899999978,0,1,1,0,1
output_tick,12400000000,12400.0,12461.924281,12400000000,0,61.92704000000049,0,1,1,0,1
output_tick,12500000000,12500.0,12506.954035,12500000000,0,6.967665000000125,0,1,1,0,1
output_tick,12600000000,12600.0,12606.277769,12600000000,0,6.290213000000222,0,1,1,0,1
output_tick,12700000000,12700.0,12704.785994,12700000000,0,4.796567999999752,0,1,1,0,1
output_tick,12800000000,12800.0,12805.895836,12800000000,0,5.907724999999118,0,1,1,0,1
sensor_arrival,12900000000,12900.0,12955.88024,12900000000,0,55.889185,0,1,1,0,1
output_tick,12900000000,12900.0,12956.265847,12900000000,0,56.26951299999928,0,1,1,0,1
output_tick,13000000000,13000.0,13006.088323,13000000000,0,6.097749000000476,0,1,1,0,1
output_tick,13100000000,13100.0,13105.901329,13100000000,0,5.9172359999993205,0,1,1,0,1
output_tick,13200000000,13200.0,13205.992109,13200000000,0,6.005719999999201,0,1,1,0,1
output_tick,13300000000,13300.0,13305.121086,13300000000,0,5.130030000000261,0,1,1,0,1
sensor_arrival,13400000000,13400.0,13458.232009,13400000000,0,58.2379349999992,0,1,1,0,1
output_tick,13400000000,13400.0,13458.513061,13400000000,0,58.51583899999969,0,1,1,0,1
output_tick,13500000000,13500.0,13505.680124,13500000000,0,5.692772000000332,0,1,1,0,1
output_tick,13600000000,13600.0,13604.670936,13600000000,0,4.681823999999324,0,1,1,0,1
output_tick,13700000000,13700.0,13706.771878,13700000000,0,6.803987999999663,0,1,1,0,1
output_tick,13800000000,13800.0,13804.824997,13800000000,0,4.835182000000714,0,1,1,0,1
sensor_arrival,13900000000,13900.0,13961.793579,13900000000,0,61.80002299999978,0,1,1,0,1
output_tick,13900000000,13900.0,13962.105871,13900000000,0,62.109018999999535,0,1,1,0,1
output_tick,14000000000,14000.0,14004.821486,14000000000,0,4.8313190000008035,0,1,1,0,1
output_tick,14100000000,14100.0,14107.765288,14100000000,0,7.776009999999587,0,1,1,0,1
output_tick,14200000000,14200.0,14204.849067,14200000000,0,4.860677999999098,0,1,1,0,1
output_tick,14300000000,14300.0,14304.933736,14300000000,0,4.9457170000005135,0,1,1,0,1
sensor_arrival,14400000000,14400.0,14459.901378,14400000000,0,59.907451999999466,0,1,1,0,1
output_tick,14400000000,14400.0,14460.285485,14400000000,0,60.28872500000034,0,1,1,0,1
output_tick,14500000000,14500.0,14506.390486,14500000000,0,6.4034670000000915,0,1,1,0,1
output_tick,14600000000,14600.0,14605.57698,14600000000,0,5.588184000000183,0,1,1,0,1
output_tick,14700000000,14700.0,14705.63452,14700000000,0,5.6459649999997055,0,1,1,0,1
output_tick,14800000000,14800.0,14805.714208,14800000000,0,5.726226999999199,0,1,1,0,1
sensor_arrival,14900000000,14900.0,14962.698771,14900000000,0,62.70558600000004,0,1,1,0,1
output_tick,14900000000,14900.0,14962.975101,14900000000,0,62.978305000000546,0,1,1,0,1
output_tick,15000000000,15000.0,15005.376627,15000000000,0,5.385663999999451,0,1,1,0,1
output_tick,15100000000,15100.0,15104.98882,15100000000,0,4.997301999999763,0,1,1,0,1
output_tick,15200000000,15200.0,15205.347264,15200000000,0,5.356320000000778,0,1,1,0,1
output_tick,15300000000,15300.0,15308.978929,15300000000,0,8.987891999999192,0,1,1,0,1
sensor_arrival,15400000000,15400.0,15455.143674,15400000000,0,55.149858999999196,0,1,1,0,2
output_tick,15400000000,15400.0,15455.400282,15400000000,0,55.437448000000586,0,1,1,0,2
output_tick,15500000000,15500.0,15506.461873,15500000000,0,6.469707000000199,0,1,1,0,2
output_tick,15600000000,15600.0,15606.067326,15600000000,0,6.07880699999987,0,1,1,0,2
output_tick,15700000000,15700.0,15704.630272,15700000000,0,4.641660999999658,0,1,1,0,2
output_tick,15800000000,15800.0,15804.505018,15800000000,0,4.513999999999214,0,1,1,0,2
sensor_arrival,15900000000,15900.0,15954.362053,15900000000,0,54.3683860000001,0,1,1,0,2
output_tick,15900000000,15900.0,15954.98712,15900000000,0,54.99025000000074,0,1,1,0,2
output_tick,16000000000,16000.0,16005.68653,16000000000,0,5.696586000000025,0,1,1,0,2
output_tick,16100000000,16100.0,16104.42566,16100000000,0,4.43621499999972,0,1,1,0,2
output_tick,16200000000,16200.0,16204.684994,16200000000,0,4.696622999999818,0,1,1,0,2
output_tick,16300000000,16300.0,16306.985193,16300000000,0,7.004377999999633,0,1,1,0,2
sensor_arrival,16400000000,16400.0,16454.717364,16400000000,0,54.726456000000326,0,1,1,0,2
output_tick,16400000000,16400.0,16455.009675,16400000000,0,55.012730999998894,0,1,1,0,2
output_tick,16500000000,16500.0,16505.353849,16500000000,0,5.371848999999202,0,1,1,0,2
output_tick,16600000000,16600.0,16603.975368,16600000000,0,3.9873679999982414,0,1,1,0,2
output_tick,16700000000,16700.0,16704.992101,16700000000,0,5.005970999998681,0,1,1,0,2
output_tick,16800000000,16800.0,16804.567795,16800000000,0,4.580480000000534,0,1,1,0,2
sensor_arrival,16900000000,16900.0,16956.817246,16900000000,0,56.826765000001615,0,1,1,0,2
output_tick,16900000000,16900.0,16957.116261,16900000000,0,57.119260999999824,0,1,1,0,2
output_tick,17000000000,17000.0,17005.051537,17000000000,0,5.06703700000071,0,1,1,0,2
output_tick,17100000000,17100.0,17106.112714,17100000000,0,6.12647300000026,0,1,1,0,2
output_tick,17200000000,17200.0,17205.112211,17200000000,0,5.123043999999936,0,1,1,0,2
output_tick,17300000000,17300.0,17309.463108,17300000000,0,9.475014999999985,0,1,1,0,2
sensor_arrival,17400000000,17400.0,17452.127579,17400000000,0,52.13376399999834,0,1,1,0,2
output_tick,17400000000,17400.0,17452.464871,17400000000,0,52.4676670000008,0,1,1,0,2
output_tick,17500000000,17500.0,17505.003964,17500000000,0,5.013740999998845,0,1,1,0,2
output_tick,17600000000,17600.0,17605.292223,17600000000,0,5.299741999999242,0,1,1,0,2
output_tick,17700000000,17700.0,17706.268549,17700000000,0,6.280955999998696,0,1,1,0,2
output_tick,17800000000,17800.0,17805.896594,17800000000,0,5.928797000000486,0,1,1,0,2
sensor_arrival,17900000000,17900.0,17955.550538,17900000000,0,55.555538000000524,0,1,1,0,1
output_tick,17900000000,17900.0,17955.850961,17900000000,0,55.85523900000044,0,1,1,0,1
output_tick,18000000000,18000.0,18003.001894,18000000000,0,3.007394000000204,0,1,1,0,1
output_tick,18100000000,18100.0,18105.521479,18100000000,0,5.5332759999982954,0,1,1,0,1
output_tick,18200000000,18200.0,18204.945175,18200000000,0,4.955749000000651,0,1,1,0,1
output_tick,18300000000,18300.0,18305.07877,18300000000,0,5.0903440000001865,0,1,1,0,1
sensor_arrival,18400000000,18400.0,18452.4975,18400000000,0,52.50381399999969,0,1,1,0,1
output_tick,18400000000,18400.0,18452.809737,18400000000,0,52.81247699999949,0,1,1,0,1
output_tick,18500000000,18500.0,18505.067536,18500000000,0,5.0791470000003756,0,1,1,0,1
output_tick,18600000000,18600.0,18605.410721,18600000000,0,5.419147000000521,0,1,1,0,1
output_tick,18700000000,18700.0,18705.854535,18700000000,0,5.865626999999222,0,1,1,0,1
output_tick,18800000000,18800.0,18805.66217,18800000000,0,5.674373999998352,0,1,1,0,1
sensor_arrival,18900000000,18900.0,18952.614794,18900000000,0,52.62120199999845,0,1,1,0,1
output_tick,18900000000,18900.0,18952.847125,18900000000,0,52.84990299999845,0,1,1,0,1
output_tick,19000000000,19000.0,19003.85118,19000000000,0,3.862346999998408,0,1,1,0,1
output_tick,19100000000,19100.0,19104.547787,19100000000,0,4.557230999998865,0,1,1,0,1
output_tick,19200000000,19200.0,19205.844553,19200000000,0,5.8579050000007555,0,1,1,0,1
output_tick,19300000000,19300.0,19303.943764,19300000000,0,3.9523189999999886,0,1,1,0,1
sensor_arrival,19400000000,19400.0,19454.089518,19400000000,0,54.09568399999989,0,1,1,0,1
output_tick,19400000000,19400.0,19454.433458,19400000000,0,54.43644000000131,0,1,1,0,1
output_tick,19500000000,19500.0,19506.15832,19500000000,0,6.171875,0,1,1,0,1
output_tick,19600000000,19600.0,19605.394369,19600000000,0,5.403312999998889,0,1,1,0,1
output_tick,19700000000,19700.0,19707.545033,19700000000,0,7.558347999998659,0,1,1,0,1
output_tick,19800000000,19800.0,19804.039226,19800000000,0,4.047743999999511,0,1,1,0,1
sensor_arrival,19900000000,19900.0,19959.450751,19900000000,0,59.45706599999903,0,1,1,0,1
output_tick,19900000000,19900.0,19959.7346,19900000000,0,59.737341000000015,0,1,1,0,1
output_tick,20000000000,20000.0,20004.497783,20000000000,0,4.507042000001093,0,1,1,0,1
output_tick,20100000000,20100.0,20105.592626,20100000000,0,5.604310999999143,0,1,1,0,1
