event,logical_time_ns,logical_time_ms,physical_time_ms,tag_time_ns,microstep,lag_ms,tardy_invocation_count,displacement_present,velocity_present,car_steer_present,head_present,eye_present,environment_states_present,environment_distance,car_velocity,car_steer,head,eye,head_history_json,eye_history_json,environment_states_json
input_arrival,7000000000,7000.0,7030.9676,7000000000,0,30.97703900000033,0,1,1,1,1,1,1,4000.0,90.98208,1,1,1,"[""CENTER""]","[""CENTER""]","[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
llm_output_tick,7000000000,7000.0,7031.593078,7000000000,0,31.59597500000018,0,1,1,1,1,1,1,4000.0,90.98208,1,1,1,"[""CENTER""]","[""CENTER""]","[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
input_arrival,7100000000,7100.0,7130.627892,7100000000,0,30.635785000000396,0,1,1,1,1,1,1,3993.2207650889436,91.9542856177152,1,1,1,"[""CENTER"", ""CENTER""]","[""CENTER"", ""CENTER""]","[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
input_arrival,7200000000,7200.0,7230.719844,7200000000,0,30.725408999999672,0,1,1,1,1,1,1,3983.919221712383,92.91661058196718,1,1,1,"[""CENTER"", ""CENTER"", ""CENTER""]","[""CENTER"", ""CENTER"", ""CENTER""]","[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
input_arrival,7300000000,7300.0,7331.128929,7300000000,0,31.13480199999958,0,1,1,1,1,1,1,3974.6219422487247,93.86905188629824,1,1,1,"[""CENTER"", ""CENTER"", ""CENTER"", ""CENTER""]","[""CENTER"", ""CENTER"", ""CENTER"", ""CENTER""]","[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
input_arrival,7400000000,7400.0,7499.251922,7400000000,0,99.25795199999993,0,1,1,1,1,1,1,3965.3246520219222,94.8116097250742,1,0,0,"[""CENTER"", ""CENTER"", ""CENTER"", ""LEFT""]","[""CENTER"", ""CENTER"", ""CENTER"", ""LEFT""]","[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
llm_output_tick,7400000000,7400.0,7499.592624,7400000000,0,99.59648399999969,0,1,1,1,1,1,1,3965.3246520219222,94.8116097250742,1,0,0,"[""CENTER"", ""CENTER"", ""CENTER"", ""LEFT""]","[""CENTER"", ""CENTER"", ""CENTER"", ""LEFT""]","[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
input_arrival,7500000000,7500.0,7530.160324,7500000000,0,30.166395999999622,0,1,1,1,1,1,1,3956.027361718994,95.744287428482,1,0,0,"[""CENTER"", ""CENTER"", ""LEFT"", ""LEFT""]","[""CENTER"", ""CENTER"", ""LEFT"", ""LEFT""]","[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
input_arrival,7600000000,7600.0,7630.523885,7600000000,0,30.531364000000394,0,1,1,1,1,1,1,3946.73007141588,96.66709139652711,1,0,0,"[""CENTER"", ""LEFT"", ""LEFT"", ""LEFT""]","[""CENTER"", ""LEFT"", ""LEFT"", ""LEFT""]","[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
input_arrival,7700000000,7700.0,7730.442722,7700000000,0,30.448206000000027,0,1,1,1,1,1,1,3937.432781112766,97.58003103213464,1,0,0,"[""LEFT"", ""LEFT"", ""LEFT"", ""LEFT""]","[""LEFT"", ""LEFT"", ""LEFT"", ""LEFT""]","[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
