event,logical_time_ns,logical_time_ms,physical_time_ms,tag_time_ns,microstep,lag_ms,tardy_invocation_count,steer_in_present,accel_in_present,brake_in_present,actuate_in_present,steer_in,accel_in,brake_in,actuate_in,car_velocity,car_steer
reaction,7000000000,7000.0,7020.968035,7000000000,0,20.692740000000413,0,1,1,1,0,1,1.0,0.0,,90.98208,1
reaction,7100000000,7100.0,7120.935597,7100000000,0,20.655456000000413,0,1,1,1,0,1,1.0,0.0,,91.9542856177152,1
reaction,7200000000,7200.0,7220.931592,7200000000,0,20.70295900000019,0,1,1,1,0,1,1.0,0.0,,92.91661058196718,1
reaction,7300000000,7300.0,7320.914366,7300000000,0,20.663574000000153,0,1,1,1,0,1,1.0,0.0,,93.86905188629824,1
reaction,7400000000,7400.0,7420.848606,7400000000,0,20.63151899999957,0,1,1,1,0,1,1.0,0.0,,94.8116097250742,1
reaction,7500000000,7500.0,7520.718079,7500000000,0,20.466827999999623,0,1,1,1,0,1,1.0,0.0,,95.744287428482,1
reaction,7600000000,7600.0,7620.597282,7600000000,0,20.33741800000007,0,1,1,1,0,1,1.0,0.0,,96.66709139652711,1
reaction,7700000000,7700.0,7720.647827,7700000000,0,20.388692999999876,0,1,1,1,0,1,1.0,0.0,,97.58003103213464,1
reaction,7800000000,7800.0,7820.69089,7800000000,0,20.477608999999575,0,1,1,1,0,1,1.0,0.0,,98.48311867345507,1
reaction,7900000000,7900.0,7920.959913,7900000000,0,20.707682999999633,0,1,1,1,0,1,1.0,0.0,,99.37636952547453,1
reaction,8000000000,8000.0,8020.708145,8000000000,0,20.614819000000352,0,1,1,1,0,1,1.0,0.0,,100.25980159102654,1
reaction,8100000000,8100.0,8120.722939,8100000000,0,20.61645800000042,0,1,1,1,0,1,1.0,0.0,,101.13343560130032,1
reaction,8200000000,8200.0,8220.773849,8200000000,0,20.561910000000353,0,1,1,1,0,1,1.0,0.0,,101.99729494593795,1
reaction,8300000000,8300.0,8320.489156,8300000000,0,20.248767999999473,0,1,1,1,0,1,1.0,0.0,,102.8514056028108,1
reaction,8400000000,8400.0,8420.598056,8400000000,0,20.375520999999935,0,1,1,1,0,1,1.0,0.0,,103.69579606756226,1
reaction,8500000000,8500.0,8520.788993,8500000000,0,20.57611200000065,0,1,1,1,0,1,1.0,0.0,,104.53049728300195,1
reaction,8600000000,8600.0,8620.458434,8600000000,0,20.269820999999865,0,1,1,1,0,1,1.0,0.0,,105.35554256843353,1
reaction,8700000000,8700.0,8720.170588,8700000000,0,20.100883999999496,0,1,1,1,0,1,1.0,0.0,,106.17096754899525,1
reaction,8800000000,8800.0,8820.379496,8800000000,0,20.29250200000024,0,1,1,1,0,1,1.0,0.0,,106.97681008509026,1
reaction,8900000000,8900.0,8920.641692,8900000000,0,20.440161000000444,0,1,1,1,0,1,1.0,0.0,,107.77311020198019,1
reaction,9000000000,9000.0,9020.423054,9000000000,0,20.241094999999405,0,1,1,1,0,1,1.0,0.0,,108.55991001961306,1
reaction,9100000000,9100.0,9120.46209,9100000000,0,20.24836099999993,0,1,1,1,0,1,1.0,0.0,,109.3372536827538,1
reaction,9200000000,9200.0,9220.434085,9200000000,0,20.2378860000008,0,1,1,1,0,1,1.0,0.0,,110.10518729148231,1
reaction,9300000000,9300.0,9320.483992,9300000000,0,20.277525999999853,0,1,1,1,0,1,0.0,0.0,,109.42375883212162,1
reaction,9400000000,9400.0,9420.575218,9400000000,0,20.373505999999907,0,1,1,1,0,1,0.0,0.0,,108.75064111006883,1
reaction,9500000000,9500.0,9520.497377,9500000000,0,20.28997999999956,0,1,1,1,0,1,0.0,0.0,,108.08568211329933,1
reaction,9600000000,9600.0,9620.216161,9600000000,0,20.14883700000064,0,1,1,1,0,1,0.0,0.0,,107.42873352008282,1
reaction,9700000000,9700.0,9720.46633,9700000000,0,20.29922599999918,0,1,1,1,0,1,0.0,0.0,,106.77965058754232,1
reaction,9800000000,9800.0,9820.399991,9800000000,0,20.206449999999677,0,1,1,1,0,1,0.0,0.0,,106.13829204423133,1
reaction,9900000000,9900.0,9920.631531,9900000000,0,20.43509300000005,0,1,1,1,0,1,0.0,0.0,,105.50451998656096,1
reaction,10000000000,10000.0,10020.30752,10000000000,0,20.242449999999735,0,1,1,1,0,1,0.0,0.0,,104.87819977891682,1
reaction,10100000000,10100.0,10120.483546,10100000000,0,20.277124000000185,0,1,1,1,0,1,0.0,0.0,,104.25919995731313,1
reaction,10200000000,10200.0,10220.454523,10200000000,0,20.244861999999557,0,1,1,1,0,1,0.0,0.0,,103.64739213643875,1
reaction,10300000000,10300.0,10320.623133,10300000000,0,20.412347999999838,0,1,1,1,0,1,0.0,0.0,,103.04265091995626,1
reaction,10400000000,10400.0,10420.2487,10400000000,0,20.18761699999959,0,1,1,1,0,1,0.0,0.0,,102.44485381392226,1
reaction,10500000000,10500.0,10520.559552,10500000000,0,20.364965999999185,0,1,1,1,0,1,0.0,0.0,,101.85388114320249,1
reaction,10600000000,10600.0,10620.443029,10600000000,0,20.225373999999647,0,1,1,1,0,1,0.0,0.0,,101.26961597076173,1
reaction,10700000000,10700.0,10720.482675,10700000000,0,20.260732999999163,0,1,1,1,0,1,0.0,0.0,,100.69194401971365,1
reaction,10800000000,10800.0,10820.443187,10800000000,0,20.23771999999917,0,1,1,1,0,1,0.0,0.0,,100.12075359802091,1
reaction,10900000000,10900.0,10920.752922,10900000000,0,20.536747000000105,0,1,1,1,0,1,0.0,0.0,,99.55593552574116,1
reaction,11000000000,11000.0,11020.552757,11000000000,0,20.345760000000155,0,1,1,1,0,1,0.0,0.0,,98.99738306471862,1
reaction,11100000000,11100.0,11120.325949,11100000000,0,20.232708999999886,0,1,1,1,0,1,0.0,0.0,,98.44499185062627,1
reaction,11200000000,11200.0,11220.447093,11200000000,0,20.21650000000045,0,1,1,1,0,1,0.0,0.0,,97.89865982726683,1
reaction,11300000000,11300.0,11320.456732,11300000000,0,20.244072999999844,0,1,1,1,0,1,0.0,0.0,,97.35828718304599,1
reaction,11400000000,11400.0,11420.426782,11400000000,0,20.21335200000067,0,1,1,1,0,1,0.0,0.0,,96.82377628953397,1
reaction,11500000000,11500.0,11520.410048,11500000000,0,20.204224999999497,0,1,1,1,0,1,0.0,0.0,,96.29503164203587,1
reaction,11600000000,11600.0,11620.399589,11600000000,0,20.224630000000616,0,1,1,1,0,1,0.0,0.0,,95.77195980209471,1
reaction,11700000000,11700.0,11720.735713,11700000000,0,20.523639999999432,0,1,1,1,0,1,0.0,0.0,,95.25446934185393,1
reaction,11800000000,11800.0,11820.630404,11800000000,0,20.43258600000081,0,1,1,1,0,1,0.0,0.0,,94.7424707902096,1
reaction,11900000000,11900.0,11920.362065,11900000000,0,20.222279999999955,0,1,1,1,0,1,0.0,0.0,,94.2358765806855,1
reaction,12000000000,12000.0,12020.442472,12000000000,0,20.300130999999965,0,1,1,1,0,1,0.0,0.0,,93.73460100096716,1
reaction,12100000000,12100.0,12120.814293,12100000000,0,20.607302000000345,0,1,1,1,0,1,0.0,0.0,,93.23856014403324,1
reaction,12200000000,12200.0,12220.597696,12200000000,0,20.40864099999999,0,1,1,1,0,1,0.0,0.0,,92.74767186082588,1
reaction,12300000000,12300.0,12320.320336,12300000000,0,20.24274499999956,0,1,1,1,0,1,0.0,0.0,,92.26185571440347,1
reaction,12400000000,12400.0,12420.289207,12400000000,0,20.18775900000037,0,1,1,1,0,1,0.0,0.0,,91.78103293552205,1
reaction,12500000000,12500.0,12520.467207,12500000000,0,20.207856000000902,0,1,1,1,0,1,0.0,0.0,,91.30512637959364,1
reaction,12600000000,12600.0,12620.493165,12600000000,0,20.283927000000403,0,1,1,1,0,1,0.0,0.0,,90.83406048497179,1
reaction,12700000000,12700.0,12720.295839,12700000000,0,20.224694000000454,0,1,1,1,0,1,0.0,0.0,,90.36776123251693,1
reaction,12800000000,12800.0,12820.228822,12800000000,0,20.155408000000534,0,1,1,1,0,1,0.0,0.0,,89.90615610639597,1
reaction,12900000000,12900.0,12920.433203,12900000000,0,20.227327000000514,0,1,1,1,0,1,0.0,0.0,,89.44917405607221,1
reaction,13000000000,13000.0,13020.525529,13000000000,0,20.313577000000805,0,1,1,1,0,1,0.0,0.0,,88.99674545944367,1
reaction,13100000000,13100.0,13120.502367,13100000000,0,20.288345000000845,0,1,1,1,0,1,0.0,0.0,,88.54880208708961,1
reaction,13200000000,13200.0,13220.425771,13200000000,0,20.232490000000325,0,1,1,1,0,1,0.0,0.0,,88.10527706758636,1
reaction,13300000000,13300.0,13320.498609,13300000000,0,20.303791000000274,0,1,1,1,0,1,0.0,0.0,,87.66610485385547,1
reaction,13400000000,13400.0,13420.425281,13400000000,0,20.22766000000047,0,1,1,1,0,1,0.0,0.0,,87.2312211905084,1
reaction,13500000000,13500.0,13520.502312,13500000000,0,20.293170000000828,0,1,1,1,0,1,0.0,0.0,,86.80056308215354,1
reaction,13600000000,13600.0,13620.495455,13600000000,0,20.29785500000071,0,1,1,1,0,1,0.0,0.0,,86.37406876263249,1
reaction,13700000000,13700.0,13720.39955,13700000000,0,20.207459999999628,0,1,1,1,0,1,0.0,0.0,,85.95167766515405,1
reaction,13800000000,13800.0,13820.638536,13800000000,0,20.432764999999563,0,1,1,1,0,1,0.0,0.0,,85.53333039329547,1
reaction,13900000000,13900.0,13920.290759,13900000000,0,20.197597000000314,0,1,1,1,0,1,0.0,0.0,,85.11896869284165,1
reaction,14000000000,14000.0,14020.479531,14000000000,0,20.287102000000232,0,1,1,1,0,1,0.0,0.0,,84.70853542443427,1
reaction,14100000000,14100.0,14120.434465,14100000000,0,20.229836000000432,0,1,1,1,0,1,0.0,0.0,,84.30197453700356,1
reaction,14200000000,14200.0,14220.63297,14200000000,0,20.439512000000832,0,1,1,1,0,1,0.37254901960784315,0.0,,84.3010580315764,1
reaction,14300000000,14300.0,14320.446761,14300000000,0,20.250255999999354,0,1,1,1,0,1,0.13333333333333333,0.0,,84.02376312128511,1
reaction,14400000000,14400.0,14420.629666,14400000000,0,20.42251899999974,0,1,1,1,0,1,0.0,0.0,,83.62362130078168,1
reaction,14500000000,14500.0,14520.502418,14500000000,0,20.44785100000081,0,1,1,1,0,1,0.0,0.0,,83.22720629858965,1
reaction,14600000000,14600.0,14620.801242,14600000000,0,20.592909000000873,0,1,1,1,0,1,0.0,0.0,,82.83446586146364,1
reaction,14700000000,14700.0,14720.471273,14700000000,0,20.282344999999623,0,1,1,1,0,1,0.0,0.0,,82.44534870954398,1
reaction,14800000000,14800.0,14820.910662,14800000000,0,20.57232599999952,0,1,1,1,0,1,0.22745098039215686,0.0,,82.28612091515927,1
reaction,14900000000,14900.0,14920.52712,14900000000,0,20.37685000000056,0,1,1,1,0,1,0.6705882352941176,0.0,,82.74044279022053,1
reaction,15000000000,15000.0,15020.615844,15000000000,0,20.38985599999978,0,1,1,1,0,1,0.8901960784313725,0.0,,83.57777058869569,1
reaction,15100000000,15100.0,15121.121906,15100000000,0,20.858641999999236,0,1,1,1,0,1,0.6862745098039216,0.0,,84.0460029455064,1
reaction,15200000000,15200.0,15220.984574,15200000000,0,20.750380999999834,0,1,1,1,0,1,0.0,0.0,,83.64565346711106,1
reaction,15300000000,15300.0,15320.567705,15300000000,0,20.332408000000214,0,1,1,1,0,1,0.35294117647058826,0.0,,83.62572576730355,1
reaction,15400000000,15400.0,15420.777396,15400000000,0,20.542874999999185,0,1,1,1,0,1,0.9882352941176471,0.0,,84.64565328731099,1
reaction,15500000000,15500.0,15520.846623,15500000000,0,20.631413999999495,0,1,1,1,0,1,0.8235294117647058,0.0,,85.34185704100075,1
reaction,15600000000,15600.0,15620.869765,15600000000,0,20.625867999999173,0,1,1,1,0,1,0.0,0.0,,84.92931300971149,1
reaction,15700000000,15700.0,15720.982541,15700000000,0,20.732111999999688,0,1,1,1,0,1,0.0,0.0,,84.52067144258363,1
reaction,15800000000,15800.0,15820.711538,15800000000,0,20.481057000000874,0,1,1,1,0,1,1.0,0.0,,85.55587678141113,1
reaction,15900000000,15900.0,15920.424011,15900000000,0,20.25285299999996,0,1,1,1,0,1,1.0,0.0,,86.58130077853136,1
reaction,16000000000,16000.0,16020.576373,16000000000,0,20.308461000000534,0,1,1,1,0,1,0.3686274509803922,0.0,,86.55368303242193,1
reaction,16100000000,16100.0,16120.660634,16100000000,0,20.422812000000704,0,1,1,1,0,1,0.0,0.0,,86.12956636317323,1
