federate,reactor,reaction,logical_time_ns,logical_time_ms,tag_time_ns,microstep,lag_ms,tardy_invocation_count,start_physical_time_ms,stop_physical_time_ms,execution_time_ms
adc,InputForCoach,input_arrival,7000000000,7000.0,7000000000,0,30.26800600000024,0,7030.268006,7030.561749,0.29374300000017683
adc,InputForCoach,llm_output_tick,7000000000,7000.0,7000000000,0,30.846376999999848,0,7030.846377,7031.074985,0.22860800000034942
adc,InputForCoach,input_arrival,7100000000,7100.0,7100000000,0,30.536345999999867,0,7130.536346,7130.791199,0.2548530000003666
adc,InputForCoach,input_arrival,7200000000,7200.0,7200000000,0,30.699674000000414,0,7230.699674,7230.932712,0.23303799999939656
adc,InputForCoach,input_arrival,7300000000,7300.0,7300000000,0,30.047453000000132,0,7330.047453,7330.300719,0.2532659999997122
adc,InputForCoach,input_arrival,7400000000,7400.0,7400000000,0,30.54751099999976,0,7430.547511,7430.786243,0.23873199999979988
adc,InputForCoach,llm_output_tick,7400000000,7400.0,7400000000,0,30.899105999999847,0,7430.899106,7431.119161,0.22005499999977474
adc,InputForCoach,input_arrival,7500000000,7500.0,7500000000,0,31.573115000000143,0,7531.573115,7531.67874,0.10562500000014552
adc,InputForCoach,input_arrival,7600000000,7600.0,7600000000,0,31.045173000000432,0,7631.045173,7631.288098,0.24292499999955908
adc,InputForCoach,input_arrival,7700000000,7700.0,7700000000,0,30.92970400000013,0,7730.929704,7731.138555,0.20885100000032253
adc,InputForCoach,input_arrival,7800000000,7800.0,7800000000,0,32.7940550000003,0,7832.794055,7833.024503,0.23044799999934185
adc,InputForCoach,llm_output_tick,7800000000,7800.0,7800000000,0,33.135095999999976,0,7833.135096,7833.329381,0.1942849999995815
adc,InputForCoach,input_arrival,7900000000,7900.0,7900000000,0,30.87333200000012,0,7930.873332,7931.134488,0.2611559999995734
adc,InputForCoach,input_arrival,8000000000,8000.0,8000000000,0,29.970612000000074,0,8029.970612,8030.222825,0.252212999999756
adc,InputForCoach,input_arrival,8100000000,8100.0,8100000000,0,30.32560099999955,0,8130.325601,8130.649929,0.32432800000060524
adc,InputForCoach,input_arrival,8200000000,8200.0,8200000000,0,30.369480999999723,0,8230.369481,8230.655395,0.28591400000004796
adc,InputForCoach,llm_output_tick,8200000000,8200.0,8200000000,0,30.77198099999987,0,8230.771981,8230.967151,0.19517000000087137
adc,InputForCoach,input_arrival,8300000000,8300.0,8300000000,0,30.65299799999957,0,8330.652998,8330.901632,0.24863399999958347
adc,InputForCoach,input_arrival,8400000000,8400.0,8400000000,0,30.198546999999962,0,8430.198547,8430.509462,0.3109150000000227
adc,InputForCoach,input_arrival,8500000000,8500.0,8500000000,0,30.029490999999325,0,8530.029491,8530.289209,0.25971800000115763
adc,InputForCoach,input_arrival,8600000000,8600.0,8600000000,0,30.591162000000622,0,8630.591162,8630.899203,0.30804100000023027
adc,InputForCoach,llm_output_tick,8600000000,8600.0,8600000000,0,31.014672999999675,0,8631.014673,8631.242822,0.2281490000004851
adc,InputForCoach,input_arrival,8700000000,8700.0,8700000000,0,30.64051599999948,0,8730.640516,8730.902698,0.2621820000003936
adc,InputForCoach,input_arrival,8800000000,8800.0,8800000000,0,46.76616699999977,0,8846.766167,8846.928819,0.16265200000088953
