sample,round_trip_ms,estimated_one_way_ms
1,0.414567,0.207284
2,0.288763,0.144381
3,0.076503,0.038252
4,0.056357,0.028178
5,0.088761,0.044381
6,0.188922,0.094461
7,0.072926,0.036463
8,0.395952,0.197976
9,0.093249,0.046624
10,0.440140,0.220070
11,0.153820,0.076910
12,0.253046,0.126523
13,0.168204,0.084102
14,0.115338,0.057669
15,0.100572,0.050286
16,0.347947,0.173974
17,0.095128,0.047564
18,0.308221,0.154111
19,0.094404,0.047202
20,0.311730,0.155865
21,0.407947,0.203974
22,0.115792,0.057896
23,0.327235,0.163617
24,0.285412,0.142706
25,0.448899,0.224449
26,0.120509,0.060255
27,0.339594,0.169797
28,0.287532,0.143766
29,0.478376,0.239188
30,0.116787,0.058394
31,0.308001,0.154001
32,0.290732,0.145366
33,0.099181,0.049591
34,0.056136,0.028068
35,0.323275,0.161637
36,0.127947,0.063974
37,0.317854,0.158927
38,0.101319,0.050660
39,0.117291,0.058646
40,0.309337,0.154668
41,0.095588,0.047794
42,0.337805,0.168903
43,0.094880,0.047440
44,0.101243,0.050621
45,0.115022,0.057511
46,0.341171,0.170586
47,0.273436,0.136718
48,0.101280,0.050640
49,0.114661,0.057330
50,0.316607,0.158304
51,0.362832,0.181416
52,0.467645,0.233822
53,0.115238,0.057619
54,0.318891,0.159445
55,0.405138,0.202569
56,0.131820,0.065910
57,0.314146,0.157073
58,0.094984,0.047492
59,0.309461,0.154730
60,0.098059,0.049029
61,0.316019,0.158009
62,0.286830,0.143415
63,0.478995,0.239498
64,0.115875,0.057938
65,0.313159,0.156580
66,0.145046,0.072523
67,0.114475,0.057237
68,0.374056,0.187028
69,0.265245,0.132623
70,0.387011,0.193505
71,0.105397,0.052699
72,0.114840,0.057420
73,0.065377,0.032689
74,0.307888,0.153944
75,0.097852,0.048926
76,0.310965,0.155482
77,0.067438,0.033719
78,0.279884,0.139942
79,0.101318,0.050659
80,0.320077,0.160039
81,0.096777,0.048389
82,0.114276,0.057138
83,0.114266,0.057133
84,0.403155,0.201577
85,0.110652,0.055326
86,0.448302,0.224151
87,0.115822,0.057911
88,0.137751,0.068876
89,0.426468,0.213234
90,0.139610,0.069805
91,0.295707,0.147853
92,0.136975,0.068488
93,0.250578,0.125289
94,0.139500,0.069750
95,0.346323,0.173161
96,0.066260,0.033130
97,0.085212,0.042606
98,0.313818,0.156909
99,0.114350,0.057175
100,0.173921,0.086960
101,0.065673,0.032836
102,0.254052,0.127026
103,0.143841,0.071920
104,0.072859,0.036429
105,0.091608,0.045804
106,0.114203,0.057101
107,0.072813,0.036407
108,0.348651,0.174325
109,0.071880,0.035940
110,0.118223,0.059111
111,0.114935,0.057467
112,0.286472,0.143236
113,0.139205,0.069602
114,0.272630,0.136315
115,0.318842,0.159421
116,0.080109,0.040054
117,0.344906,0.172453
118,0.064454,0.032227
119,0.309207,0.154604
120,0.069655,0.034827
121,0.157469,0.078734
122,0.069583,0.034792
123,0.308659,0.154330
124,0.160019,0.080009
125,0.254989,0.127495
126,0.136996,0.068498
127,0.308520,0.154260
128,0.309282,0.154641
129,0.099473,0.049737
130,0.115644,0.057822
131,0.325359,0.162680
132,0.138721,0.069361
133,0.333108,0.166554
134,0.406255,0.203127
135,0.116716,0.058358
136,0.157748,0.078874
137,0.114702,0.057351
138,0.444629,0.222314
139,0.068684,0.034342
140,0.114619,0.057309
141,0.068125,0.034063
142,0.333849,0.166925
143,0.348143,0.174071
144,0.444914,0.222457
145,0.122193,0.061096
146,0.318948,0.159474
147,0.101596,0.050798
148,0.346336,0.173168
149,0.097528,0.048764
150,0.115281,0.057640
151,0.332604,0.166302
152,0.513171,0.256586
153,0.538904,0.269452
154,0.117781,0.058890
155,0.146255,0.073127
156,0.145436,0.072718
157,0.330370,0.165185
158,0.095960,0.047980
159,0.544835,0.272417
160,0.514230,0.257115
161,0.445499,0.222749
162,0.488776,0.244388
163,0.457304,0.228652
164,0.456740,0.228370
165,0.483023,0.241511
166,0.329851,0.164926
167,0.330342,0.165171
168,0.407509,0.203755
169,0.455224,0.227612
170,0.472813,0.236406
171,0.461511,0.230756
172,0.458773,0.229386
173,0.483482,0.241741
174,0.452166,0.226083
175,0.457608,0.228804
176,0.456645,0.228323
177,0.456550,0.228275
178,0.479085,0.239542
179,0.455263,0.227631
180,0.530607,0.265304
181,0.307461,0.153730
182,0.343738,0.171869
183,0.418675,0.209338
184,0.494506,0.247253
185,0.362533,0.181266
186,0.327581,0.163791
187,0.460077,0.230039
188,0.485912,0.242956
189,0.328568,0.164284
190,0.449280,0.224640
191,0.456808,0.228404
192,0.345853,0.172927
193,0.404335,0.202167
194,0.318809,0.159405
195,0.320812,0.160406
196,0.470592,0.235296
197,0.314275,0.157138
198,0.412503,0.206252
199,0.119796,0.059898
200,0.331495,0.165747
201,0.414039,0.207019
202,0.304469,0.152234
203,0.342092,0.171046
204,0.258784,0.129392
205,0.342875,0.171437
206,0.349762,0.174881
207,0.142685,0.071343
208,0.340803,0.170402
209,0.095452,0.047726
210,0.308712,0.154356
211,0.093625,0.046812
212,0.141764,0.070882
213,0.084532,0.042266
214,0.356519,0.178259
215,0.096105,0.048052
216,0.113943,0.056972
217,0.066541,0.033271
218,0.315676,0.157838
219,0.097191,0.048595
220,0.114792,0.057396
221,0.419828,0.209914
222,0.115813,0.057906
223,0.312509,0.156254
224,0.093502,0.046751
225,0.115160,0.057580
226,0.065727,0.032863
227,0.115343,0.057672
228,0.369077,0.184538
229,0.339105,0.169552
230,0.477280,0.238640
231,0.122517,0.061259
232,0.145154,0.072577
233,0.115091,0.057545
234,0.488217,0.244109
235,0.118380,0.059190
236,0.114604,0.057302
237,0.097472,0.048736
238,0.399509,0.199755
239,0.443367,0.221684
240,0.306055,0.153028
241,0.142956,0.071478
242,0.361999,0.181000
243,0.444712,0.222356
244,0.455542,0.227771
245,0.118311,0.059155
246,0.113668,0.056834
247,0.432449,0.216224
248,0.296684,0.148342
249,0.326966,0.163483
250,0.396341,0.198170
251,0.158284,0.079142
252,0.316910,0.158455
253,0.408109,0.204054
254,0.390099,0.195049
255,0.294810,0.147405
256,0.158280,0.079140
257,0.325693,0.162847
258,0.094630,0.047315
259,0.346141,0.173070
260,0.070323,0.035161
261,0.307230,0.153615
262,0.428364,0.214182
263,0.445226,0.222613
