run,payload_bytes,rtt_ms,one_way_est_ms
0,256,8.444917,4.2224585
1,256,8.073375,4.0366875
2,256,8.461042,4.230521
3,256,8.906541,4.4532705
4,256,8.872917,4.4364585
5,256,8.538542,4.269271
6,256,7.2105,3.60525
7,256,8.099458,4.049729
8,256,7.342916,3.671458
9,256,7.718417,3.8592085
10,256,8.208416,4.104208
11,256,8.271,4.1355
12,256,9.63625,4.818125
13,256,8.08125,4.040625
14,256,7.764625,3.8823125
15,256,7.662958,3.831479
16,256,8.983875,4.4919375
17,256,7.575208,3.787604
18,256,7.747416,3.873708
19,256,7.3145,3.65725
20,256,7.295834,3.647917
21,256,9.350667,4.6753335
22,256,7.366542,3.683271
23,256,7.323,3.6615
24,256,7.4825,3.74125
25,256,8.311083,4.1555415
26,256,7.497958,3.748979
27,256,7.360625,3.6803125
28,256,8.359125,4.1795625
29,256,7.556083,3.7780415
30,256,7.425875,3.7129375
31,256,7.44325,3.721625
32,256,8.307125,4.1535625
33,256,7.964792,3.982396
34,256,9.712041,4.8560205
35,256,9.457334,4.728667
36,256,6.725041,3.3625205
37,256,7.325208,3.662604
38,256,8.838333,4.4191665
39,256,8.39225,4.196125
40,256,7.064291,3.5321455
41,256,6.848458,3.424229
42,256,6.864209,3.4321045
43,256,7.159,3.5795
44,256,6.862334,3.431167
45,256,7.29175,3.645875
46,256,8.216958,4.108479
47,256,7.845,3.9225
48,256,7.023958,3.511979
49,256,8.144459,4.0722295
50,256,7.019417,3.5097085
51,256,7.027792,3.513896
52,256,8.196833,4.0984165
53,256,6.760625,3.3803125
54,256,7.368375,3.6841875
55,256,6.699875,3.3499375
56,256,6.713833,3.3569165
57,256,6.685042,3.342521
58,256,6.685625,3.3428125
59,256,6.719208,3.359604
60,256,6.767666,3.383833
61,256,6.81275,3.406375
62,256,6.778458,3.389229
63,256,7.800709,3.9003545
64,256,7.026625,3.5133125
65,256,6.95,3.475
66,256,6.874333,3.4371665
67,256,7.885334,3.942667
68,256,6.739209,3.3696045
69,256,6.645833,3.3229165
70,256,6.726459,3.3632295
71,256,6.831584,3.415792
72,256,6.852917,3.4264585
73,256,7.753833,3.8769165
74,256,6.910584,3.455292
75,256,7.580666,3.790333
76,256,7.403125,3.7015625
77,256,7.871917,3.9359585
78,256,6.765166,3.382583
79,256,7.42975,3.714875
80,256,6.933584,3.466792
81,256,9.173917,4.5869585
82,256,7.176084,3.588042
83,256,7.11975,3.559875
84,256,9.405,4.7025
85,256,12.149208,6.074604
86,256,6.906625,3.4533125
87,256,25.766125,12.8830625
88,256,7.907708,3.953854
89,256,7.489042,3.744521
90,256,7.544417,3.7722085
91,256,9.557125,4.7785625
92,256,7.889208,3.944604
93,256,7.292333,3.6461665
94,256,7.34175,3.670875
95,256,7.596792,3.798396
96,256,7.699792,3.849896
97,256,7.265291,3.6326455
98,256,8.113958,4.056979
99,256,8.398875,4.1994375
100,256,7.314625,3.6573125
101,256,8.315042,4.157521
102,256,7.5695,3.78475
103,256,7.231417,3.6157085
104,256,8.065917,4.0329585
105,256,7.297625,3.6488125
106,256,7.3455,3.67275
107,256,8.43075,4.215375
108,256,7.352625,3.6763125
109,256,7.355459,3.6777295
110,256,7.338,3.669
111,256,8.147125,4.0735625
112,256,8.29925,4.149625
113,256,8.029084,4.014542
114,256,8.564542,4.282271
115,256,7.13325,3.566625
116,256,7.065875,3.5329375
117,256,8.185083,4.0925415
118,256,7.274833,3.6374165
119,256,8.130875,4.0654375
120,256,7.157708,3.578854
121,256,7.153417,3.5767085
122,256,7.084083,3.5420415
123,256,7.199667,3.5998335
124,256,7.50725,3.753625
125,256,7.089667,3.5448335
126,256,8.34125,4.170625
