run,payload_bytes,rtt_ms,one_way_est_ms
0,256,12.933186,6.466593
1,256,9.839735,4.9198675
2,256,9.448371,4.7241855
3,256,9.39463,4.697315
4,256,9.466055,4.7330275
5,256,9.858327,4.9291635
6,256,10.266968,5.133484
7,256,9.987436,4.993718
8,256,9.548665,4.7743325
9,256,9.400557,4.7002785
10,256,9.352094,4.676047
11,256,12.126292,6.063146
12,256,9.238411,4.6192055
13,256,10.239914,5.119957
14,256,9.785884,4.892942
15,256,9.758032,4.879016
16,256,11.510245,5.7551225
17,256,9.584349,4.7921745
18,256,9.378297,4.6891485
19,256,9.600387,4.8001935
20,256,9.596609,4.7983045
21,256,8.883287,4.4416435
22,256,8.973415,4.4867075
23,256,9.258707,4.6293535
24,256,9.589794,4.794897
25,256,11.922035,5.9610175
26,256,13.296773,6.6483865
27,256,10.355079,5.1775395
28,256,8.675808,4.337904
29,256,9.509166,4.754583
30,256,9.490721,4.7453605
31,256,8.520015,4.2600075
32,256,8.534069,4.2670345
33,256,8.487812,4.243906
34,256,8.385831,4.1929155
35,256,10.759702,5.379851
36,256,8.312814,4.156407
37,256,8.356813,4.1784065
38,256,8.844195,4.4220975
39,256,7.704546,3.852273
40,256,11.025271,5.5126355
41,256,7.967912,3.983956
42,256,7.658102,3.829051
43,256,7.985468,3.992734
44,256,11.018605,5.5093025
45,256,10.915588,5.457794
46,256,8.059984,4.029992
47,256,8.115946,4.057973
48,256,7.924912,3.962456
49,256,8.374868,4.187434
50,256,7.895228,3.947614
51,256,7.95356,3.97678
52,256,7.89508,3.94754
53,256,7.811396,3.905698
54,256,7.797526,3.898763
55,256,7.862914,3.931457
56,256,7.608121,3.8040605
57,256,8.01093,4.005465
58,256,7.979616,3.989808
59,256,8.115095,4.0575475
60,256,10.347208,5.173604
61,256,8.138131,4.0690655
62,256,7.938061,3.9690305
63,256,7.875766,3.937883
64,256,7.897784,3.948892
65,256,7.940338,3.970169
66,256,7.849525,3.9247625
67,256,8.085317,4.0426585
68,256,9.776439,4.8882195
69,256,7.795045,3.8975225
70,256,7.644158,3.822079
71,256,7.88921,3.944605
72,256,8.71503,4.357515
73,256,7.624381,3.8121905
74,256,7.918413,3.9592065
75,256,7.994486,3.997243
76,256,8.227204,4.113602
77,256,7.920154,3.960077
78,256,7.988023,3.9940115
79,256,7.934968,3.967484
80,256,7.810822,3.905411
81,256,7.921302,3.960651
82,256,7.894006,3.947003
83,256,8.611106,4.305553
84,256,7.733027,3.8665135
85,256,9.061598,4.530799
86,256,7.794748,3.897374
87,256,7.932395,3.9661975
88,256,7.935968,3.967984
89,256,8.273611,4.1368055
90,256,10.229395,5.1146975
91,256,7.558993,3.7794965
92,256,7.765415,3.8827075
93,256,9.032951,4.5164755
94,256,7.745027,3.8725135
95,256,7.617177,3.8085885
96,256,7.696342,3.848171
97,256,10.564908,5.282454
98,256,7.610732,3.805366
99,256,11.208139,5.6040695
100,256,7.6119,3.80595
101,256,7.722897,3.8614485
102,256,9.556128,4.778064
103,256,8.058911,4.0294555
104,256,7.823266,3.911633
105,256,8.087299,4.0436495
106,256,7.815489,3.9077445
107,256,10.632,5.316
108,256,10.64661,5.323305
109,256,7.716694,3.858347
110,256,8.953322,4.476661
111,256,8.324221,4.1621105
112,256,7.967135,3.9835675
113,256,7.869432,3.934716
114,256,7.964116,3.982058
115,256,7.960245,3.9801225
116,256,7.784433,3.8922165
117,256,8.16702,4.08351
118,256,12.264807,6.1324035
119,256,8.017838,4.008919
120,256,8.658586,4.329293
121,256,7.797156,3.898578
122,256,8.063559,4.0317795
123,256,7.602548,3.801274
124,256,11.59217,5.796085
125,256,7.753175,3.8765875
126,256,7.848007,3.9240035
127,256,7.883877,3.9419385
128,256,7.866655,3.9333275
129,256,7.79273,3.896365
130,256,7.659491,3.8297455
131,256,7.627899,3.8139495
132,256,8.089743,4.0448715
133,256,7.603362,3.801681
134,256,7.65788,3.82894
135,256,7.318756,3.659378
136,256,7.209146,3.604573
137,256,7.838266,3.919133
138,256,7.602492,3.801246
139,256,7.133647,3.5668235
140,256,8.733011,4.3665055
141,256,7.127351,3.5636755
142,256,7.506179,3.7530895
143,256,7.171295,3.5856475
144,256,7.071334,3.535667
145,256,7.243627,3.6218135
146,256,8.082966,4.041483
147,256,7.383273,3.6916365
148,256,7.273701,3.6368505
149,256,7.18061,3.590305
150,256,7.440068,3.720034
151,256,7.107796,3.553898
152,256,9.764125,4.8820625
153,256,7.566067,3.7830335
154,256,7.349515,3.6747575
155,256,7.391884,3.695942
156,256,7.063722,3.531861
157,256,7.021205,3.5106025
158,256,7.089186,3.544593
159,256,7.551678,3.775839
160,256,7.488679,3.7443395
161,256,7.453643,3.7268215
162,256,7.557381,3.7786905
163,256,7.449661,3.7248305
164,256,7.452809,3.7264045
165,256,7.438494,3.719247
166,256,7.393588,3.696794
167,256,7.139684,3.569842
168,256,7.280238,3.640119
169,256,7.610566,3.805283
170,256,7.507993,3.7539965
171,256,7.561641,3.7808205
172,256,7.693009,3.8465045
173,256,7.802063,3.9010315
174,256,7.100778,3.550389
175,256,7.137444,3.568722
176,256,9.144283,4.5721415
177,256,7.507012,3.753506
178,256,7.863432,3.931716
179,256,7.830062,3.915031
180,256,7.348663,3.6743315
181,256,8.156761,4.0783805
182,256,7.590418,3.795209
183,256,7.605974,3.802987
184,256,8.148539,4.0742695
185,256,10.607204,5.303602
186,256,9.352335,4.6761675
187,256,7.376199,3.6880995
188,256,7.561511,3.7807555
189,256,7.661399,3.8306995
190,256,7.592992,3.796496
191,256,7.636751,3.8183755
192,256,7.391866,3.695933
193,256,7.448902,3.724451
194,256,7.543364,3.771682
195,256,7.749045,3.8745225
196,256,9.440927,4.7204635
197,256,8.694364,4.347182
198,256,10.625167,5.3125835
199,256,7.703045,3.8515225
200,256,8.961452,4.480726
201,256,7.98819,3.994095
202,256,7.893728,3.946864
203,256,7.658176,3.829088
204,256,8.185427,4.0927135
205,256,7.788248,3.894124
206,256,7.591177,3.7955885
207,256,8.191946,4.095973
208,256,7.89995,3.949975
209,256,7.834525,3.9172625
210,256,7.775823,3.8879115
211,256,7.514642,3.757321
212,256,7.377329,3.6886645
213,256,8.003208,4.001604
214,256,7.775101,3.8875505
215,256,8.37772,4.18886
216,256,7.71736,3.85868
217,256,7.619473,3.8097365
218,256,8.295593,4.1477965
219,256,7.627233,3.8136165
220,256,7.651028,3.825514
221,256,8.938211,4.4691055
222,256,7.717397,3.8586985
223,256,10.289598,5.144799
224,256,10.245266,5.122633
225,256,7.481568,3.740784
226,256,8.050263,4.0251315
227,256,7.720619,3.8603095
228,256,7.642288,3.821144
