run,payload_bytes,rtt_ms,one_way_est_ms
0,256,0.515216,0.257608
1,256,0.401569,0.2007845
2,256,0.39453,0.197265
3,256,0.083653,0.0418265
4,256,0.06971,0.034855
5,256,0.068534,0.034267
6,256,0.069301,0.0346505
7,256,0.067701,0.0338505
8,256,0.067113,0.0335565
9,256,0.06812,0.03406
10,256,0.064719,0.0323595
11,256,0.070177,0.0350885
12,256,0.046295,0.0231475
13,256,0.0432,0.0216
14,256,0.040145,0.0200725
15,256,0.041184,0.020592
16,256,0.042266,0.021133
17,256,0.04123,0.020615
18,256,0.04344,0.02172
19,256,0.041125,0.0205625
20,256,0.042475,0.0212375
21,256,0.041747,0.0208735
22,256,0.041358,0.020679
23,256,0.040432,0.020216
24,256,0.041084,0.020542
25,256,0.04155,0.020775
26,256,0.041613,0.0208065
27,256,0.041381,0.0206905
28,256,0.041369,0.0206845
29,256,0.042063,0.0210315
30,256,0.042681,0.0213405
31,256,0.039646,0.019823
32,256,0.041648,0.020824
33,256,0.041342,0.020671
34,256,0.04056,0.02028
35,256,0.04018,0.02009
36,256,0.041893,0.0209465
37,256,0.041913,0.0209565
38,256,0.041772,0.020886
39,256,0.039433,0.0197165
40,256,0.041024,0.020512
41,256,0.041298,0.020649
42,256,0.045946,0.022973
43,256,0.041712,0.020856
44,256,0.040896,0.020448
45,256,0.041322,0.020661
46,256,0.039414,0.019707
47,256,0.041383,0.0206915
48,256,0.041155,0.0205775
49,256,0.041993,0.0209965
50,256,0.040756,0.020378
51,256,0.040958,0.020479
52,256,0.041996,0.020998
53,256,0.042334,0.021167
54,256,0.041565,0.0207825
55,256,0.040247,0.0201235
56,256,0.041854,0.020927
57,256,0.040362,0.020181
58,256,0.039884,0.019942
59,256,0.050836,0.025418
60,256,0.041488,0.020744
61,256,0.042635,0.0213175
62,256,0.040371,0.0201855
63,256,0.037973,0.0189865
64,256,0.04088,0.02044
65,256,0.039675,0.0198375
66,256,0.038118,0.019059
67,256,0.03594,0.01797
68,256,0.035327,0.0176635
69,256,0.036556,0.018278
70,256,0.03532,0.01766
71,256,0.038075,0.0190375
72,256,0.036072,0.018036
73,256,0.035534,0.017767
74,256,0.03522,0.01761
75,256,0.037226,0.018613
76,256,0.034786,0.017393
77,256,0.046191,0.0230955
78,256,0.03713,0.018565
79,256,0.036598,0.018299
80,256,0.035101,0.0175505
81,256,0.035876,0.017938
82,256,0.038036,0.019018
83,256,0.036403,0.0182015
84,256,0.034688,0.017344
85,256,0.035696,0.017848
86,256,0.037948,0.018974
87,256,0.035948,0.017974
88,256,0.035995,0.0179975
89,256,0.036122,0.018061
90,256,0.320748,0.160374
91,256,0.112206,0.056103
92,256,0.0722,0.0361
93,256,0.105996,0.052998
94,256,0.108659,0.0543295
95,256,0.110439,0.0552195
96,256,0.109731,0.0548655
97,256,0.111819,0.0559095
98,256,0.049779,0.0248895
99,256,0.049481,0.0247405
100,256,0.047096,0.023548
101,256,0.061071,0.0305355
102,256,0.04838,0.02419
103,256,0.047487,0.0237435
104,256,0.048411,0.0242055
105,256,0.050703,0.0253515
106,256,0.048553,0.0242765
107,256,0.048392,0.024196
108,256,0.047305,0.0236525
109,256,0.04754,0.02377
110,256,0.048435,0.0242175
111,256,0.049426,0.024713
112,256,0.050817,0.0254085
113,256,0.046591,0.0232955
114,256,0.051344,0.025672
115,256,0.106424,0.053212
116,256,0.044448,0.022224
117,256,0.033221,0.0166105
118,256,0.034693,0.0173465
119,256,0.034111,0.0170555
120,256,0.035677,0.0178385
121,256,0.037098,0.018549
122,256,0.035167,0.0175835
123,256,0.034942,0.017471
124,256,0.035949,0.0179745
125,256,0.036782,0.018391
126,256,0.036485,0.0182425
127,256,0.034841,0.0174205
128,256,0.051024,0.025512
129,256,0.03483,0.017415
130,256,0.035906,0.017953
131,256,0.035175,0.0175875
132,256,0.035083,0.0175415
133,256,0.034841,0.0174205
134,256,0.03556,0.01778
135,256,0.034566,0.017283
136,256,0.043844,0.021922
137,256,0.035899,0.0179495
138,256,0.035417,0.0177085
139,256,0.037364,0.018682
140,256,0.036194,0.018097
141,256,0.034894,0.017447
142,256,0.034351,0.0171755
143,256,0.03662,0.01831
144,256,0.036763,0.0183815
145,256,0.035131,0.0175655
146,256,0.035686,0.017843
147,256,0.03416,0.01708
148,256,0.031473,0.0157365
149,256,0.03639,0.018195
150,256,0.034481,0.0172405
151,256,0.035447,0.0177235
152,256,0.035109,0.0175545
153,256,0.036514,0.018257
154,256,0.036501,0.0182505
155,256,0.035121,0.0175605
156,256,0.035179,0.0175895
157,256,0.040011,0.0200055
158,256,0.036875,0.0184375
159,256,0.036185,0.0180925
160,256,0.036372,0.018186
161,256,0.034769,0.0173845
162,256,0.036187,0.0180935
163,256,0.034853,0.0174265
164,256,0.033467,0.0167335
165,256,0.034962,0.017481
166,256,0.03628,0.01814
167,256,0.040416,0.020208
168,256,0.030373,0.0151865
169,256,0.035603,0.0178015
170,256,0.035097,0.0175485
171,256,0.033859,0.0169295
172,256,0.034524,0.017262
173,256,0.036805,0.0184025
174,256,0.035835,0.0179175
175,256,0.035015,0.0175075
176,256,0.037227,0.0186135
177,256,0.040019,0.0200095
178,256,0.035509,0.0177545
