run,payload_bytes,rtt_ms,one_way_est_ms
0,256,11.696083,5.8480415
1,256,10.094333,5.0471665
2,256,9.807042,4.903521
3,256,10.438,5.219
4,256,10.233125,5.1165625
5,256,9.613958,4.806979
6,256,9.216708,4.608354
7,256,9.314125,4.6570625
8,256,10.4785,5.23925
9,256,11.539834,5.769917
10,256,9.456042,4.728021
11,256,9.497333,4.7486665
12,256,9.445542,4.722771
13,256,9.493041,4.7465205
14,256,9.395708,4.697854
15,256,9.285291,4.6426455
16,256,9.317542,4.658771
17,256,9.107667,4.5538335
18,256,9.409709,4.7048545
19,256,10.035375,5.0176875
20,256,10.209625,5.1048125
21,256,9.8405,4.92025
22,256,9.166334,4.583167
23,256,9.95225,4.976125
24,256,10.088,5.044
25,256,8.836292,4.418146
26,256,10.317375,5.1586875
27,256,9.925959,4.9629795
28,256,9.587958,4.793979
29,256,10.254666,5.127333
30,256,10.292667,5.1463335
31,256,11.249042,5.624521
32,256,9.321667,4.6608335
33,256,10.03425,5.017125
34,256,9.061667,4.5308335
35,256,10.18275,5.091375
36,256,8.762791,4.3813955
37,256,8.733417,4.3667085
38,256,9.581375,4.7906875
39,256,9.719542,4.859771
40,256,12.836333,6.4181665
41,256,9.542708,4.771354
42,256,8.751458,4.375729
43,256,11.4825,5.74125
44,256,9.523958,4.761979
45,256,10.167,5.0835
46,256,8.6945,4.34725
47,256,9.417291,4.7086455
48,256,9.619709,4.8098545
49,256,11.137542,5.568771
50,256,9.732875,4.8664375
51,256,8.780833,4.3904165
52,256,9.948125,4.9740625
53,256,8.794333,4.3971665
54,256,8.720708,4.360354
55,256,9.356667,4.6783335
56,256,9.829792,4.914896
57,256,8.937334,4.468667
58,256,8.913167,4.4565835
59,256,8.962375,4.4811875
60,256,8.576583,4.2882915
61,256,8.809792,4.404896
62,256,10.350166,5.175083
63,256,10.065166,5.032583
64,256,8.815875,4.4079375
65,256,9.586958,4.793479
66,256,8.864708,4.432354
67,256,10.139792,5.069896
68,256,9.089875,4.5449375
69,256,8.652292,4.326146
70,256,9.037458,4.518729
71,256,8.7085,4.35425
72,256,10.85325,5.426625
73,256,8.819291,4.4096455
74,256,9.495292,4.747646
75,256,8.632125,4.3160625
76,256,9.019292,4.509646
77,256,9.003833,4.5019165
78,256,9.112041,4.5560205
79,256,9.647375,4.8236875
80,256,8.760208,4.380104
81,256,10.22125,5.110625
82,256,9.622416,4.811208
83,256,9.568834,4.784417
84,256,8.688208,4.344104
85,256,9.370875,4.6854375
86,256,8.788417,4.3942085
87,256,8.96725,4.483625
88,256,9.00375,4.501875
89,256,8.720458,4.360229
90,256,9.061292,4.530646
91,256,8.47675,4.238375
92,256,8.827541,4.4137705
93,256,8.818917,4.4094585
94,256,12.885334,6.442667
95,256,8.744875,4.3724375
96,256,9.793791,4.8968955
97,256,8.902709,4.4513545
98,256,10.0025,5.00125
99,256,8.905875,4.4529375
100,256,10.879458,5.439729
101,256,9.459875,4.7299375
102,256,8.813834,4.406917
103,256,8.560917,4.2804585
104,256,9.501,4.7505
105,256,10.970917,5.4854585
106,256,8.746667,4.3733335
107,256,9.455917,4.7279585
108,256,8.6465,4.32325
109,256,8.863666,4.431833
110,256,8.733,4.3665
111,256,8.706625,4.3533125
112,256,8.622458,4.311229
113,256,8.653,4.3265
114,256,8.548916,4.274458
115,256,8.713292,4.356646
116,256,9.610959,4.8054795
117,256,10.472917,5.2364585
118,256,10.680583,5.3402915
