run,payload_bytes,rtt_ms,one_way_est_ms
0,256,10.224083,5.1120415
1,256,9.18725,4.593625
2,256,8.109584,4.054792
3,256,10.095416,5.047708
4,256,7.994292,3.997146
5,256,8.416291,4.2081455
6,256,8.43625,4.218125
7,256,6.637375,3.3186875
8,256,7.499,3.7495
9,256,7.712208,3.856104
10,256,7.725125,3.8625625
11,256,8.51925,4.259625
12,256,8.791916,4.395958
13,256,10.170875,5.0854375
14,256,7.525583,3.7627915
15,256,7.931,3.9655
16,256,8.038,4.019
17,256,8.765208,4.382604
18,256,7.86075,3.930375
19,256,10.508583,5.2542915
20,256,7.994334,3.997167
21,256,7.858584,3.929292
22,256,7.626208,3.813104
23,256,8.646541,4.3232705
24,256,8.914042,4.457021
25,256,8.151459,4.0757295
26,256,8.355167,4.1775835
27,256,7.372875,3.6864375
28,256,7.470667,3.7353335
29,256,7.782084,3.891042
30,256,8.18775,4.093875
31,256,7.464208,3.732104
32,256,7.621208,3.810604
33,256,7.683166,3.841583
34,256,11.636542,5.818271
35,256,9.734208,4.867104
36,256,7.255875,3.6279375
37,256,8.141958,4.070979
38,256,7.286875,3.6434375
39,256,7.171875,3.5859375
40,256,6.973208,3.486604
41,256,7.103458,3.551729
42,256,7.233625,3.6168125
43,256,7.352708,3.676354
44,256,8.472625,4.2363125
45,256,7.422958,3.711479
46,256,7.141666,3.570833
47,256,7.385875,3.6929375
48,256,7.662125,3.8310625
49,256,7.807709,3.9038545
50,256,7.081459,3.5407295
51,256,8.77175,4.385875
52,256,7.663041,3.8315205
53,256,7.211334,3.605667
54,256,7.167708,3.583854
55,256,8.214041,4.1070205
56,256,7.241667,3.6208335
57,256,7.784708,3.892354
58,256,7.063208,3.531604
59,256,7.059042,3.529521
60,256,13.33025,6.665125
61,256,8.0675,4.03375
62,256,7.631709,3.8158545
63,256,7.780166,3.890083
64,256,7.251875,3.6259375
65,256,7.089083,3.5445415
66,256,7.169625,3.5848125
67,256,7.1405,3.57025
68,256,7.232042,3.616021
69,256,7.191958,3.595979
70,256,7.275542,3.637771
71,256,7.403166,3.701583
72,256,7.36125,3.680625
73,256,8.393958,4.196979
74,256,7.760375,3.8801875
75,256,7.276042,3.638021
76,256,7.915458,3.957729
77,256,7.082916,3.541458
78,256,7.137708,3.568854
79,256,8.17925,4.089625
80,256,8.012833,4.0064165
81,256,7.243334,3.621667
82,256,7.22825,3.614125
83,256,7.254792,3.627396
84,256,7.464083,3.7320415
85,256,7.371125,3.6855625
86,256,7.14025,3.570125
87,256,7.441625,3.7208125
88,256,6.704292,3.352146
89,256,7.513708,3.756854
90,256,9.080709,4.5403545
91,256,7.875042,3.937521
92,256,7.236583,3.6182915
93,256,7.647166,3.823583
94,256,7.116291,3.5581455
95,256,7.476917,3.7384585
96,256,7.161583,3.5807915
97,256,7.382458,3.691229
98,256,7.184291,3.5921455
99,256,8.187291,4.0936455
100,256,7.144834,3.572417
101,256,7.092125,3.5460625
102,256,7.074083,3.5370415
103,256,7.5515,3.77575
104,256,8.292416,4.146208
105,256,6.8615,3.43075
106,256,6.737959,3.3689795
107,256,7.273958,3.636979
108,256,6.676208,3.338104
109,256,6.895042,3.447521
110,256,6.770042,3.385021
111,256,6.696167,3.3480835
112,256,6.959375,3.4796875
113,256,6.949667,3.4748335
114,256,6.834791,3.4173955
115,256,6.996834,3.498417
116,256,6.794166,3.397083
117,256,7.606917,3.8034585
118,256,6.850083,3.4250415
119,256,7.147167,3.5735835
120,256,7.844708,3.922354
121,256,8.320084,4.160042
122,256,6.992875,3.4964375
123,256,6.826292,3.413146
124,256,6.652833,3.3264165
125,256,6.679083,3.3395415
126,256,7.350042,3.675021
127,256,6.825792,3.412896
128,256,7.098292,3.549146
