run,payload_bytes,rtt_ms,one_way_est_ms
0,256,12.345647,6.1728235
1,256,9.029174,4.514587
2,256,8.774567,4.3872835
3,256,8.767196,4.383598
4,256,8.581754,4.290877
5,256,8.758918,4.379459
6,256,8.818436,4.409218
7,256,9.814256,4.907128
8,256,9.608741,4.8043705
9,256,8.54694,4.27347
10,256,8.572457,4.2862285
11,256,8.351887,4.1759435
12,256,8.48096,4.24048
13,256,8.534125,4.2670625
14,256,8.646013,4.3230065
15,256,8.455719,4.2278595
16,256,8.661364,4.330682
17,256,8.342424,4.171212
18,256,9.339744,4.669872
19,256,8.641716,4.320858
20,256,8.433108,4.216554
21,256,8.692549,4.3462745
22,256,8.406275,4.2031375
23,256,9.327392,4.663696
24,256,8.359368,4.179684
25,256,8.298221,4.1491105
26,256,8.662624,4.331312
27,256,8.418608,4.209304
28,256,8.304388,4.152194
29,256,8.656439,4.3282195
30,256,8.85251,4.426255
31,256,9.253764,4.626882
32,256,8.491292,4.245646
33,256,8.250795,4.1253975
34,256,8.638383,4.3191915
35,256,8.001651,4.0008255
36,256,7.957114,3.978557
37,256,7.916503,3.9582515
38,256,7.83756,3.91878
39,256,11.446419,5.7232095
40,256,7.704914,3.852457
41,256,7.798339,3.8991695
42,256,7.871171,3.9355855
43,256,7.697173,3.8485865
44,256,8.068835,4.0344175
45,256,8.185481,4.0927405
46,256,8.121612,4.060806
47,256,10.413878,5.206939
48,256,7.99665,3.998325
49,256,7.906467,3.9532335
50,256,7.836505,3.9182525
51,256,7.907281,3.9536405
52,256,8.514736,4.257368
53,256,9.997382,4.998691
54,256,7.768265,3.8841325
55,256,8.754473,4.3772365
56,256,7.778061,3.8890305
57,256,7.742655,3.8713275
58,256,8.286202,4.143101
59,256,8.742955,4.3714775
60,256,10.018216,5.009108
61,256,7.750858,3.875429
62,256,7.887542,3.943771
63,256,9.750035,4.8750175
64,256,7.804005,3.9020025
65,256,9.031229,4.5156145
66,256,7.605434,3.802717
67,256,8.317702,4.158851
68,256,8.279536,4.139768
69,256,8.325906,4.162953
70,256,7.999206,3.999603
71,256,7.881615,3.9408075
72,256,8.069946,4.034973
73,256,7.857338,3.928669
74,256,7.846023,3.9230115
75,256,7.791968,3.895984
76,256,7.738673,3.8693365
77,256,8.18187,4.090935
78,256,10.191584,5.095792
79,256,8.212352,4.106176
80,256,8.710715,4.3553575
81,256,8.015373,4.0076865
82,256,8.385442,4.192721
83,256,8.455404,4.227702
84,256,8.218722,4.109361
85,256,8.367571,4.1837855
86,256,10.3946,5.1973
87,256,8.356554,4.178277
88,256,8.421182,4.210591
89,256,8.122371,4.0611855
90,256,14.046014,7.023007
91,256,8.453904,4.226952
92,256,8.322517,4.1612585
93,256,8.391886,4.195943
94,256,11.007184,5.503592
95,256,8.135945,4.0679725
96,256,8.842009,4.4210045
97,256,8.239833,4.1199165
98,256,7.988151,3.9940755
99,256,8.446275,4.2231375
100,256,8.147482,4.073741
101,256,9.313319,4.6566595
102,256,8.235555,4.1177775
103,256,8.183834,4.091917
104,256,9.469557,4.7347785
105,256,8.700253,4.3501265
106,256,8.396238,4.198119
107,256,8.195037,4.0975185
108,256,8.399497,4.1997485
109,256,8.046521,4.0232605
110,256,8.124593,4.0622965
111,256,7.950355,3.9751775
112,256,8.64092,4.32046
113,256,8.343146,4.171573
114,256,8.587068,4.293534
115,256,8.769437,4.3847185
116,256,8.832232,4.416116
117,256,8.106631,4.0533155
118,256,8.392979,4.1964895
119,256,8.181889,4.0909445
120,256,8.162352,4.081176
121,256,8.240314,4.120157
122,256,8.316276,4.158138
123,256,9.965736,4.982868
124,256,8.39259,4.196295
125,256,8.400905,4.2004525
126,256,8.411331,4.2056655
127,256,7.984799,3.9923995
128,256,9.471372,4.735686
129,256,8.270999,4.1354995
130,256,8.19737,4.098685
131,256,7.987836,3.993918
132,256,8.461478,4.230739
133,256,8.732345,4.3661725
134,256,8.286443,4.1432215
135,256,8.432312,4.216156
136,256,9.475279,4.7376395
137,256,8.229147,4.1145735
138,256,8.256907,4.1284535
139,256,8.26611,4.133055
140,256,8.426534,4.213267
141,256,8.336887,4.1684435
142,256,8.101057,4.0505285
143,256,8.697067,4.3485335
144,256,8.553162,4.276581
